"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,908,100
"CA0110001","outside",0,930,100
"CA0110001","inside",1,908,33.1
"CA0110001","outside",1,930,25.6
"CA0110001","inside",2,908,13.8
"CA0110001","outside",2,930,14.1
"CA0110001","inside",3,908,8.8
"CA0110001","outside",3,930,9
"CA0110001","inside",4,908,6.3
"CA0110001","outside",4,930,6.4
"CA0110001","inside",5,908,4.9
"CA0110001","outside",5,930,5.1
"CA0110001","inside",6,908,4
"CA0110001","outside",6,930,3.9
"CA0110001","inside",7,908,3.3
"CA0110001","outside",7,930,2.6
"CA0110001","inside",8,908,2.8
"CA0110001","outside",8,930,2.6
"CA0110001","inside",9,908,2.4
"CA0110001","outside",9,930,2.6
"CA0110001","inside",10,908,2.2
"CA0110001","outside",10,930,2.6
"CA0110001","inside",11,908,2
"CA0110001","outside",11,930,2.6
"CA0110001","inside",12,908,1.8
"CA0110001","outside",12,930,2.6
"CA0110001","inside",13,908,1.7
"CA0110001","outside",13,930,2.6
"CA0110001","inside",14,908,1.6
"CA0110001","outside",14,930,2.6
"CA0110001","inside",15,908,1.5
"CA0110001","outside",15,930,2.6
"CA0110001","inside",16,908,1.4
"CA0110001","outside",16,930,1.3
"CA0110001","inside",17,908,1.3
"CA0110001","outside",17,930,1.3
"CA0110001","inside",18,908,1.2
"CA0110001","outside",18,930,1.3
"CA0110001","inside",19,908,1.2
"CA0110001","inside",20,908,1.1
"CA0110003","inside",0,1249,100
"CA0110003","inside",1,1249,51
"CA0110003","inside",2,1249,25.3
"CA0110003","inside",3,1249,14.5
"CA0110003","inside",4,1249,10
"CA0110003","inside",5,1249,7.5
"CA0110003","inside",6,1249,5.6
"CA0110003","inside",7,1249,4.5
"CA0110003","inside",8,1249,3.6
"CA0110003","inside",9,1249,3.1
"CA0110003","inside",10,1249,2.7
"CA0110003","inside",11,1249,2.5
"CA0110003","inside",12,1249,2.1
"CA0110003","inside",13,1249,2
"CA0110003","inside",14,1249,1.8
"CA0110003","inside",15,1249,1.7
"CA0110003","inside",16,1249,1.6
"CA0110003","inside",17,1249,1.5
"CA0110003","inside",18,1249,1.4
"CA0110003","inside",19,1249,1.3
"CA0110003","inside",20,1249,1.2
"CA0110005","inside",0,727,100
"CA0110005","inside",1,727,41.6
"CA0110005","inside",2,727,21.8
"CA0110005","inside",3,727,14.2
"CA0110005","inside",4,727,10.5
"CA0110005","inside",5,727,8.3
"CA0110005","inside",6,727,6.3
"CA0110005","inside",7,727,4.9
"CA0110005","inside",8,727,4.2
"CA0110005","inside",9,727,3.7
"CA0110005","inside",10,727,3.3
"CA0110005","inside",11,727,3
"CA0110005","inside",12,727,2.8
"CA0110005","inside",13,727,2.5
"CA0110005","inside",14,727,2.4
"CA0110005","inside",15,727,2.2
"CA0110005","inside",16,727,2.1
"CA0110005","inside",17,727,2
"CA0110005","inside",18,727,1.9
"CA0110005","inside",19,727,1.8
"CA0110005","inside",20,727,1.7
"CA0110006","inside",0,808,100
"CA0110006","outside",0,864,100
"CA0110006","inside",1,808,47.5
"CA0110006","outside",1,864,60.7
"CA0110006","inside",2,808,21
"CA0110006","outside",2,864,30.2
"CA0110006","inside",3,808,13.4
"CA0110006","outside",3,864,22.1
"CA0110006","inside",4,808,9.4
"CA0110006","outside",4,864,17.4
"CA0110006","inside",5,808,7
"CA0110006","outside",5,864,15.1
"CA0110006","inside",6,808,5.4
"CA0110006","outside",6,864,13.5
"CA0110006","inside",7,808,4.1
"CA0110006","outside",7,864,11.2
"CA0110006","inside",8,808,3.2
"CA0110006","outside",8,864,10
"CA0110006","inside",9,808,2.8
"CA0110006","outside",9,864,8.8
"CA0110006","inside",10,808,2.6
"CA0110006","outside",10,864,8.1
"CA0110006","inside",11,808,2.3
"CA0110006","outside",11,864,7.6
"CA0110006","inside",12,808,2.1
"CA0110006","outside",12,864,7.2
"CA0110006","inside",13,808,2
"CA0110006","outside",13,864,6.6
"CA0110006","inside",14,808,1.8
"CA0110006","outside",14,864,6.1
"CA0110006","inside",15,808,1.7
"CA0110006","outside",15,864,5.8
"CA0110006","inside",16,808,1.6
"CA0110006","outside",16,864,5.4
"CA0110006","inside",17,808,1.5
"CA0110006","outside",17,864,5.1
"CA0110006","inside",18,808,1.4
"CA0110006","outside",18,864,4.9
"CA0110006","inside",19,808,1.4
"CA0110006","outside",19,864,4.7
"CA0110006","inside",20,808,1.3
"CA0110006","outside",20,864,4.5
"CA0110008","inside",0,1403,100
"CA0110008","inside",1,1403,45.1
"CA0110008","inside",2,1403,20.4
"CA0110008","inside",3,1403,14.1
"CA0110008","inside",4,1403,10.8
"CA0110008","inside",5,1403,8.7
"CA0110008","inside",6,1403,7.2
"CA0110008","inside",7,1403,5.8
"CA0110008","inside",8,1403,5
"CA0110008","inside",9,1403,4.4
"CA0110008","inside",10,1403,3.8
"CA0110008","inside",11,1403,3.2
"CA0110008","inside",12,1403,2.8
"CA0110008","inside",13,1403,2.5
"CA0110008","inside",14,1403,2.2
"CA0110008","inside",15,1403,2
"CA0110008","inside",16,1403,1.9
"CA0110008","inside",17,1403,1.8
"CA0110008","inside",18,1403,1.7
"CA0110008","inside",19,1403,1.6
"CA0110008","inside",20,1403,1.6
"CA0110009","inside",0,867,100
"CA0110009","inside",1,867,24.4
"CA0110009","inside",2,867,10.9
"CA0110009","inside",3,867,7.1
"CA0110009","inside",4,867,5.1
"CA0110009","inside",5,867,4.1
"CA0110009","inside",6,867,3.6
"CA0110009","inside",7,867,3
"CA0110009","inside",8,867,2.5
"CA0110009","inside",9,867,2.2
"CA0110009","inside",10,867,1.9
"CA0110009","inside",11,867,1.8
"CA0110009","inside",12,867,1.7
"CA0110009","inside",13,867,1.6
"CA0110009","inside",14,867,1.4
"CA0110009","inside",15,867,1.4
"CA0110009","inside",16,867,1.3
"CA0110009","inside",17,867,1.2
"CA0110009","inside",18,867,1.1
"CA0110009","inside",19,867,1.1
"CA0110009","inside",20,867,1.1
"CA0110011","inside",0,1315,100
"CA0110011","inside",1,1315,53.6
"CA0110011","inside",2,1315,25.9
"CA0110011","inside",3,1315,14.9
"CA0110011","inside",4,1315,10.3
"CA0110011","inside",5,1315,7.8
"CA0110011","inside",6,1315,6
"CA0110011","inside",7,1315,4.8
"CA0110011","inside",8,1315,4
"CA0110011","inside",9,1315,3.4
"CA0110011","inside",10,1315,3
"CA0110011","inside",11,1315,2.7
"CA0110011","inside",12,1315,2.4
"CA0110011","inside",13,1315,2.2
"CA0110011","inside",14,1315,2
"CA0110011","inside",15,1315,1.9
"CA0110011","inside",16,1315,1.7
"CA0110011","inside",17,1315,1.6
"CA0110011","inside",18,1315,1.5
"CA0110011","inside",19,1315,1.4
"CA0110011","inside",20,1315,1.4
"CA0310001","inside",0,1018,100
"CA0310001","inside",1,1018,82.7
"CA0310001","inside",2,1018,52.8
"CA0310001","inside",3,1018,34.3
"CA0310001","inside",4,1018,31
"CA0310001","inside",5,1018,26.3
"CA0310001","inside",6,1018,14.9
"CA0310001","inside",7,1018,9.2
"CA0310001","inside",8,1018,9
"CA0310001","inside",9,1018,8.4
"CA0310001","inside",10,1018,7.5
"CA0310001","inside",11,1018,6.9
"CA0310001","inside",12,1018,6
"CA0310001","inside",13,1018,4.8
"CA0310001","inside",14,1018,4.5
"CA0310001","inside",15,1018,4.5
"CA0310001","inside",16,1018,3.9
"CA0310001","inside",17,1018,3.9
"CA0310001","inside",18,1018,3.6
"CA0310001","inside",19,1018,3.3
"CA0310001","inside",20,1018,2.7
"CA0310002","inside",0,1960,100
"CA0310002","inside",1,1960,91.5
"CA0310002","inside",2,1960,67
"CA0310002","inside",3,1960,45.4
"CA0310002","inside",4,1960,33.3
