"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,1425,100
"CA0110001","outside",0,1524,100
"CA0110001","inside",1,1425,55.2
"CA0110001","outside",1,1524,47.4
"CA0110001","inside",2,1425,24.4
"CA0110001","outside",2,1524,21.8
"CA0110001","inside",3,1425,14.5
"CA0110001","outside",3,1524,15.4
"CA0110001","inside",4,1425,10.8
"CA0110001","outside",4,1524,11.5
"CA0110001","inside",5,1425,8.2
"CA0110001","outside",5,1524,9
"CA0110001","inside",6,1425,6.6
"CA0110001","outside",6,1524,7.7
"CA0110001","inside",7,1425,5.5
"CA0110001","outside",7,1524,5.1
"CA0110001","inside",8,1425,4.8
"CA0110001","outside",8,1524,5.1
"CA0110001","inside",9,1425,4.2
"CA0110001","outside",9,1524,5.1
"CA0110001","inside",10,1425,3.7
"CA0110001","outside",10,1524,3.9
"CA0110001","inside",11,1425,3.3
"CA0110001","outside",11,1524,2.6
"CA0110001","inside",12,1425,3
"CA0110001","outside",12,1524,2.6
"CA0110001","inside",13,1425,2.7
"CA0110001","outside",13,1524,2.6
"CA0110001","inside",14,1425,2.4
"CA0110001","outside",14,1524,2.6
"CA0110001","inside",15,1425,2.2
"CA0110001","outside",15,1524,2.6
"CA0110001","inside",16,1425,2.1
"CA0110001","outside",16,1524,2.6
"CA0110001","inside",17,1425,2
"CA0110001","outside",17,1524,2.6
"CA0110001","inside",18,1425,1.9
"CA0110001","outside",18,1524,2.6
"CA0110001","inside",19,1425,1.8
"CA0110001","outside",19,1524,2.6
"CA0110001","inside",20,1425,1.8
"CA0110001","outside",20,1524,2.6
"CA0110003","inside",0,1684,100
"CA0110003","inside",1,1684,65.5
"CA0110003","inside",2,1684,33.8
"CA0110003","inside",3,1684,22
"CA0110003","inside",4,1684,14.6
"CA0110003","inside",5,1684,10.9
"CA0110003","inside",6,1684,8.7
"CA0110003","inside",7,1684,7.1
"CA0110003","inside",8,1684,5.7
"CA0110003","inside",9,1684,4.8
"CA0110003","inside",10,1684,4
"CA0110003","inside",11,1684,3.5
"CA0110003","inside",12,1684,3.2
"CA0110003","inside",13,1684,2.9
"CA0110003","inside",14,1684,2.6
"CA0110003","inside",15,1684,2.4
"CA0110003","inside",16,1684,2.2
"CA0110003","inside",17,1684,2
"CA0110003","inside",18,1684,1.9
"CA0110003","inside",19,1684,1.8
"CA0110003","inside",20,1684,1.8
"CA0110005","inside",0,1515,100
"CA0110005","inside",1,1515,71.7
"CA0110005","inside",2,1515,43.1
"CA0110005","inside",3,1515,30
"CA0110005","inside",4,1515,22.6
"CA0110005","inside",5,1515,17.9
"CA0110005","inside",6,1515,14.8
"CA0110005","inside",7,1515,12.6
"CA0110005","inside",8,1515,11
"CA0110005","inside",9,1515,9.7
"CA0110005","inside",10,1515,8.7
"CA0110005","inside",11,1515,7.7
"CA0110005","inside",12,1515,6.7
"CA0110005","inside",13,1515,6
"CA0110005","inside",14,1515,5.3
"CA0110005","inside",15,1515,4.7
"CA0110005","inside",16,1515,4.4
"CA0110005","inside",17,1515,4.1
"CA0110005","inside",18,1515,3.9
"CA0110005","inside",19,1515,3.6
"CA0110005","inside",20,1515,3.5
"CA0110006","inside",0,1588,100
"CA0110006","outside",0,1761,100
"CA0110006","inside",1,1588,82.2
"CA0110006","outside",1,1761,87.2
"CA0110006","inside",2,1588,46.6
"CA0110006","outside",2,1761,62.1
"CA0110006","inside",3,1588,28.6
"CA0110006","outside",3,1761,44.4
"CA0110006","inside",4,1588,20.5
"CA0110006","outside",4,1761,30.5
"CA0110006","inside",5,1588,16
"CA0110006","outside",5,1761,26.6
"CA0110006","inside",6,1588,13.1
"CA0110006","outside",6,1761,22.5
"CA0110006","inside",7,1588,10.8
"CA0110006","outside",7,1761,19.9
"CA0110006","inside",8,1588,9.2
"CA0110006","outside",8,1761,17.5
"CA0110006","inside",9,1588,7.9
"CA0110006","outside",9,1761,15.6
"CA0110006","inside",10,1588,6.8
"CA0110006","outside",10,1761,15.2
"CA0110006","inside",11,1588,6
"CA0110006","outside",11,1761,14.7
"CA0110006","inside",12,1588,5.2
"CA0110006","outside",12,1761,14
"CA0110006","inside",13,1588,4.6
"CA0110006","outside",13,1761,12.7
"CA0110006","inside",14,1588,4
"CA0110006","outside",14,1761,11.3
"CA0110006","inside",15,1588,3.5
"CA0110006","outside",15,1761,10.8
"CA0110006","inside",16,1588,3.1
"CA0110006","outside",16,1761,10.2
"CA0110006","inside",17,1588,2.9
"CA0110006","outside",17,1761,9.6
"CA0110006","inside",18,1588,2.8
"CA0110006","outside",18,1761,8.9
"CA0110006","inside",19,1588,2.6
"CA0110006","outside",19,1761,8.6
"CA0110006","inside",20,1588,2.5
"CA0110006","outside",20,1761,8.2
"CA0110008","inside",0,1811,100
"CA0110008","inside",1,1811,58.6
"CA0110008","inside",2,1811,27.8
"CA0110008","inside",3,1811,17.2
"CA0110008","inside",4,1811,13.7
"CA0110008","inside",5,1811,11.1
"CA0110008","inside",6,1811,9.3
"CA0110008","inside",7,1811,8.2
"CA0110008","inside",8,1811,6.9
"CA0110008","inside",9,1811,5.8
"CA0110008","inside",10,1811,5.2
"CA0110008","inside",11,1811,4.7
"CA0110008","inside",12,1811,4.3
"CA0110008","inside",13,1811,3.7
"CA0110008","inside",14,1811,3.3
"CA0110008","inside",15,1811,3
"CA0110008","inside",16,1811,2.7
"CA0110008","inside",17,1811,2.4
"CA0110008","inside",18,1811,2.2
"CA0110008","inside",19,1811,2.1
"CA0110008","inside",20,1811,2
"CA0110009","inside",0,1314,100
"CA0110009","inside",1,1314,42.2
"CA0110009","inside",2,1314,17.7
"CA0110009","inside",3,1314,11.1
"CA0110009","inside",4,1314,7.8
"CA0110009","inside",5,1314,6.3
"CA0110009","inside",6,1314,5.1
"CA0110009","inside",7,1314,4.4
"CA0110009","inside",8,1314,4
"CA0110009","inside",9,1314,3.6
"CA0110009","inside",10,1314,3.2
"CA0110009","inside",11,1314,2.9
"CA0110009","inside",12,1314,2.6
"CA0110009","inside",13,1314,2.3
"CA0110009","inside",14,1314,2.1
"CA0110009","inside",15,1314,2
"CA0110009","inside",16,1314,1.9
"CA0110009","inside",17,1314,1.8
"CA0110009","inside",18,1314,1.7
"CA0110009","inside",19,1314,1.6
"CA0110009","inside",20,1314,1.6
"CA0110011","inside",0,1713,100
"CA0110011","inside",1,1713,67.5
"CA0110011","inside",2,1713,34
"CA0110011","inside",3,1713,21.9
"CA0110011","inside",4,1713,14.6
"CA0110011","inside",5,1713,10.9
"CA0110011","inside",6,1713,8.7
"CA0110011","inside",7,1713,7
"CA0110011","inside",8,1713,5.8
"CA0110011","inside",9,1713,4.8
"CA0110011","inside",10,1713,4.2
"CA0110011","inside",11,1713,3.7
"CA0110011","inside",12,1713,3.3
"CA0110011","inside",13,1713,3
"CA0110011","inside",14,1713,2.7
"CA0110011","inside",15,1713,2.5
"CA0110011","inside",16,1713,2.3
"CA0110011","inside",17,1713,2.2
"CA0110011","inside",18,1713,2
"CA0110011","inside",19,1713,1.9
"CA0110011","inside",20,1713,1.8
"CA0310001","inside",0,1381,100
"CA0310001","inside",1,1381,87.8
"CA0310001","inside",2,1381,61.2
"CA0310001","inside",3,1381,51
"CA0310001","inside",4,1381,34.6
"CA0310001","inside",5,1381,32.2
"CA0310001","inside",6,1381,29
"CA0310001","inside",7,1381,25.7
"CA0310001","inside",8,1381,17.6
"CA0310001","inside",9,1381,10.4
"CA0310001","inside",10,1381,9.2
"CA0310001","inside",11,1381,8.7
"CA0310001","inside",12,1381,8.4
"CA0310001","inside",13,1381,7.8
"CA0310001","inside",14,1381,7.5
"CA0310001","inside",15,1381,6.6
"CA0310001","inside",16,1381,6.3
"CA0310001","inside",17,1381,5.7
"CA0310001","inside",18,1381,4.8
"CA0310001","inside",19,1381,4.5
"CA0310001","inside",20,1381,4.5
"CA0310002","inside",0,2234,100
"CA0310002","inside",1,2234,96.4
"CA0310002","inside",2,2234,74.8
"CA0310002","inside",3,2234,52.5
"CA0310002","inside",4,2234,40.1
"CA0310002","inside",5,2234,32.3
"CA0310002","inside",6,2234,27
"CA0310002","inside",7,2234,22.7
"CA0310002","inside",8,2234,21.3
"CA0310002","inside",9,2234,18.1
"CA0310002","inside",10,2234,15.6
"CA0310002","inside",11,2234,14.5
"CA0310002","inside",12,2234,11.7
"CA0310002","inside",13,2234,10.3
"CA0310002","inside",14,2234,8.2
"CA0310002","inside",15,2234,7.1
"CA0310002","inside",16,2234,6.7
"CA0310002","inside",17,2234,6.7
"CA0310002","inside",18,2234,5.7
"CA0310002","inside",19,2234,5.7
"CA0310002","inside",20,2234,5
"CA0310003","inside",0,2234,100
"CA0310003","inside",1,2234,97.2
"CA0310003","inside",2,2234,79.6
"CA0310003","inside",3,2234,66
"CA0310003","inside",4,2234,48.5
"CA0310003","inside",5,2234,40.2
"CA0310003","inside",6,2234,35.6
"CA0310003","inside",7,2234,32
"CA0310003","inside",8,2234,27.6
"CA0310003","inside",9,2234,22.9
"CA0310003","inside",10,2234,19.2
"CA0310003","inside",11,2234,16.5
"CA0310003","inside",12,2234,15.3
"CA0310003","inside",13,2234,13.8
"CA0310003","inside",14,2234,12.6
"CA0310003","inside",15,2234,11.6
"CA0310003","inside",16,2234,10
"CA0310003","inside",17,2234,8.7
"CA0310003","inside",18,2234,8.4
"CA0310003","inside",19,2234,8
"CA0310003","inside",20,2234,6.8
"CA0310005","inside",0,1420,100
"CA0310005","inside",1,1420,82.7
"CA0310005","inside",2,1420,49
"CA0310005","inside",3,1420,34.5
"CA0310005","inside",4,1420,26.9
"CA0310005","inside",5,1420,16.5
"CA0310005","inside",6,1420,14.5
"CA0310005","inside",7,1420,12.8
"CA0310005","inside",8,1420,8.8
"CA0310005","inside",9,1420,6.4
"CA0310005","inside",10,1420,4.7
"CA0310005","inside",11,1420,3.9
"CA0310005","inside",12,1420,2.9
"CA0310005","inside",13,1420,2.2
"CA0310005","inside",14,1420,1.9
"CA0310005","inside",15,1420,1.4
"CA0310005","inside",16,1420,1.2
"CA0310005","inside",17,1420,1
"CA0310005","inside",18,1420,0.8
"CA0310005","inside",19,1420,0.8
"CA0310005","inside",20,1420,0.8
"CA0310012","inside",0,2234,100
"CA0310012","inside",1,2234,97.3
"CA0310012","inside",2,2234,79.1
"CA0310012","inside",3,2234,55.1
"CA0310012","inside",4,2234,43.9
"CA0310012","inside",5,2234,37.5
"CA0310012","inside",6,2234,31.5
"CA0310012","inside",7,2234,26.6
"CA0310012","inside",8,2234,20.7
"CA0310012","inside",9,2234,16.4
"CA0310012","inside",10,2234,14.1
"CA0310012","inside",11,2234,12.5
"CA0310012","inside",12,2234,10.2
"CA0310012","inside",13,2234,8.2
"CA0310012","inside",14,2234,7.2
"CA0310012","inside",15,2234,6.6
"CA0310012","inside",16,2234,6.3
"CA0310012","inside",17,2234,6.1
"CA0310012","inside",18,2234,5.7
"CA0310012","inside",19,2234,5.3
