"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,1203,100
"CA0110001","outside",0,1270,100
"CA0110001","inside",1,1203,46.4
"CA0110001","outside",1,1270,38.5
"CA0110001","inside",2,1203,20.1
"CA0110001","outside",2,1270,19.2
"CA0110001","inside",3,1203,12.3
"CA0110001","outside",3,1270,14.1
"CA0110001","inside",4,1203,8.8
"CA0110001","outside",4,1270,9
"CA0110001","inside",5,1203,6.8
"CA0110001","outside",5,1270,7.7
"CA0110001","inside",6,1203,5.4
"CA0110001","outside",6,1270,5.1
"CA0110001","inside",7,1203,4.6
"CA0110001","outside",7,1270,5.1
"CA0110001","inside",8,1203,4
"CA0110001","outside",8,1270,3.9
"CA0110001","inside",9,1203,3.4
"CA0110001","outside",9,1270,2.6
"CA0110001","inside",10,1203,3
"CA0110001","outside",10,1270,2.6
"CA0110001","inside",11,1203,2.7
"CA0110001","outside",11,1270,2.6
"CA0110001","inside",12,1203,2.4
"CA0110001","outside",12,1270,2.6
"CA0110001","inside",13,1203,2.2
"CA0110001","outside",13,1270,2.6
"CA0110001","inside",14,1203,2.1
"CA0110001","outside",14,1270,2.6
"CA0110001","inside",15,1203,1.9
"CA0110001","outside",15,1270,2.6
"CA0110001","inside",16,1203,1.8
"CA0110001","outside",16,1270,2.6
"CA0110001","inside",17,1203,1.7
"CA0110001","outside",17,1270,2.6
"CA0110001","inside",18,1203,1.6
"CA0110001","outside",18,1270,2.6
"CA0110001","inside",19,1203,1.5
"CA0110001","outside",19,1270,2.6
"CA0110001","inside",20,1203,1.5
"CA0110001","outside",20,1270,2.6
"CA0110003","inside",0,1480,100
"CA0110003","inside",1,1480,58.9
"CA0110003","inside",2,1480,29.6
"CA0110003","inside",3,1480,17.8
"CA0110003","inside",4,1480,12.4
"CA0110003","inside",5,1480,9.4
"CA0110003","inside",6,1480,7.3
"CA0110003","inside",7,1480,5.8
"CA0110003","inside",8,1480,4.7
"CA0110003","inside",9,1480,3.9
"CA0110003","inside",10,1480,3.3
"CA0110003","inside",11,1480,3
"CA0110003","inside",12,1480,2.7
"CA0110003","inside",13,1480,2.5
"CA0110003","inside",14,1480,2.2
"CA0110003","inside",15,1480,2
"CA0110003","inside",16,1480,1.9
"CA0110003","inside",17,1480,1.8
"CA0110003","inside",18,1480,1.7
"CA0110003","inside",19,1480,1.6
"CA0110003","inside",20,1480,1.5
"CA0110005","inside",0,1169,100
"CA0110005","inside",1,1169,60.8
"CA0110005","inside",2,1169,34.5
"CA0110005","inside",3,1169,23.3
"CA0110005","inside",4,1169,17.2
"CA0110005","inside",5,1169,13.7
"CA0110005","inside",6,1169,11.3
"CA0110005","inside",7,1169,9.7
"CA0110005","inside",8,1169,8.3
"CA0110005","inside",9,1169,7
"CA0110005","inside",10,1169,6
"CA0110005","inside",11,1169,5.1
