"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,982,100
"CA0110001","outside",0,1015,100
"CA0110001","inside",1,982,36.3
"CA0110001","outside",1,1015,26.9
"CA0110001","inside",2,982,15.1
"CA0110001","outside",2,1015,15.4
"CA0110001","inside",3,982,9.8
"CA0110001","outside",3,1015,9
"CA0110001","inside",4,982,6.9
"CA0110001","outside",4,1015,7.7
"CA0110001","inside",5,982,5.3
"CA0110001","outside",5,1015,5.1
"CA0110001","inside",6,982,4.3
"CA0110001","outside",6,1015,5.1
"CA0110001","inside",7,982,3.6
"CA0110001","outside",7,1015,2.6
"CA0110001","inside",8,982,3.1
"CA0110001","outside",8,1015,2.6
"CA0110001","inside",9,982,2.7
"CA0110001","outside",9,1015,2.6
"CA0110001","inside",10,982,2.3
"CA0110001","outside",10,1015,2.6
"CA0110001","inside",11,982,2.1
"CA0110001","outside",11,1015,2.6
"CA0110001","inside",12,982,2
"CA0110001","outside",12,1015,2.6
"CA0110001","inside",13,982,1.8
"CA0110001","outside",13,1015,2.6
"CA0110001","inside",14,982,1.7
"CA0110001","outside",14,1015,2.6
"CA0110001","inside",15,982,1.6
"CA0110001","outside",15,1015,2.6
"CA0110001","inside",16,982,1.5
"CA0110001","outside",16,1015,2.6
"CA0110001","inside",17,982,1.4
"CA0110001","outside",17,1015,1.3
"CA0110001","inside",18,982,1.3
"CA0110001","outside",18,1015,1.3
"CA0110001","inside",19,982,1.3
"CA0110001","outside",19,1015,1.3
"CA0110001","inside",20,982,1.2
"CA0110001","outside",20,1015,1.3
"CA0110003","inside",0,1307,100
"CA0110003","inside",1,1307,52.9
"CA0110003","inside",2,1307,26.3
"CA0110003","inside",3,1307,15.1
"CA0110003","inside",4,1307,10.6
"CA0110003","inside",5,1307,7.9
"CA0110003","inside",6,1307,6
"CA0110003","inside",7,1307,4.8
"CA0110003","inside",8,1307,3.8
"CA0110003","inside",9,1307,3.3
"CA0110003","inside",10,1307,2.9
"CA0110003","inside",11,1307,2.6
"CA0110003","inside",12,1307,2.2
"CA0110003","inside",13,1307,2
"CA0110003","inside",14,1307,1.9
"CA0110003","inside",15,1307,1.8
"CA0110003","inside",16,1307,1.7
"CA0110003","inside",17,1307,1.6
"CA0110003","inside",18,1307,1.5
"CA0110003","inside",19,1307,1.3
"CA0110003","inside",20,1307,1.3
"CA0110005","inside",0,833,100
"CA0110005","inside",1,833,46.6
"CA0110005","inside",2,833,24.8
"CA0110005","inside",3,833,16.4
"CA0110005","inside",4,833,12.1
"CA0110005","inside",5,833,9.6
"CA0110005","inside",6,833,7.7
"CA0110005","inside",7,833,6.1
"CA0110005","inside",8,833,4.9
"CA0110005","inside",9,833,4.2
"CA0110005","inside",10,833,3.8
"CA0110005","inside",11,833,3.5
"CA0110005","inside",12,833,3.2
"CA0110005","inside",13,833,2.9
"CA0110005","inside",14,833,2.7
"CA0110005","inside",15,833,2.5
"CA0110005","inside",16,833,2.4
"CA0110005","inside",17,833,2.2
"CA0110005","inside",18,833,2.1
"CA0110005","inside",19,833,2
"CA0110005","inside",20,833,1.9
"CA0110006","inside",0,901,100
"CA0110006","outside",0,971,100
"CA0110006","inside",1,901,53.1
"CA0110006","outside",1,971,68.6
"CA0110006","inside",2,901,23.6
"CA0110006","outside",2,971,36
"CA0110006","inside",3,901,15.2
"CA0110006","outside",3,971,24.9
"CA0110006","inside",4,901,10.7
"CA0110006","outside",4,971,19.2
"CA0110006","inside",5,901,8.1
"CA0110006","outside",5,971,15.6
"CA0110006","inside",6,901,6.3
"CA0110006","outside",6,971,14.7
"CA0110006","inside",7,901,5
"CA0110006","outside",7,971,13
"CA0110006","inside",8,901,4
"CA0110006","outside",8,971,11.1
"CA0110006","inside",9,901,3.1
"CA0110006","outside",9,971,10
"CA0110006","inside",10,901,2.9
"CA0110006","outside",10,971,8.9
"CA0110006","inside",11,901,2.6
"CA0110006","outside",11,971,8.2
"CA0110006","inside",12,901,2.4
"CA0110006","outside",12,971,7.8
"CA0110006","inside",13,901,2.2
"CA0110006","outside",13,971,7.3
"CA0110006","inside",14,901,2
"CA0110006","outside",14,971,6.9
"CA0110006","inside",15,901,1.9
"CA0110006","outside",15,971,6.5
"CA0110006","inside",16,901,1.8
"CA0110006","outside",16,971,6
"CA0110006","inside",17,901,1.7
"CA0110006","outside",17,971,5.6
"CA0110006","inside",18,901,1.6
"CA0110006","outside",18,971,5.4
"CA0110006","inside",19,901,1.5
"CA0110006","outside",19,971,5.1
"CA0110006","inside",20,901,1.4
"CA0110006","outside",20,971,4.9
"CA0110008","inside",0,1460,100
"CA0110008","inside",1,1460,46.9
"CA0110008","inside",2,1460,21.3
"CA0110008","inside",3,1460,14.4
"CA0110008","inside",4,1460,11.2
"CA0110008","inside",5,1460,9
"CA0110008","inside",6,1460,7.6
"CA0110008","inside",7,1460,6.1
"CA0110008","inside",8,1460,5.2
"CA0110008","inside",9,1460,4.6
"CA0110008","inside",10,1460,4
"CA0110008","inside",11,1460,3.5
"CA0110008","inside",12,1460,3
"CA0110008","inside",13,1460,2.7
"CA0110008","inside",14,1460,2.4
"CA0110008","inside",15,1460,2.1
"CA0110008","inside",16,1460,2
"CA0110008","inside",17,1460,1.9
"CA0110008","inside",18,1460,1.8
"CA0110008","inside",19,1460,1.7
"CA0110008","inside",20,1460,1.6
"CA0110009","inside",0,931,100
"CA0110009","inside",1,931,26.7
"CA0110009","inside",2,931,11.9
"CA0110009","inside",3,931,7.6
"CA0110009","inside",4,931,5.5
"CA0110009","inside",5,931,4.3
"CA0110009","inside",6,931,3.8
"CA0110009","inside",7,931,3.2
"CA0110009","inside",8,931,2.8
"CA0110009","inside",9,931,2.4
"CA0110009","inside",10,931,2.1
"CA0110009","inside",11,931,1.9
"CA0110009","inside",12,931,1.8
"CA0110009","inside",13,931,1.7
"CA0110009","inside",14,931,1.6
"CA0110009","inside",15,931,1.5
"CA0110009","inside",16,931,1.4
"CA0110009","inside",17,931,1.3
"CA0110009","inside",18,931,1.2
"CA0110009","inside",19,931,1.2
"CA0110009","inside",20,931,1.1
"CA0110011","inside",0,1368,100
"CA0110011","inside",1,1368,55.4
"CA0110011","inside",2,1368,26.9
"CA0110011","inside",3,1368,15.6
"CA0110011","inside",4,1368,10.9
"CA0110011","inside",5,1368,8.2
"CA0110011","inside",6,1368,6.3
"CA0110011","inside",7,1368,5
"CA0110011","inside",8,1368,4.2
"CA0110011","inside",9,1368,3.5
"CA0110011","inside",10,1368,3.1
"CA0110011","inside",11,1368,2.8
"CA0110011","inside",12,1368,2.5
"CA0110011","inside",13,1368,2.3
"CA0110011","inside",14,1368,2.1
"CA0110011","inside",15,1368,1.9
"CA0110011","inside",16,1368,1.8
"CA0110011","inside",17,1368,1.7
"CA0110011","inside",18,1368,1.6
"CA0110011","inside",19,1368,1.5
"CA0110011","inside",20,1368,1.4
"CA0310001","inside",0,1070,100
"CA0310001","inside",1,1070,83.3
"CA0310001","inside",2,1070,53.4
"CA0310001","inside",3,1070,37
"CA0310001","inside",4,1070,31.3
"CA0310001","inside",5,1070,27.2
"CA0310001","inside",6,1070,20
"CA0310001","inside",7,1070,10.2
"CA0310001","inside",8,1070,9
"CA0310001","inside",9,1070,8.4
"CA0310001","inside",10,1070,7.8
"CA0310001","inside",11,1070,7.5
"CA0310001","inside",12,1070,6.3
"CA0310001","inside",13,1070,6
"CA0310001","inside",14,1070,4.8
"CA0310001","inside",15,1070,4.5
"CA0310001","inside",16,1070,4.2
"CA0310001","inside",17,1070,3.9
"CA0310001","inside",18,1070,3.9
"CA0310001","inside",19,1070,3.6
"CA0310001","inside",20,1070,3.3
"CA0310002","inside",0,1999,100
"CA0310002","inside",1,1999,92.6
"CA0310002","inside",2,1999,68.1
"CA0310002","inside",3,1999,45.7
"CA0310002","inside",4,1999,34
"CA0310002","inside",5,1999,27.7
"CA0310002","inside",6,1999,24.8
"CA0310002","inside",7,1999,21.6
