"pwsid","category","percent_income","annual_cost","percent_pays_more"
"OR4100657","inside",0,2585,100
"OR4100657","inside",1,2585,100
"OR4100657","inside",2,2585,76.6
"OR4100657","inside",3,2585,58.2
"OR4100657","inside",4,2585,46
"OR4100657","inside",5,2585,37.2
"OR4100657","inside",6,2585,31.2
"OR4100657","inside",7,2585,26.8
"OR4100657","inside",8,2585,23.6
"OR4100657","inside",9,2585,20.8
"OR4100657","inside",10,2585,18.5
"OR4100657","inside",11,2585,16.8
"OR4100657","inside",12,2585,15.4
"OR4100657","inside",13,2585,14.2
"OR4100657","inside",14,2585,13.1
"OR4100657","inside",15,2585,12.2
"OR4100657","inside",16,2585,11.4
"OR4100657","inside",17,2585,10.8
"OR4100657","inside",18,2585,10.1
"OR4100657","inside",19,2585,9.5
"OR4100657","inside",20,2585,9
"OR4100587","inside",0,978,100
"OR4100587","inside",1,978,86.3
"OR4100587","inside",2,978,56.2
"OR4100587","inside",3,978,39.1
"OR4100587","inside",4,978,30.2
"OR4100587","inside",5,978,23.6
"OR4100587","inside",6,978,19.1
"OR4100587","inside",7,978,15.5
"OR4100587","inside",8,978,12.9
"OR4100587","inside",9,978,10.8
"OR4100587","inside",10,978,9.4
"OR4100587","inside",11,978,8.3
"OR4100587","inside",12,978,7.7
"OR4100587","inside",13,978,7.2
"OR4100587","inside",14,978,6.5
"OR4100587","inside",15,978,5.9
"OR4100587","inside",16,978,5.5
"OR4100587","inside",17,978,4.9
"OR4100587","inside",18,978,4.8
"OR4100587","inside",19,978,4.4
"OR4100587","inside",20,978,4.2
"OR4100513","inside",0,1154,100
"OR4100513","inside",1,1154,86.5
"OR4100513","inside",2,1154,58.9
"OR4100513","inside",3,1154,39.5
"OR4100513","inside",4,1154,29
"OR4100513","inside",5,1154,22.8
"OR4100513","inside",6,1154,18
"OR4100513","inside",7,1154,15.1
"OR4100513","inside",8,1154,12.7
"OR4100513","inside",9,1154,11
"OR4100513","inside",10,1154,9.7
"OR4100513","inside",11,1154,8.7
"OR4100513","inside",12,1154,7.8
"OR4100513","inside",13,1154,7.2
"OR4100513","inside",14,1154,6.7
"OR4100513","inside",15,1154,6.2
"OR4100513","inside",16,1154,5.8
"OR4100513","inside",17,1154,5.4
"OR4100513","inside",18,1154,5.1
"OR4100513","inside",19,1154,4.9
"OR4100513","inside",20,1154,4.7
"OR4100613","inside",0,1230,100
"OR4100613","inside",1,1230,89.9
"OR4100613","inside",2,1230,59.6
"OR4100613","inside",3,1230,42.4
"OR4100613","inside",4,1230,28.2
"OR4100613","inside",5,1230,24.9
"OR4100613","inside",6,1230,22.2
"OR4100613","inside",7,1230,18.6
"OR4100613","inside",8,1230,15.5
