"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,1646,100
"CA0110001","outside",0,1778,100
"CA0110001","inside",1,1646,63
"CA0110001","outside",1,1778,51.3
"CA0110001","inside",2,1646,29.2
"CA0110001","outside",2,1778,25.6
"CA0110001","inside",3,1646,17.7
"CA0110001","outside",3,1778,18
"CA0110001","inside",4,1646,12.6
"CA0110001","outside",4,1778,14.1
"CA0110001","inside",5,1646,9.8
"CA0110001","outside",5,1778,10.3
"CA0110001","inside",6,1646,7.8
"CA0110001","outside",6,1778,9
"CA0110001","inside",7,1646,6.6
"CA0110001","outside",7,1778,7.7
"CA0110001","inside",8,1646,5.6
"CA0110001","outside",8,1778,5.1
"CA0110001","inside",9,1646,4.9
"CA0110001","outside",9,1778,5.1
"CA0110001","inside",10,1646,4.4
"CA0110001","outside",10,1778,5.1
"CA0110001","inside",11,1646,3.9
"CA0110001","outside",11,1778,3.9
"CA0110001","inside",12,1646,3.5
"CA0110001","outside",12,1778,2.6
"CA0110001","inside",13,1646,3.2
"CA0110001","outside",13,1778,2.6
"CA0110001","inside",14,1646,2.9
"CA0110001","outside",14,1778,2.6
"CA0110001","inside",15,1646,2.7
"CA0110001","outside",15,1778,2.6
"CA0110001","inside",16,1646,2.5
"CA0110001","outside",16,1778,2.6
"CA0110001","inside",17,1646,2.3
"CA0110001","outside",17,1778,2.6
"CA0110001","inside",18,1646,2.2
"CA0110001","outside",18,1778,2.6
"CA0110001","inside",19,1646,2.1
"CA0110001","outside",19,1778,2.6
"CA0110001","inside",20,1646,2
"CA0110001","outside",20,1778,2.6
"CA0110003","inside",0,1900,100
"CA0110003","inside",1,1900,73.2
"CA0110003","inside",2,1900,38.2
"CA0110003","inside",3,1900,25.6
"CA0110003","inside",4,1900,17
"CA0110003","inside",5,1900,12.8
"CA0110003","inside",6,1900,10.2
"CA0110003","inside",7,1900,8.3
"CA0110003","inside",8,1900,6.9
"CA0110003","inside",9,1900,5.7
"CA0110003","inside",10,1900,4.9
"CA0110003","inside",11,1900,4.2
"CA0110003","inside",12,1900,3.6
"CA0110003","inside",13,1900,3.3
"CA0110003","inside",14,1900,3
"CA0110003","inside",15,1900,2.8
"CA0110003","inside",16,1900,2.6
"CA0110003","inside",17,1900,2.4
"CA0110003","inside",18,1900,2.2
"CA0110003","inside",19,1900,2
"CA0110003","inside",20,1900,2
"CA0110005","inside",0,1846,100
"CA0110005","inside",1,1846,78.6
"CA0110005","inside",2,1846,50.9
"CA0110005","inside",3,1846,36.1
"CA0110005","inside",4,1846,27.4
"CA0110005","inside",5,1846,22.1
"CA0110005","inside",6,1846,18.2
"CA0110005","inside",7,1846,15.5
"CA0110005","inside",8,1846,13.5
"CA0110005","inside",9,1846,11.9
"CA0110005","inside",10,1846,10.7
"CA0110005","inside",11,1846,9.7
"CA0110005","inside",12,1846,8.9
"CA0110005","inside",13,1846,8
"CA0110005","inside",14,1846,7.2
"CA0110005","inside",15,1846,6.5
"CA0110005","inside",16,1846,5.9
"CA0110005","inside",17,1846,5.3
"CA0110005","inside",18,1846,4.8
"CA0110005","inside",19,1846,4.5
"CA0110005","inside",20,1846,4.2
"CA0110006","inside",0,1985,100
"CA0110006","outside",0,1808,100
"CA0110006","inside",1,1985,90.1
"CA0110006","outside",1,1808,87.7
"CA0110006","inside",2,1985,58.8
"CA0110006","outside",2,1808,64.1
"CA0110006","inside",3,1985,37.9
"CA0110006","outside",3,1808,45.4
"CA0110006","inside",4,1985,26.2
"CA0110006","outside",4,1808,31
"CA0110006","inside",5,1985,20.6
"CA0110006","outside",5,1808,27
"CA0110006","inside",6,1985,16.7
"CA0110006","outside",6,1808,23.3
"CA0110006","inside",7,1985,14.2
"CA0110006","outside",7,1808,20.5
"CA0110006","inside",8,1985,12.1
"CA0110006","outside",8,1808,17.6
"CA0110006","inside",9,1985,10.5
"CA0110006","outside",9,1808,15.8
"CA0110006","inside",10,1985,9.2
"CA0110006","outside",10,1808,15.2
"CA0110006","inside",11,1985,8.1
"CA0110006","outside",11,1808,14.8
"CA0110006","inside",12,1985,7.3
"CA0110006","outside",12,1808,14.3
"CA0110006","inside",13,1985,6.5
"CA0110006","outside",13,1808,13
"CA0110006","inside",14,1985,5.8
"CA0110006","outside",14,1808,11.7
"CA0110006","inside",15,1985,5.3
"CA0110006","outside",15,1808,11.1
"CA0110006","inside",16,1985,4.7
"CA0110006","outside",16,1808,10.5
"CA0110006","inside",17,1985,4.2
"CA0110006","outside",17,1808,9.9
"CA0110006","inside",18,1985,3.8
"CA0110006","outside",18,1808,9.2
"CA0110006","inside",19,1985,3.4
"CA0110006","outside",19,1808,8.8
"CA0110006","inside",20,1985,3.1
"CA0110006","outside",20,1808,8.5
"CA0110008","inside",0,2000,100
"CA0110008","inside",1,2000,64.9
"CA0110008","inside",2,2000,31.5
"CA0110008","inside",3,2000,19.2
"CA0110008","inside",4,2000,14.7
"CA0110008","inside",5,2000,12.3
"CA0110008","inside",6,2000,10.2
"CA0110008","inside",7,2000,8.8
"CA0110008","inside",8,2000,7.9
"CA0110008","inside",9,2000,6.7
"CA0110008","inside",10,2000,5.8
"CA0110008","inside",11,2000,5.2
"CA0110008","inside",12,2000,4.7
"CA0110008","inside",13,2000,4.3
"CA0110008","inside",14,2000,3.9
"CA0110008","inside",15,2000,3.5
"CA0110008","inside",16,2000,3.2
"CA0110008","inside",17,2000,2.9
"CA0110008","inside",18,2000,2.6
"CA0110008","inside",19,2000,2.4
"CA0110008","inside",20,2000,2.2
"CA0110009","inside",0,1506,100
"CA0110009","inside",1,1506,50.3
"CA0110009","inside",2,1506,20.2
"CA0110009","inside",3,1506,13.2
"CA0110009","inside",4,1506,9.1
"CA0110009","inside",5,1506,7.4
"CA0110009","inside",6,1506,5.9
"CA0110009","inside",7,1506,5
"CA0110009","inside",8,1506,4.4
"CA0110009","inside",9,1506,4
"CA0110009","inside",10,1506,3.7
"CA0110009","inside",11,1506,3.4
"CA0110009","inside",12,1506,3
"CA0110009","inside",13,1506,2.8
"CA0110009","inside",14,1506,2.5
"CA0110009","inside",15,1506,2.3
"CA0110009","inside",16,1506,2.2
"CA0110009","inside",17,1506,2
"CA0110009","inside",18,1506,1.9
"CA0110009","inside",19,1506,1.8
"CA0110009","inside",20,1506,1.7
"CA0110011","inside",0,1894,100
"CA0110011","inside",1,1894,73.2
"CA0110011","inside",2,1894,38
"CA0110011","inside",3,1894,24.9
"CA0110011","inside",4,1894,16.5
"CA0110011","inside",5,1894,12.6
"CA0110011","inside",6,1894,9.9
"CA0110011","inside",7,1894,8.1
"CA0110011","inside",8,1894,6.7
"CA0110011","inside",9,1894,5.6
"CA0110011","inside",10,1894,4.8
"CA0110011","inside",11,1894,4.2
"CA0110011","inside",12,1894,3.8
"CA0110011","inside",13,1894,3.4
"CA0110011","inside",14,1894,3.1
"CA0110011","inside",15,1894,2.8
"CA0110011","inside",16,1894,2.6
"CA0110011","inside",17,1894,2.5
"CA0110011","inside",18,1894,2.3
"CA0110011","inside",19,1894,2.1
"CA0110011","inside",20,1894,2
"CA0310001","inside",0,1537,100
"CA0310001","inside",1,1537,93.1
"CA0310001","inside",2,1537,67.8
"CA0310001","inside",3,1537,52.8
"CA0310001","inside",4,1537,44.8
"CA0310001","inside",5,1537,33.4
"CA0310001","inside",6,1537,31
"CA0310001","inside",7,1537,27.8
"CA0310001","inside",8,1537,23.9
"CA0310001","inside",9,1537,16.1
"CA0310001","inside",10,1537,10.4
"CA0310001","inside",11,1537,9.2
"CA0310001","inside",12,1537,9
"CA0310001","inside",13,1537,8.4
"CA0310001","inside",14,1537,8.1
"CA0310001","inside",15,1537,7.5
"CA0310001","inside",16,1537,7.5
"CA0310001","inside",17,1537,6.6
"CA0310001","inside",18,1537,6
"CA0310001","inside",19,1537,5.7
"CA0310001","inside",20,1537,4.8
"CA0310002","inside",0,2351,100
"CA0310002","inside",1,2351,98.2
"CA0310002","inside",2,2351,78.7
"CA0310002","inside",3,2351,55.7
"CA0310002","inside",4,2351,41.1
"CA0310002","inside",5,2351,33
"CA0310002","inside",6,2351,27.3
"CA0310002","inside",7,2351,25.2
"CA0310002","inside",8,2351,22
"CA0310002","inside",9,2351,19.5
"CA0310002","inside",10,2351,16.7
"CA0310002","inside",11,2351,14.9
"CA0310002","inside",12,2351,13.8
"CA0310002","inside",13,2351,11.3
"CA0310002","inside",14,2351,9.6
"CA0310002","inside",15,2351,7.8
"CA0310002","inside",16,2351,6.7
"CA0310002","inside",17,2351,6.7
"CA0310002","inside",18,2351,6.4
"CA0310002","inside",19,2351,5.7
"CA0310002","inside",20,2351,5.7
"CA0310003","inside",0,2351,100
"CA0310003","inside",1,2351,98.2
"CA0310003","inside",2,2351,80.3
"CA0310003","inside",3,2351,68
"CA0310003","inside",4,2351,50.2
"CA0310003","inside",5,2351,41.4
"CA0310003","inside",6,2351,36.6
"CA0310003","inside",7,2351,33.3
"CA0310003","inside",8,2351,29.5
"CA0310003","inside",9,2351,25
"CA0310003","inside",10,2351,20.8
"CA0310003","inside",11,2351,18
"CA0310003","inside",12,2351,16
"CA0310003","inside",13,2351,14.8
"CA0310003","inside",14,2351,13.4
"CA0310003","inside",15,2351,12.4
"CA0310003","inside",16,2351,11.1
"CA0310003","inside",17,2351,9.9
"CA0310003","inside",18,2351,8.5
"CA0310003","inside",19,2351,8.4
"CA0310003","inside",20,2351,8
"CA0310005","inside",0,1665,100
"CA0310005","inside",1,1665,89.9
"CA0310005","inside",2,1665,54.2
"CA0310005","inside",3,1665,37.9
"CA0310005","inside",4,1665,31
"CA0310005","inside",5,1665,22.6
"CA0310005","inside",6,1665,16
"CA0310005","inside",7,1665,14.7
"CA0310005","inside",8,1665,13.1
"CA0310005","inside",9,1665,10.8
"CA0310005","inside",10,1665,7.2
"CA0310005","inside",11,1665,5.2
"CA0310005","inside",12,1665,4.7
"CA0310005","inside",13,1665,3.7
"CA0310005","inside",14,1665,2.9
"CA0310005","inside",15,1665,2.4
