"pwsid","category","percent_income","annual_cost","percent_pays_more"
"OR4100657","inside",0,1485,100
"OR4100657","inside",1,1485,82
"OR4100657","inside",2,1485,52
"OR4100657","inside",3,1485,35.7
"OR4100657","inside",4,1485,27
"OR4100657","inside",5,1485,21.5
"OR4100657","inside",6,1485,17.7
"OR4100657","inside",7,1485,15.1
"OR4100657","inside",8,1485,13.2
"OR4100657","inside",9,1485,11.7
"OR4100657","inside",10,1485,10.5
"OR4100657","inside",11,1485,9.4
"OR4100657","inside",12,1485,8.6
"OR4100657","inside",13,1485,7.8
"OR4100657","inside",14,1485,7.2
"OR4100657","inside",15,1485,6.6
"OR4100657","inside",16,1485,6.2
"OR4100657","inside",17,1485,5.8
"OR4100657","inside",18,1485,5.5
"OR4100657","inside",19,1485,5.2
"OR4100657","inside",20,1485,5
"OR4100587","inside",0,608,100
"OR4100587","inside",1,608,65.7
"OR4100587","inside",2,608,36.8
"OR4100587","inside",3,608,24.3
"OR4100587","inside",4,608,17.5
"OR4100587","inside",5,608,12.8
"OR4100587","inside",6,608,9.7
"OR4100587","inside",7,608,8.3
"OR4100587","inside",8,608,7.3
"OR4100587","inside",9,608,6.2
"OR4100587","inside",10,608,5.4
"OR4100587","inside",11,608,4.8
"OR4100587","inside",12,608,4.4
"OR4100587","inside",13,608,4.1
"OR4100587","inside",14,608,3.8
"OR4100587","inside",15,608,3.7
"OR4100587","inside",16,608,3.3
"OR4100587","inside",17,608,3.1
"OR4100587","inside",18,608,2.9
"OR4100587","inside",19,608,2.8
"OR4100587","inside",20,608,2.7
"OR4100513","inside",0,825,100
"OR4100513","inside",1,825,74
"OR4100513","inside",2,825,42.8
"OR4100513","inside",3,825,27.5
"OR4100513","inside",4,825,19.7
"OR4100513","inside",5,825,15.1
"OR4100513","inside",6,825,11.9
"OR4100513","inside",7,825,9.9
"OR4100513","inside",8,825,8.5
"OR4100513","inside",9,825,7.5
"OR4100513","inside",10,825,6.7
"OR4100513","inside",11,825,6
"OR4100513","inside",12,825,5.5
"OR4100513","inside",13,825,5.1
"OR4100513","inside",14,825,4.8
"OR4100513","inside",15,825,4.5
"OR4100513","inside",16,825,4.2
"OR4100513","inside",17,825,4
"OR4100513","inside",18,825,3.7
"OR4100513","inside",19,825,3.5
"OR4100513","inside",20,825,3.4
"OR4100613","inside",0,1098,100
"OR4100613","inside",1,1098,86.1
"OR4100613","inside",2,1098,54.8
"OR4100613","inside",3,1098,36.6
"OR4100613","inside",4,1098,25.9
"OR4100613","inside",5,1098,23.2
"OR4100613","inside",6,1098,19.5
"OR4100613","inside",7,1098,15.8
"OR4100613","inside",8,1098,13.4
"OR4100613","inside",9,1098,11.5
"OR4100613","inside",10,1098,10
"OR4100613","inside",11,1098,9.2
"OR4100613","inside",12,1098,8.3
"OR4100613","inside",13,1098,7.7
"OR4100613","inside",14,1098,7
"OR4100613","inside",15,1098,6.6
"OR4100613","inside",16,1098,6.1
"OR4100613","inside",17,1098,5.9
"OR4100613","inside",18,1098,5.6
"OR4100613","inside",19,1098,5.4
"OR4100613","inside",20,1098,5.1
"OR4100372","inside",0,947,100
"OR4100372","inside",1,947,82.1
"OR4100372","inside",2,947,46.3
"OR4100372","inside",3,947,28.8
"OR4100372","inside",4,947,18.4
"OR4100372","inside",5,947,13
"OR4100372","inside",6,947,9.7
"OR4100372","inside",7,947,8.2
"OR4100372","inside",8,947,7.2
"OR4100372","inside",9,947,6.5
"OR4100372","inside",10,947,5.9
"OR4100372","inside",11,947,5.4
"OR4100372","inside",12,947,5
"OR4100372","inside",13,947,4.7
"OR4100372","inside",14,947,4.5
"OR4100372","inside",15,947,4
"OR4100372","inside",16,947,3.8
"OR4100372","inside",17,947,3.6
"OR4100372","inside",18,947,3.4
"OR4100372","inside",19,947,3.1
"OR4100372","inside",20,947,3
"OR4100893","inside",0,1577,100
"OR4100893","inside",1,1577,98.2
"OR4100893","inside",2,1577,81.4
"OR4100893","inside",3,1577,64.1
"OR4100893","inside",4,1577,47.3
"OR4100893","inside",5,1577,39.8
"OR4100893","inside",6,1577,30.8
"OR4100893","inside",7,1577,26.3
"OR4100893","inside",8,1577,23.9
"OR4100893","inside",9,1577,19.9
"OR4100893","inside",10,1577,16.8
"OR4100893","inside",11,1577,14.9
"OR4100893","inside",12,1577,14.3
"OR4100893","inside",13,1577,13.3
"OR4100893","inside",14,1577,13
"OR4100893","inside",15,1577,12.5
