"pwsid","category","percent_income","annual_cost","percent_pays_more"
"OR4100657","inside",0,1760,100
"OR4100657","inside",1,1760,86.5
"OR4100657","inside",2,1760,59.2
"OR4100657","inside",3,1760,42.1
"OR4100657","inside",4,1760,31.9
"OR4100657","inside",5,1760,25.8
"OR4100657","inside",6,1760,21.2
"OR4100657","inside",7,1760,18
"OR4100657","inside",8,1760,15.7
"OR4100657","inside",9,1760,13.9
"OR4100657","inside",10,1760,12.5
"OR4100657","inside",11,1760,11.3
"OR4100657","inside",12,1760,10.3
"OR4100657","inside",13,1760,9.5
"OR4100657","inside",14,1760,8.7
"OR4100657","inside",15,1760,8.1
"OR4100657","inside",16,1760,7.5
"OR4100657","inside",17,1760,7
"OR4100657","inside",18,1760,6.6
"OR4100657","inside",19,1760,6.2
"OR4100657","inside",20,1760,5.9
"OR4100587","inside",0,701,100
"OR4100587","inside",1,701,72.6
"OR4100587","inside",2,701,42.1
"OR4100587","inside",3,701,28.5
"OR4100587","inside",4,701,20.5
"OR4100587","inside",5,701,15.6
"OR4100587","inside",6,701,12.1
"OR4100587","inside",7,701,9.5
"OR4100587","inside",8,701,8.3
"OR4100587","inside",9,701,7.5
"OR4100587","inside",10,701,6.6
"OR4100587","inside",11,701,5.7
"OR4100587","inside",12,701,5
"OR4100587","inside",13,701,4.7
"OR4100587","inside",14,701,4.3
"OR4100587","inside",15,701,4.1
"OR4100587","inside",16,701,3.8
"OR4100587","inside",17,701,3.7
"OR4100587","inside",18,701,3.4
"OR4100587","inside",19,701,3.2
"OR4100587","inside",20,701,3
"OR4100513","inside",0,879,100
"OR4100513","inside",1,879,76.8
"OR4100513","inside",2,879,46
"OR4100513","inside",3,879,29.4
"OR4100513","inside",4,879,21.3
"OR4100513","inside",5,879,16.2
"OR4100513","inside",6,879,13
"OR4100513","inside",7,879,10.7
"OR4100513","inside",8,879,9.1
"OR4100513","inside",9,879,8
"OR4100513","inside",10,879,7.2
"OR4100513","inside",11,879,6.4
"OR4100513","inside",12,879,5.8
"OR4100513","inside",13,879,5.4
"OR4100513","inside",14,879,5
"OR4100513","inside",15,879,4.8
"OR4100513","inside",16,879,4.5
"OR4100513","inside",17,879,4.2
"OR4100513","inside",18,879,4
"OR4100513","inside",19,879,3.8
"OR4100513","inside",20,879,3.6
"OR4100613","inside",0,1131,100
"OR4100613","inside",1,1131,86.9
"OR4100613","inside",2,1131,56
"OR4100613","inside",3,1131,37.8
"OR4100613","inside",4,1131,26.3
"OR4100613","inside",5,1131,23.8
"OR4100613","inside",6,1131,20.2
"OR4100613","inside",7,1131,16.4
"OR4100613","inside",8,1131,13.9
"OR4100613","inside",9,1131,11.9
"OR4100613","inside",10,1131,10.4
"OR4100613","inside",11,1131,9.6
"OR4100613","inside",12,1131,8.7
"OR4100613","inside",13,1131,8
"OR4100613","inside",14,1131,7.3
"OR4100613","inside",15,1131,6.7
"OR4100613","inside",16,1131,6.3
"OR4100613","inside",17,1131,5.9
"OR4100613","inside",18,1131,5.8
"OR4100613","inside",19,1131,5.5
"OR4100613","inside",20,1131,5.3
"OR4100372","inside",0,989,100
"OR4100372","inside",1,989,84.6
"OR4100372","inside",2,989,48.1
"OR4100372","inside",3,989,29.8
"OR4100372","inside",4,989,19.8
"OR4100372","inside",5,989,13.8
"OR4100372","inside",6,989,10.4
"OR4100372","inside",7,989,8.5
"OR4100372","inside",8,989,7.6
"OR4100372","inside",9,989,6.7
"OR4100372","inside",10,989,6.2
"OR4100372","inside",11,989,5.6
"OR4100372","inside",12,989,5.2
"OR4100372","inside",13,989,4.8
"OR4100372","inside",14,989,4.6
"OR4100372","inside",15,989,4.4
"OR4100372","inside",16,989,4
"OR4100372","inside",17,989,3.8
"OR4100372","inside",18,989,3.5
"OR4100372","inside",19,989,3.3
"OR4100372","inside",20,989,3.1
"OR4100893","inside",0,1672,100
"OR4100893","inside",1,1672,98.4
"OR4100893","inside",2,1672,83.5
"OR4100893","inside",3,1672,66.1
"OR4100893","inside",4,1672,49.5
"OR4100893","inside",5,1672,41.9
"OR4100893","inside",6,1672,33.2
"OR4100893","inside",7,1672,27.6
"OR4100893","inside",8,1672,25
"OR4100893","inside",9,1672,21.8
"OR4100893","inside",10,1672,18.5
"OR4100893","inside",11,1672,15.9
"OR4100893","inside",12,1672,14.8
"OR4100893","inside",13,1672,14.1
"OR4100893","inside",14,1672,13.2
"OR4100893","inside",15,1672,12.8
"OR4100893","inside",16,1672,12.3
"OR4100893","inside",17,1672,11.7
"OR4100893","inside",18,1672,10.9
"OR4100893","inside",19,1672,10.3
"OR4100893","inside",20,1672,10
"OR4100566","inside",0,1226,100
"OR4100566","inside",1,1226,93.1
"OR4100566","inside",2,1226,60.2
"OR4100566","inside",3,1226,44.7
"OR4100566","inside",4,1226,36
"OR4100566","inside",5,1226,27.5
"OR4100566","inside",6,1226,19.4
"OR4100566","inside",7,1226,15.8
"OR4100566","inside",8,1226,13.7
"OR4100566","inside",9,1226,11.1
"OR4100566","inside",10,1226,8.5
"OR4100566","inside",11,1226,6.7
"OR4100566","inside",12,1226,5.4
"OR4100566","inside",13,1226,4.8
"OR4100566","inside",14,1226,4.3
"OR4100566","inside",15,1226,4
"OR4100566","inside",16,1226,3.8
"OR4100566","inside",17,1226,3.6
"OR4100566","inside",18,1226,3.4
"OR4100566","inside",19,1226,3.3
"OR4100566","inside",20,1226,3.2
"OR4100483","inside",0,1256,100
"OR4100483","inside",1,1256,93.9
"OR4100483","inside",2,1256,69.7
"OR4100483","inside",3,1256,53.9
"OR4100483","inside",4,1256,38.9
"OR4100483","inside",5,1256,29.6
"OR4100483","inside",6,1256,22.8
"OR4100483","inside",7,1256,19.3
"OR4100483","inside",8,1256,16.5
"OR4100483","inside",9,1256,13.9
"OR4100483","inside",10,1256,11.5
"OR4100483","inside",11,1256,9.5
"OR4100483","inside",12,1256,8
"OR4100483","inside",13,1256,7.2
"OR4100483","inside",14,1256,6.7
"OR4100483","inside",15,1256,6.1
"OR4100483","inside",16,1256,5.8
"OR4100483","inside",17,1256,5.5
"OR4100483","inside",18,1256,5.1
"OR4100483","inside",19,1256,4.8
"OR4100483","inside",20,1256,4.5
"OR4100731","inside",0,1015,100
"OR4100731","inside",1,1015,78.2
"OR4100731","inside",2,1015,46.2
"OR4100731","inside",3,1015,30.1
"OR4100731","inside",4,1015,20.9
"OR4100731","inside",5,1015,16.1
"OR4100731","inside",6,1015,12.6
"OR4100731","inside",7,1015,10.1
"OR4100731","inside",8,1015,8.3
"OR4100731","inside",9,1015,7
"OR4100731","inside",10,1015,5.9
"OR4100731","inside",11,1015,5.3
"OR4100731","inside",12,1015,4.9
"OR4100731","inside",13,1015,4.5
"OR4100731","inside",14,1015,4.2
"OR4100731","inside",15,1015,3.9
"OR4100731","inside",16,1015,3.6
"OR4100731","inside",17,1015,3.5
"OR4100731","inside",18,1015,3.3
"OR4100731","inside",19,1015,3.1
"OR4100731","inside",20,1015,2.9
"CA0110001","inside",0,1130,100
"CA0110001","outside",0,1185,100
"CA0110001","inside",1,1130,43
"CA0110001","outside",1,1185,35.2
"CA0110001","inside",2,1130,18.5
"CA0110001","outside",2,1185,16.9
"CA0110001","inside",3,1130,11.5
"CA0110001","outside",3,1185,12.7
"CA0110001","inside",4,1130,8.2
"CA0110001","outside",4,1185,8.4
"CA0110001","inside",5,1130,6.3
"CA0110001","outside",5,1185,7
"CA0110001","inside",6,1130,5.1
"CA0110001","outside",6,1185,5.6
"CA0110001","inside",7,1130,4.3
"CA0110001","outside",7,1185,4.2
"CA0110001","inside",8,1130,3.7
"CA0110001","outside",8,1185,4.2
"CA0110001","inside",9,1130,3.2
"CA0110001","outside",9,1185,4.2
"CA0110001","inside",10,1130,2.8
