"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,1867,100
"CA0110001","outside",0,2033,100
"CA0110001","inside",1,1867,70.3
"CA0110001","outside",1,2033,64.1
"CA0110001","inside",2,1867,34.2
"CA0110001","outside",2,2033,26.9
"CA0110001","inside",3,1867,20.9
"CA0110001","outside",3,2033,21.8
"CA0110001","inside",4,1867,14.3
"CA0110001","outside",4,2033,15.4
"CA0110001","inside",5,1867,11.4
"CA0110001","outside",5,2033,12.8
"CA0110001","inside",6,1867,9.2
"CA0110001","outside",6,2033,9
"CA0110001","inside",7,1867,7.6
"CA0110001","outside",7,2033,9
"CA0110001","inside",8,1867,6.5
"CA0110001","outside",8,2033,7.7
"CA0110001","inside",9,1867,5.7
"CA0110001","outside",9,2033,5.1
"CA0110001","inside",10,1867,5
"CA0110001","outside",10,2033,5.1
"CA0110001","inside",11,1867,4.5
"CA0110001","outside",11,2033,5.1
"CA0110001","inside",12,1867,4.1
"CA0110001","outside",12,2033,5.1
"CA0110001","inside",13,1867,3.8
"CA0110001","outside",13,2033,3.9
"CA0110001","inside",14,1867,3.4
"CA0110001","outside",14,2033,2.6
"CA0110001","inside",15,1867,3.2
"CA0110001","outside",15,2033,2.6
"CA0110001","inside",16,1867,2.9
"CA0110001","outside",16,2033,2.6
"CA0110001","inside",17,1867,2.7
"CA0110001","outside",17,2033,2.6
"CA0110001","inside",18,1867,2.5
"CA0110001","outside",18,2033,2.6
"CA0110001","inside",19,1867,2.3
"CA0110001","outside",19,2033,2.6
"CA0110001","inside",20,1867,2.2
"CA0110001","outside",20,2033,2.6
"CA0110003","inside",0,2197,100
"CA0110003","inside",1,2197,85.9
"CA0110003","inside",2,2197,44.5
"CA0110003","inside",3,2197,29.3
"CA0110003","inside",4,2197,21.2
"CA0110003","inside",5,2197,15.3
"CA0110003","inside",6,2197,12.2
"CA0110003","inside",7,2197,10.1
"CA0110003","inside",8,2197,8.4
"CA0110003","inside",9,2197,7.2
"CA0110003","inside",10,2197,6.1
"CA0110003","inside",11,2197,5.2
"CA0110003","inside",12,2197,4.7
"CA0110003","inside",13,2197,4.1
"CA0110003","inside",14,2197,3.6
"CA0110003","inside",15,2197,3.3
"CA0110003","inside",16,2197,3.1
"CA0110003","inside",17,2197,2.9
"CA0110003","inside",18,2197,2.6
"CA0110003","inside",19,2197,2.5
"CA0110003","inside",20,2197,2.3
"CA0110005","inside",0,2267,100
"CA0110005","inside",1,2267,91.6
"CA0110005","inside",2,2267,59.5
"CA0110005","inside",3,2267,43
"CA0110005","inside",4,2267,33.4
"CA0110005","inside",5,2267,26.9
"CA0110005","inside",6,2267,22.6
"CA0110005","inside",7,2267,19.3
"CA0110005","inside",8,2267,16.7
"CA0110005","inside",9,2267,14.8
"CA0110005","inside",10,2267,13.3
"CA0110005","inside",11,2267,12
"CA0110005","inside",12,2267,10.9
"CA0110005","inside",13,2267,10.1
"CA0110005","inside",14,2267,9.4
"CA0110005","inside",15,2267,8.7
"CA0110005","inside",16,2267,8
"CA0110005","inside",17,2267,7.3
"CA0110005","inside",18,2267,6.7
"CA0110005","inside",19,2267,6.2
"CA0110005","inside",20,2267,5.7
"CA0110006","inside",0,2390,100
"CA0110006","outside",0,1808,100
"CA0110006","inside",1,2390,97.8
"CA0110006","outside",1,1808,87.7
"CA0110006","inside",2,2390,68.3
"CA0110006","outside",2,1808,64.1
"CA0110006","inside",3,2390,46.8
"CA0110006","outside",3,1808,45.4
"CA0110006","inside",4,2390,33.3
"CA0110006","outside",4,1808,31
"CA0110006","inside",5,2390,25.2
"CA0110006","outside",5,1808,27
"CA0110006","inside",6,2390,20.6
"CA0110006","outside",6,1808,23.3
"CA0110006","inside",7,2390,17.1
"CA0110006","outside",7,1808,20.5
"CA0110006","inside",8,2390,15.1
"CA0110006","outside",8,1808,17.6
"CA0110006","inside",9,2390,13.2
"CA0110006","outside",9,1808,15.8
"CA0110006","inside",10,2390,11.6
"CA0110006","outside",10,1808,15.2
"CA0110006","inside",11,2390,10.3
"CA0110006","outside",11,1808,14.8
"CA0110006","inside",12,2390,9.3
"CA0110006","outside",12,1808,14.3
"CA0110006","inside",13,2390,8.3
"CA0110006","outside",13,1808,13
"CA0110006","inside",14,2390,7.6
"CA0110006","outside",14,1808,11.7
"CA0110006","inside",15,2390,6.9
"CA0110006","outside",15,1808,11.1
"CA0110006","inside",16,2390,6.3
"CA0110006","outside",16,1808,10.5
"CA0110006","inside",17,2390,5.8
"CA0110006","outside",17,1808,9.9
"CA0110006","inside",18,2390,5.3
"CA0110006","outside",18,1808,9.2
"CA0110006","inside",19,2390,4.8
"CA0110006","outside",19,1808,8.8
"CA0110006","inside",20,2390,4.4
"CA0110006","outside",20,1808,8.5
"CA0110008","inside",0,2190,100
"CA0110008","inside",1,2190,78.4
"CA0110008","inside",2,2190,34.8
"CA0110008","inside",3,2190,21.3
"CA0110008","inside",4,2190,15.9
"CA0110008","inside",5,2190,13.3
"CA0110008","inside",6,2190,11.2
"CA0110008","inside",7,2190,9.6
"CA0110008","inside",8,2190,8.5
"CA0110008","inside",9,2190,7.6
"CA0110008","inside",10,2190,6.6
"CA0110008","inside",11,2190,5.8
"CA0110008","inside",12,2190,5.2
"CA0110008","inside",13,2190,4.8
"CA0110008","inside",14,2190,4.5
"CA0110008","inside",15,2190,4
"CA0110008","inside",16,2190,3.6
"CA0110008","inside",17,2190,3.3
"CA0110008","inside",18,2190,3
"CA0110008","inside",19,2190,2.8
"CA0110008","inside",20,2190,2.5
"CA0110009","inside",0,1698,100
"CA0110009","inside",1,1698,55.7
"CA0110009","inside",2,1698,23.8
"CA0110009","inside",3,1698,15.2
"CA0110009","inside",4,1698,10.6
"CA0110009","inside",5,1698,8
"CA0110009","inside",6,1698,6.9
"CA0110009","inside",7,1698,5.7
"CA0110009","inside",8,1698,5
"CA0110009","inside",9,1698,4.4
"CA0110009","inside",10,1698,4.1
"CA0110009","inside",11,1698,3.8
"CA0110009","inside",12,1698,3.5
"CA0110009","inside",13,1698,3.2
"CA0110009","inside",14,1698,2.9
"CA0110009","inside",15,1698,2.7
"CA0110009","inside",16,1698,2.5
"CA0110009","inside",17,1698,2.3
"CA0110009","inside",18,1698,2.2
"CA0110009","inside",19,1698,2
"CA0110009","inside",20,1698,1.9
"CA0110011","inside",0,2075,100
"CA0110011","inside",1,2075,80.2
"CA0110011","inside",2,2075,42
"CA0110011","inside",3,2075,27.1
"CA0110011","inside",4,2075,18.8
"CA0110011","inside",5,2075,14.1
"CA0110011","inside",6,2075,11.1
"CA0110011","inside",7,2075,9.1
"CA0110011","inside",8,2075,7.7
"CA0110011","inside",9,2075,6.4
"CA0110011","inside",10,2075,5.5
"CA0110011","inside",11,2075,4.8
"CA0110011","inside",12,2075,4.2
"CA0110011","inside",13,2075,3.8
"CA0110011","inside",14,2075,3.4
"CA0110011","inside",15,2075,3.2
"CA0110011","inside",16,2075,2.9
"CA0110011","inside",17,2075,2.7
"CA0110011","inside",18,2075,2.6
"CA0110011","inside",19,2075,2.4
"CA0110011","inside",20,2075,2.2
"CA0310001","inside",0,1693,100
"CA0310001","inside",1,1693,95.2
"CA0310001","inside",2,1693,74.3
"CA0310001","inside",3,1693,54.3
"CA0310001","inside",4,1693,50.5
"CA0310001","inside",5,1693,34.3
"CA0310001","inside",6,1693,32.5
"CA0310001","inside",7,1693,29.9
"CA0310001","inside",8,1693,27.2
"CA0310001","inside",9,1693,21.8
"CA0310001","inside",10,1693,14.3
"CA0310001","inside",11,1693,10.4
"CA0310001","inside",12,1693,9.2
"CA0310001","inside",13,1693,9
"CA0310001","inside",14,1693,8.7
"CA0310001","inside",15,1693,8.1
