"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,1941,100
"CA0110001","outside",0,2117,100
"CA0110001","inside",1,1941,72.7
"CA0110001","outside",1,2117,70.5
"CA0110001","inside",2,1941,35.8
"CA0110001","outside",2,2117,26.9
"CA0110001","inside",3,1941,21.9
"CA0110001","outside",3,2117,21.8
"CA0110001","inside",4,1941,14.9
"CA0110001","outside",4,2117,15.4
"CA0110001","inside",5,1941,11.8
"CA0110001","outside",5,2117,14.1
"CA0110001","inside",6,1941,9.6
"CA0110001","outside",6,2117,10.3
"CA0110001","inside",7,1941,7.9
"CA0110001","outside",7,2117,9
"CA0110001","inside",8,1941,6.8
"CA0110001","outside",8,2117,9
"CA0110001","inside",9,1941,5.9
"CA0110001","outside",9,2117,6.4
"CA0110001","inside",10,1941,5.2
"CA0110001","outside",10,2117,5.1
"CA0110001","inside",11,1941,4.7
"CA0110001","outside",11,2117,5.1
"CA0110001","inside",12,1941,4.3
"CA0110001","outside",12,2117,5.1
"CA0110001","inside",13,1941,3.9
"CA0110001","outside",13,2117,3.9
"CA0110001","inside",14,1941,3.6
"CA0110001","outside",14,2117,3.9
"CA0110001","inside",15,1941,3.3
"CA0110001","outside",15,2117,2.6
"CA0110001","inside",16,1941,3.1
"CA0110001","outside",16,2117,2.6
"CA0110001","inside",17,1941,2.8
"CA0110001","outside",17,2117,2.6
"CA0110001","inside",18,1941,2.6
"CA0110001","outside",18,2117,2.6
"CA0110001","inside",19,1941,2.4
"CA0110001","outside",19,2117,2.6
"CA0110001","inside",20,1941,2.3
"CA0110001","outside",20,2117,2.6
"CA0110003","inside",0,2305,100
"CA0110003","inside",1,2305,90.6
"CA0110003","inside",2,2305,47
"CA0110003","inside",3,2305,30.7
"CA0110003","inside",4,2305,23
"CA0110003","inside",5,2305,16.3
"CA0110003","inside",6,2305,13.1
"CA0110003","inside",7,2305,10.6
"CA0110003","inside",8,2305,9.1
"CA0110003","inside",9,2305,7.7
"CA0110003","inside",10,2305,6.6
"CA0110003","inside",11,2305,5.7
"CA0110003","inside",12,2305,5
"CA0110003","inside",13,2305,4.4
"CA0110003","inside",14,2305,3.9
"CA0110003","inside",15,2305,3.5
"CA0110003","inside",16,2305,3.2
"CA0110003","inside",17,2305,3
"CA0110003","inside",18,2305,2.8
"CA0110003","inside",19,2305,2.6
"CA0110003","inside",20,2305,2.5
"CA0110005","inside",0,2407,100
"CA0110005","inside",1,2407,96.6
"CA0110005","inside",2,2407,62.1
"CA0110005","inside",3,2407,45.2
"CA0110005","inside",4,2407,35.4
"CA0110005","inside",5,2407,28.6
"CA0110005","inside",6,2407,23.9
"CA0110005","inside",7,2407,20.6
