"pwsid","category","percent_income","annual_cost","percent_pays_more"
"CA0110001","inside",0,1719,100
"CA0110001","outside",0,1863,100
"CA0110001","inside",1,1719,65.3
"CA0110001","outside",1,1863,55.1
"CA0110001","inside",2,1719,30.9
"CA0110001","outside",2,1863,25.6
"CA0110001","inside",3,1719,18.8
"CA0110001","outside",3,1863,19.2
"CA0110001","inside",4,1719,13.1
"CA0110001","outside",4,1863,14.1
"CA0110001","inside",5,1719,10.3
"CA0110001","outside",5,1863,10.3
"CA0110001","inside",6,1719,8.2
"CA0110001","outside",6,1863,9
"CA0110001","inside",7,1719,6.9
"CA0110001","outside",7,1863,9
"CA0110001","inside",8,1719,5.9
"CA0110001","outside",8,1863,6.4
"CA0110001","inside",9,1719,5.2
"CA0110001","outside",9,1863,5.1
"CA0110001","inside",10,1719,4.6
"CA0110001","outside",10,1863,5.1
"CA0110001","inside",11,1719,4.1
"CA0110001","outside",11,1863,5.1
"CA0110001","inside",12,1719,3.7
"CA0110001","outside",12,1863,3.9
"CA0110001","inside",13,1719,3.4
"CA0110001","outside",13,1863,2.6
"CA0110001","inside",14,1719,3.1
"CA0110001","outside",14,1863,2.6
"CA0110001","inside",15,1719,2.8
"CA0110001","outside",15,1863,2.6
"CA0110001","inside",16,1719,2.6
"CA0110001","outside",16,1863,2.6
"CA0110001","inside",17,1719,2.4
"CA0110001","outside",17,1863,2.6
"CA0110001","inside",18,1719,2.3
"CA0110001","outside",18,1863,2.6
"CA0110001","inside",19,1719,2.2
"CA0110001","outside",19,1863,2.6
"CA0110001","inside",20,1719,2.1
"CA0110001","outside",20,1863,2.6
"CA0110003","inside",0,1981,100
"CA0110003","inside",1,1981,75.9
"CA0110003","inside",2,1981,39.8
"CA0110003","inside",3,1981,26.5
"CA0110003","inside",4,1981,17.9
"CA0110003","inside",5,1981,13.6
"CA0110003","inside",6,1981,10.7
"CA0110003","inside",7,1981,8.8
"CA0110003","inside",8,1981,7.4
"CA0110003","inside",9,1981,6.1
