"pwsid","service_area","state","sizeCategory","owner_type"
"NC0113020","Mount Pleasant","nc","Small","Local"
"NC0113025","Harrisburg","nc","Medium-Large","Local"
"NC0114010","Lenoir","nc","Medium-Large","Local"
"NC0114025","Baton Water Corporation","nc","Medium","Private"
"NC0114030","Granite Falls","nc","Medium","Local"
"NC0114035","Rhodhiss","nc","Small","Local"
"NC0114040","Sawmills","nc","Medium","Local"
"NC0118010","Hickory","nc","Medium-Large","Local"
"NC0118015","Newton City","nc","Medium-Large","Local"
"NC0118020","Conover","nc","Medium-Large","Local"
"NC0118025","Longview","nc","Medium","Local"
"NC0118030","Maiden","nc","Medium","Local"
"NC0118035","Claremont","nc","Small","Local"
"NC0118040","Catawba","nc","Small","Local"
"NC0120010","Murphy","nc","Medium","Local"
"NC0120020","Andrews Town","nc","Medium","Local"
"NC0122010","Clay County Water and Sewer District","nc","Small","Local"
"NC0123010","Shelby","nc","Medium-Large","Local"
"NC0123020","Kings Mountain","nc","Medium-Large","Local"
"NC0123025","Boiling Springs","nc","Medium","Local"
"NC0123030","Grover","nc","Small","Local"
"NC0123035","Fallston","nc","Small","Local"
"NC0123045","Lawndale","nc","Small","Local"
"NC0136010","Two Rivers Utilities","nc","Large","Local"
"NC0136015","Belmont","nc","Medium-Large","Local"
"NC0136020","Mount Holly","nc","Medium-Large","Local"
"NC0136025","Bessemer City","nc","Medium","Local"
"NC0136030","Cherryville","nc","Medium","Local"
"NC0136034","Ranlo","nc","Medium","Local"
"NC0136035","Stanley","nc","Medium","Local"
"NC0136045","McAdenville","nc","Very Small","Local"
"NC0136060","Lowell","nc","Medium","Local"
"NC0136065","Dallas","nc","Medium","Local"
"NC0136075","Two Rivers Utilities","nc","Small","Local"
"NC0138010","Robbinsville","nc","Small","Local"
"NC0138101","Fontana Dam","nc","Small","Local"
"NC0144010","Waynesville","nc","Medium-Large","Local"
"NC0144015","Canton","nc","Medium","Local"
"NC0144025","Clyde","nc","Medium","Local"
"NC0144035","Junalaska Sanitary District","nc","Medium","Local"
"NC0144040","Maggie Valley Sanitary District","nc","Medium","Local"
"NC0145010","Hendersonville","nc","Medium-Large","Local"
"NC0149010","Statesville","nc","Medium-Large","Local"
"NC0149015","Mooresville","nc","Medium-Large","Local"
"NC0149025","Iredell Water Corporation","nc","Medium-Large","Private"
"NC0149030","Troutman","nc","Medium","Local"
"NC0149158","West Iredell Water Company","nc","Medium","Private"
"NC0150035","Tuckaseigee Water and Sewer Authority","nc","Medium","Local"
"NC0155010","Lincolnton","nc","Medium-Large","Local"
"NC0155035","Lincoln County","nc","Medium-Large","Local"
"NC0156010","Marion","nc","Medium","Local"
"NC0156025","Old Fort","nc","Small","Local"
"NC0157010","Franklin Town","nc","Medium","Local"
"NC0157015","Highlands","nc","Medium","Local"
"NC0158010","Mars Hill","nc","Small","Local"
"NC0158015","Marshall","nc","Small","Local"
"NC0158020","Hot Springs","nc","Small","Local"
"NC0160010","Charlotte","nc","Very Large","Local"
"NC0160156","Carolina Water Service","nc","Medium","Private"
"NC0161015","Bakersville","nc","Small","Local"
"NC0175010","Tyron","nc","Medium","Local"
"NC0175015","Columbus","nc","Small","Local"
"NC0175020","Saluda","nc","Small","Local"
"NC0180038","Landis","nc","Small","Local"
"NC0180040","Salisbury-Rowan Utilities","nc","Medium","Local"
"NC0180050","Cleveland Town","nc","Small","Local"
"NC0180055","Faith","nc","Small","Local"
"NC0180060","East Spencer","nc","Small","Local"
"NC0180065","Kannapolis","nc","Medium-Large","Local"
"NC0181020","Lake Lure","nc","Small","Local"
"NC0181038","Ellenboro","nc","Small","Local"
"NC0181107","Lake Lure","nc","Very Small","Private"
"NC0184010","Albemarle","nc","Medium-Large","Local"
"NC0184015","Norwood","nc","Medium","Local"
"NC0184020","Oakboro","nc","Small","Local"
"NC0184025","Pfeiffer-North Stanly Water Association","nc","Medium","Private"
"NC0184035","Stanly County","nc","Medium","Local"
"NC0187010","Bryson City","nc","Medium","Local"
"NC0188010","Brevard","nc","Medium-Large","Local"
"NC0188104","Transylvania Utilities","nc","Medium","Private"
"NC0188115","Rosman","nc","Small","Local"
"NC0190010","Monroe","nc","Medium-Large","Local"
"NC0190015","Marshville","nc","Small","Local"
"NC0190030","Wingate","nc","Medium","Local"
"NC0190413","Union County","nc","Large","Local"
"NC0195010","Boone","nc","Medium-Large","Local"
"NC0195020","Blowing Rock","nc","Small","Local"
"NC0195104","Beech Mountain","nc","Small","Local"
"NC0197010","North Wilkesboro","nc","Medium","Local"
"NC0197015","Mulberry-Fairplains Water Association","nc","Medium","Private"
"NC0197020","West Wilkes Water Association","nc","Medium-Large","Private"
"NC0197025","Wilkesboro","nc","Medium","Local"
"NC0197035","Broad River Water Authority","nc","Medium","Private"
"NC0197040","Moravian Falls Water Works","nc","Medium","Private"
"NC0201010","Burlington","nc","Medium-Large","Local"
"NC0201015","Graham","nc","Medium-Large","Local"
"NC0201018","Mebane","nc","Medium-Large","Local"
"NC0201020","Haw River","nc","Small","Local"
"NC0201025","Elon","nc","Medium-Large","Local"
"NC0201030","Green Level","nc","Small","Local"
"NC0201035","Alamance Village","nc","Small","Local"
"NC0217010","Yanceyville","nc","Small","Local"
"NC0229010","Lexington","nc","Medium-Large","Local"
"NC0229020","Thomasville","nc","Medium-Large","Local"
"NC0229030","Denton","nc","Small","Local"
"NC0229035","Handy Sanitary District","nc","Medium","Local"
"NC0230010","Mocksville","nc","Medium","Local"
"NC0230015","Davie County Public Utility","nc","Medium-Large","Local"
"NC0234010","Winston-Salem","nc","Large","Local"
"NC0235010","Franklin County","nc","Small","Local"
"NC0235015","Louisburg","nc","Medium","Local"
"NC0235025","Bunn","nc","Small","Local"
"NC0235030","Franklin County","nc","Medium-Large","Local"
"NC0239010","Oxford","nc","Medium","Local"
"NC0239018","Stovall","nc","Very Small","Local"
"NC0239107","South Granville Water and Sewer Authority","nc","Medium-Large","Local"
"NC0241010","Greensboro","nc","Large","Local"
"NC0241020","High Point","nc","Large","Local"
"NC0241025","Gibsonville","nc","Medium","Local"
"NC0241030","Jamestown","nc","Medium","Local"
"NC0273010","Roxboro","nc","Medium-Large","Local"
"NC0276010","Asheboro","nc","Medium-Large","Local"
"NC0276015","Randleman","nc","Medium","Local"
"NC0276020","Ramseur","nc","Small","Local"
"NC0276025","Liberty","nc","Medium","Local"
"NC0276030","Archdale","nc","Medium-Large","Local"
"NC0276035","Franklinville","nc","Small","Local"
"NC0279010","Eden","nc","Medium-Large","Local"
"NC0279020","Reidsville","nc","Medium-Large","Local"
"NC0279025","Mayodan","nc","Small","Local"
"NC0279030","Madison","nc","Small","Local"
"NC0279035","Stoneville","nc","Small","Local"
"NC0279040","Dan River Water","nc","Medium-Large","Private"
"NC0279050","Rockingham County","nc","Small","Local"
"NC0285010","King City","nc","Medium-Large","Local"
"NC0285015","Walnut Cove","nc","Small","Local"
"NC0285025","Stokes County Water and Sewer Authority","nc","Very Small","Local"
"NC0286010","Mount Airy","nc","Medium-Large","Local"
"NC0286020","Elkin","nc","Medium","Local"
"NC0286025","Pilot Mountain","nc","Small","Local"
"NC0286030","Dobson","nc","Small","Local"
"NC0291010","Henderson","nc","Medium-Large","Local"
"NC0293010","Warrenton","nc","Small","Local"
"NC0293015","Kerr Lake Regional Water System","nc","Medium","Local"
"NC0293020","Norlina","nc","Small","Local"
"NC0299010","Jonesville","nc","Small","Local"
"NC0299015","Yadkinville","nc","Medium","Local"
"NC0299020","Booneville","nc","Small","Local"
"NC0299025","East Bend","nc","Small","Local"
"NC0304010","Anson County","nc","Medium-Large","Local"
"NC0304012","Ansonville","nc","Small","Local"
"NC0304020","Wadesboro","nc","Medium","Local"
"NC0304025","Lilesville","nc","Small","Local"
"NC0304030","Polkton","nc","Small","Local"
"NC0304034","Peachland","nc","Very Small","Local"
"NC0304040","Morven","nc","Small","Local"
"NC0309010","Elizabethtown","nc","Medium","Local"
"NC0309015","Bladenboro","nc","Small","Local"
"NC0309020","Clarkton","nc","Small","Local"
"NC0309025","Dublin","nc","Very Small","Local"
"NC0309030","White Lake","nc","Medium","Local"
"NC0319010","Siler City","nc","Medium","Local"
"NC0319015","Pittsboro","nc","Medium","Local"
"NC0319025","Goldston","nc","Small","Local"
"NC0319050","Chatham County","nc","Small","Local"
"NC0319126","Chatham County","nc","Medium-Large","Local"
"NC0326010","Fayetteville Public Works Commission","nc","Large","Local"
"NC0326020","Spring Lake","nc","Medium-Large","Local"
"NC0326030","Stedman","nc","Small","Local"
"NC0326040","Wade","nc","Small","Local"
"NC0332010","Durham City","nc","Large","Local"
"NC0343010","Dunn","nc","Medium-Large","Local"
"NC0343015","Angier Town","nc","Medium","Local"
"NC0343025","Lillington","nc","Medium","Local"
"NC0343045","Harnett Regional Water","nc","Large","Local"
"NC0347010","Raeford","nc","Medium","Local"
"NC0347025","Hoke County","nc","Medium-Large","Local"
"NC0347030","Hoke County","nc","Medium","Private"
"NC0351010","Smithfield","nc","Medium-Large","Local"
"NC0351015","Selma","nc","Medium","Local"
"NC0351020","Clayton","nc","Medium-Large","Local"
"NC0351025","Benson","nc","Medium","Local"
"NC0351030","Kenly","nc","Small","Local"
"NC0351035","Four Oaks","nc","Small","Local"
"NC0351040","Pine Level","nc","Small","Local"
"NC0351045","Micro","nc","Very Small","Local"
"NC0351050","Princeton","nc","Small","Local"
"NC0351070","Johnston County","nc","Medium-Large","Local"
"NC0351195","Aqua NC","nc","Medium","Private"
"NC0353010","Sanford","nc","Medium-Large","Local"
"NC0353015","Broadway","nc","Small","Local"
"NC0353101","Carolina Trace","nc","Medium","Private"
"NC0362015","Mount Gilead","nc","Small","Local"
"NC0362020","Montgomery County","nc","Medium","Local"
"NC0362025","Star","nc","Small","Local"
"NC0362030","Candor","nc","Small","Local"
"NC0362035","Biscoe","nc","Small","Local"
"NC0363010","Southern Pines","nc","Medium-Large","Local"
"NC0363015","Robbins","nc","Small","Local"
"NC0363020","Aberdeen","nc","Medium-Large","Local"
"NC0363025","Carthage","nc","Medium","Local"
"NC0363030","Pinebluff","nc","Small","Local"
"NC0363035","Taylortown","nc","Small","Local"
"NC0363045","Moore County Public Utility","nc","Small","Local"
"NC0363103","Moore County Public Utility","nc","Very Small","Local"
"NC0363108","Moore County Public Utility","nc","Medium-Large","Local"
"NC0363112","Southern Pines","nc","Medium","Private"
"NC0363117","Moore County Public Utility","nc","Medium","Local"
"NC0363152","Moore County Public Utility","nc","Very Small","Local"
"NC0363153","Moore County Public Utility","nc","Very Small","Local"
"NC0368010","Orange Water and Sewer Authority (OWASA)","nc","Large","Local"
"NC0368015","Hillsborough","nc","Medium-Large","Local"
"NC0368020","Orange-Alamance Water System","nc","Medium","Private"
"NC0377010","Hamlet","nc","Medium-Large","Local"
"NC0377015","Rockingham","nc","Medium-Large","Local"
"NC0377020","Ellerbe","nc","Small","Local"
"NC0378010","Lumberton","nc","Medium-Large","Local"
"NC0378015","Red Springs","nc","Medium","Local"
"NC0378020","Pembroke","nc","Medium","Local"
"NC0378025","Fairmont","nc","Small","Local"
"NC0378030","Saint Pauls","nc","Small","Local"
"NC0378035","Maxton","nc","Medium","Local"
"NC0378040","Rowland","nc","Small","Local"
"NC0378045","Parkton","nc","Very Small","Local"
"NC0382010","Clinton","nc","Medium-Large","Local"
"NC0382015","Roseboro","nc","Small","Local"
"NC0382020","Garland","nc","Small","Local"
"NC0382025","Salemburg","nc","Small","Local"
"NC0382035","Newton Grove","nc","Small","Local"
"NC0383010","Laurinburg","nc","Medium-Large","Local"
"NC0383015","Gibson","nc","Small","Local"
"NC0383020","Wagram","nc","Small","Local"
"NC0392010","Raleigh","nc","Very Large","Local"
"NC0392020","Cary","nc","Large","Local"
"NC0392045","Apex","nc","Medium-Large","Local"
"NC0392050","Holly Springs","nc","Medium-Large","Local"
"NC0392055","Fuquay-Varina","nc","Medium-Large","Local"
"NC0407010","Washington City","nc","Medium-Large","Local"
"NC0407015","Belhaven","nc","Small","Local"
"NC0407020","Aurora","nc","Small","Local"
"NC0407025","Chocowinty","nc","Small","Local"
"NC0407030","Bath","nc","Very Small","Local"
"NC0408010","Windsor","nc","Small","Local"
"NC0408015","Aulander","nc","Small","Local"
"NC0408040","Powellsville","nc","Very Small","Local"
"NC0410010","Southport","nc","Medium","Local"
"NC0410020","Oak Island","nc","Medium-Large","Local"
"NC0410025","Shallotte","nc","Medium","Local"
"NC0410035","Ocean Isle Beach","nc","Medium","Local"
"NC0410045","Brunswick County","nc","Large","Local"
"NC0410060","Holden Beach","nc","Medium","Local"
"NC0410065","Navassa","nc","Small","Local"
"NC0410130","Bald Head Island","nc","Small","Local"
"NC0415010","South Mills Water Association","nc","Small","Private"
"NC0415015","South Camden Water and Sewer District","nc","Medium","Local"
"NC0416010","Beaufort","nc","Medium","Local"
"NC0416015","Morehead City","nc","Medium","Local"
"NC0416020","Newport","nc","Medium","Local"
"NC0416028","Bogue Banks Water Corporation","nc","Medium","Private"
"NC0416031","Pine Knoll Shores","nc","Medium","Private"
"NC0416040","West Carteret Water Corporation","nc","Medium-Large","Private"
"NC0421010","Edenton","nc","Medium","Local"
"NC0424010","Whiteville","nc","Medium","Local"
"NC0424020","Chadbourn","nc","Small","Local"
"NC0424030","Fair Bluff","nc","Small","Local"
"NC0424040","Brunswick","nc","Very Small","Local"
"NC0424045","Lake Waccamaw","nc","Small","Local"
"NC0424050","Bolton","nc","Small","Local"
"NC0424055","Cerro Gordo","nc","Very Small","Local"
"NC0425010","New Bern","nc","Medium-Large","Local"
"NC0425015","Havelock","nc","Medium-Large","Local"
"NC0425020","Vanceboro","nc","Small","Local"
"NC0425025","Dover","nc","Very Small","Local"
"NC0425040","First Craven Sanitary District","nc","Medium","Local"
"NC0425113","River Bend","nc","Small","Local"
"NC0427010","Currituck County","nc","Medium-Large","Local"
"NC0427105","Ocean Sands Development","nc","Small","Local"
"NC0428015","Kill Devil Hills","nc","Medium","Local"
"NC0428020","Manteo","nc","Small","Local"
"NC0431010","Wallace","nc","Medium","Local"
"NC0431015","Warsaw","nc","Small","Local"
"NC0431020","Beulaville","nc","Small","Local"
"NC0431025","Rose Hill","nc","Small","Local"
"NC0431030","Kenansville","nc","Small","Local"
"NC0431035","Magnolia","nc","Small","Local"
"NC0431040","Faison","nc","Small","Local"
"NC0431044","Teachey","nc","Small","Local"
"NC0431045","Calypso","nc","Small","Local"
"NC0433010","Tarboro","nc","Medium-Large","Local"
"NC0433015","Pinetops","nc","Small","Local"
"NC0433020","Macclesfield","nc","Very Small","Local"
"NC0433040","Whitakers","nc","Small","Local"
"NC0433045","Edgecombe Water and Sewer District","nc","Small","Local"
"NC0433050","Edgecombe Water and Sewer District","nc","Medium-Large","Local"
"NC0437020","Gates County","nc","Medium-Large","Local"
"NC0440010","Snow Hill","nc","Small","Local"
"NC0440015","Maury Sanitary District","nc","Very Small","Local"
"NC0440020","Hookerton","nc","Very Small","Local"
"NC0440030","Walstonburg","nc","Very Small","Local"
"NC0440105","South Greene Water Corporation","nc","Small","Private"
"NC0440106","Greene County Regional Water System","nc","Medium","Local"
"NC0442010","Roanoke Rapids Sanitary District","nc","Medium-Large","Local"
"NC0442015","Scotland Neck","nc","Small","Local"
"NC0442020","Weldon","nc","Small","Local"
"NC0442025","Enfield","nc","Small","Local"
"NC0442028","Littleton","nc","Small","Local"
"NC0442035","Hobgood","nc","Small","Local"
"NC0446010","Ahoskie","nc","Medium","Local"
"NC0446015","Murfreesboro","nc","Medium","Local"
"NC0446020","Winton","nc","Small","Local"
"NC0446030","Cofield","nc","Very Small","Local"
"NC0452010","Maysville","nc","Small","Local"
"NC0452015","Pollocksville","nc","Small","Local"
"NC0452020","Jones County","nc","Medium","Local"
"NC0454010","Kinston","nc","Medium-Large","Local"
"NC0454015","La Grange","nc","Small","Local"
"NC0454020","Pink Hill","nc","Small","Local"
"NC0454025","North Lenoir Water Corporation","nc","Medium-Large","Private"
"NC0454030","Deep Run Water Corporation","nc","Medium-Large","Private"
"NC0459010","Williamston","nc","Medium","Local"
"NC0459015","Robersonville","nc","Small","Local"
"NC0459025","Hamilton","nc","Very Small","Local"
"NC0459030","Jamesville","nc","Very Small","Local"
"NC0459113","Parmele","nc","Very Small","Local"
"NC0459114","Everetts","nc","Very Small","Local"
"NC0464010","Rocky Mount","nc","Medium-Large","Local"
"NC0464020","Nashville","nc","Medium","Local"
"NC0464035","Bailey","nc","Small","Local"
"NC0464040","Sharpsburg","nc","Small","Local"
"NC0464050","Middlesex","nc","Small","Local"
"NC0464060","Dortches","nc","Very Small","Local"
"NC0465010","Cape Fear Public Utility Authority","nc","Large","Local"
"NC0465015","Carolina Beach","nc","Medium-Large","Local"
"NC0465020","Wrightsville Beach","nc","Medium","Local"
"NC0465025","Kure Beach","nc","Medium","Local"
"NC0466010","Jackson","nc","Very Small","Local"
"NC0466015","Severn","nc","Very Small","Local"
"NC0466025","Conway","nc","Small","Local"
"NC0466035","Seabord","nc","Small","Local"
"NC0466040","Woodland","nc","Small","Local"
"NC0466045","Northampton County","nc","Small","Local"
"NC0466108","Northampton County","nc","Medium","Local"
"NC0466110","Northampton County","nc","Medium","Local"
"NC0466113","Northampton County","nc","Small","Local"
"NC0467010","Jacksonville","nc","Medium-Large","Local"
"NC0470010","Elizabeth City","nc","Medium-Large","Local"
"NC0470015","Pasquotank County","nc","Medium-Large","Local"
"NC0471010","Burgaw","nc","Medium","Local"
"NC0471015","Surf City","nc","Medium","Local"
"NC0472010","Hertford Town","nc","Small","Local"
"NC0474010","Greenville Utilities","nc","Large","Local"
"NC0474015","Eastern Pines Water Corporation","nc","Medium-Large","Private"
"NC0474020","Farmville","nc","Medium","Local"
"NC0474025","Ayden","nc","Medium","Local"
"NC0474030","Bethel","nc","Small","Local"
"NC0474035","Grifton","nc","Small","Local"
"NC0474040","Winterville","nc","Medium","Local"
"NC0474050","Fountain","nc","Very Small","Local"
"NC0474055","Grimesland","nc","Small","Local"
"NC0489010","Columbia","nc","Small","Local"
"NC0489015","Tyrrell County","nc","Small","Local"
"NC0494010","Plymouth","nc","Medium","Local"
"NC0494015","Roper","nc","Small","Local"
"NC0494020","Creswell","nc","Very Small","Local"
"NC0496010","Goldsboro","nc","Medium-Large","Local"
"NC0496015","Mount Olive","nc","Medium","Local"
"NC0496025","Fremont","nc","Small","Local"
"NC0496030","Pikeville","nc","Small","Local"
"NC0496045","Southern Wayne Sanitary District","nc","Medium","Local"
"NC0496060","Fork Township Sanitary District","nc","Medium","Local"
"NC0496155","Walnut Creek","nc","Small","Local"
"NC0498010","Wilson City","nc","Medium-Large","Local"
"NC0498020","Elm","nc","Small","Local"
"NC0498025","Stantonsburg","nc","Small","Local"
"NC0498030","Lucama","nc","Small","Local"
"NC0498035","Black Creek","nc","Small","Local"
"NC0498040","Saratoga","nc","Very Small","Local"
"NC0498045","Sims","nc","Very Small","Local"
"NC2018004","Catawba","nc","Small","Local"
"NC2084006","Stanfield","nc","Very Small","Local"
"NC2084008","Stanfield","nc","Small","Local"
"NC3001005","Swepsonville","nc","Small","Local"
"NC3099029","Yadkin County","nc","Very Small","Local"
"NC4019010","Chatham County","nc","Small","Local"
"NC4064005","Central Nash County","nc","Medium","Local"
"NC5026019","Old North State Water Company","nc","Medium-Large","Other"
"NC5026027","Eastover Sanitary District","nc","Medium","Local"
"NC5063011","Moore County - East Moore Water District","nc","Medium","Local"
"NC5063021","Moore County Public Utility","nc","Very Small","Local"
"NC6070000","Pasquotank County","nc","Medium","Local"
"NC7010058","Leland","nc","Medium","Local"
"NJ0102001","Atlantic City MUA","nj","Large","Local"
"NJ0103001","Brigantine City","nj","Medium-Large","Local"
"NJ0104003","Buena Borough MUA","nj","Medium","Local"
"NJ0112001","Hamilton Twp MUA","nj","Medium-Large","Local"
"NJ0113001","Hammonton Town","nj","Medium-Large","Local"
"NJ0116001","Margate City","nj","Medium-Large","Local"
"NJ0201001","Allendale Borough","nj","Medium","Local"
"NJ0220001","Suez Water - Franklin Lakes","nj","Medium","Private"
"NJ0221001","Garfield City","nj","Medium-Large","Local"
"NJ0231001","Passaic Valley Water Commission - Lodi","nj","Medium-Large","Local"
"NJ0233001","Mahwah Township","nj","Medium-Large","Local"
"NJ0236001","Suez Water - Montvale","nj","Small","Private"
"NJ0238001","Suez Water - Hackensack","nj","Very Large","Private"
"NJ0242001","Oakland Borough","nj","Medium-Large","Local"
"NJ0251001","Ridgewood Water","nj","Medium-Large","Local"
"NJ0305001","Burlington City","nj","Medium","Local"
"NJ0313001","Evesham MUA","nj","Medium-Large","Local"
"NJ0315001","Florence Township","nj","Medium","Local"
"NJ0319001","Maple Shade Township","nj","Medium-Large","Local"
"NJ0320001","Medford Township","nj","Medium-Large","Local"
"NJ0322001","Moorestown Township","nj","Medium-Large","Local"
"NJ0323001","NJ American Water - Mount Holly","nj","Medium-Large","Private"
"NJ0324001","Mount Laurel Twp MUA","nj","Medium-Large","Local"
"NJ0328001","Pemberton Borough","nj","Small","Local"
"NJ0329004","Pemberton Township","nj","Medium-Large","Local"
"NJ0333001","Pinelands Water Company","nj","Medium","Private"
"NJ0338001","Willingboro MUA","nj","Medium-Large","Local"
"NJ0340001","Wrightstown MUA","nj","Small","Local"
"NJ0405001","Berlin Borough","nj","Medium-Large","Local"
"NJ0407001","Brooklawn Borough","nj","Small","Local"
"NJ0408001","Camden City","nj","Medium-Large","Local"
"NJ0412001","Collingswood Borough","nj","Medium-Large","Local"
"NJ0415002","Aqua NJ - Blackwood","nj","Medium-Large","Private"
"NJ0424001","Merchantville Pennsauken WC","nj","Medium-Large","Local"
"NJ0428002","Pine Hill Borough MUA","nj","Medium-Large","Local"
"NJ0436007","Winslow Township","nj","Medium-Large","Local"
"NJ0502001","Cape May City","nj","Medium-Large","Local"
"NJ0503001","Cape May Point Borough","nj","Medium","Local"
"NJ0505002","Lower MUA","nj","Medium","Local"
"NJ0508001","NJ American Water - Ocean City","nj","Large","Private"
"NJ0509001","Sea Isle City","nj","Medium-Large","Local"
"NJ0510001","Stone Harbor Borough","nj","Medium-Large","Local"
"NJ0512001","West Cape May Borough","nj","Medium","Local"
"NJ0601001","Bridgeton City","nj","Medium-Large","Local"
"NJ0610001","Millville City","nj","Medium-Large","Local"
"NJ0613004","Upper Deerfield Township","nj","Small","Local"
"NJ0701001","Belleville Township","nj","Medium-Large","Local"
"NJ0703001","Caldwell Borough","nj","Medium","Local"
"NJ0704001","Cedar Grove Township","nj","Medium-Large","Local"
"NJ0705001","East Orange City","nj","Medium-Large","Local"
"NJ0706001","Essex Fells Borough","nj","Small","Local"
"NJ0710001","Livingston Township","nj","Medium-Large","Local"
"NJ0712001","NJ American Water - Short Hills","nj","Large","Private"
"NJ0713001","Montclair Township","nj","Medium-Large","Local"
"NJ0717001","Orange Township City","nj","Medium-Large","Local"
"NJ0718001","Roseland Borough","nj","Medium","Local"
"NJ0720001","Verona Township","nj","Medium-Large","Local"
"NJ0721001","West Caldwell Township","nj","Medium-Large","Local"
"NJ0801001","Clayton Borough","nj","Medium","Local"
"NJ0802001","Deptford Twp MUA","nj","Medium-Large","Local"
"NJ0803001","East Greenwhich Township","nj","Medium","Local"
"NJ0806001","Glassboro Borough","nj","Medium-Large","Local"
"NJ0807001","Greenwhich Township","nj","Medium","Local"
"NJ0808001","NJ American Water - Harrison","nj","Medium","Private"
"NJ0809002","NJ American Water - Logan","nj","Medium","Private"
"NJ0810004","Mantua Twp MUA","nj","Medium-Large","Local"
"NJ0811002","Monroe MUA","nj","Medium-Large","Local"
"NJ0814001","Paulsboro Borough","nj","Medium","Local"
"NJ0815001","Pitman Borough","nj","Medium","Local"
"NJ0817001","Swedesboro Borough","nj","Small","Local"
"NJ0818004","Washington Township MUA","nj","Medium-Large","Local"
"NJ0819001","Wenonah Borough","nj","Small","Local"
"NJ0820001","West Deptford Township","nj","Medium-Large","Local"
"NJ0821001","Westville Borough","nj","Medium","Local"
"NJ0822001","Woodbury City","nj","Medium-Large","Local"
"NJ0823001","Woodbury Heights Borough","nj","Small","Local"
"NJ0824001","Aqua NJ - Woolwhich","nj","Small","Private"
"NJ0902001","East Newark Borough","nj","Small","Local"
"NJ0905001","Suez Water - Hoboken","nj","Medium-Large","Private"
"NJ0906001","Jersey City MUA","nj","Large","Local"
"NJ1009001","Flemington Borough","nj","Medium","Local"
"NJ1014001","High Bridge Borough","nj","Medium","Local"
"NJ1017001","Suez Water - Lambertville","nj","Medium","Private"
"NJ1101002","East Windsor MUA","nj","Medium-Large","Local"
"NJ1104001","Hightstown Borough","nj","Medium","Local"
"NJ1105001","Hopewell Borough","nj","Small","Local"
"NJ1111001","Trenton Water Works","nj","Large","Local"
"NJ1207001","Highland Park Borough","nj","Medium-Large","Local"
"NJ1209002","Old Bridge MUA","nj","Medium-Large","Local"
"NJ1212001","Milltown Borough","nj","Medium","Local"
"NJ1213002","Monroe Township","nj","Medium-Large","Local"
"NJ1215001","North Brunswick Township","nj","Medium-Large","Local"
"NJ1219001","Sayreville Borough","nj","Medium-Large","Local"
"NJ1221004","South Brunswick Township","nj","Medium-Large","Local"
"NJ1224001","Spotswood Borough","nj","Medium","Local"
"NJ1302001","Allentown Borough","nj","Small","Local"
"NJ1304001","Atlantic Highlands Township","nj","Medium","Local"
"NJ1305001","Avon by the Sea Borough","nj","Medium","Local"
"NJ1306001","Belmar Borough","nj","Medium-Large","Local"
"NJ1308001","Brielle Borough","nj","Medium","Local"
"NJ1312001","Englishtown Borough","nj","Small","Local"
"NJ1314001","Farmingdale Borough","nj","Small","Local"
"NJ1315001","Freehold Borough","nj","Medium-Large","Local"
"NJ1316001","Freehold Township","nj","Medium-Large","Local"
"NJ1322001","Keyport Borough","nj","Medium","Local"
"NJ1326001","Gordon's Corner Water Co.","nj","Medium-Large","Private"
"NJ1326002","Suez Water - Manalapan/Knob Hill","nj","Medium","Private"
"NJ1327001","Manasquan Borough","nj","Medium-Large","Local"
"NJ1329001","Matawan Borough","nj","Medium","Local"
"NJ1340001","Red Bank Borough","nj","Medium-Large","Local"
"NJ1341001","Roosevelt Borough","nj","Small","Local"
"NJ1345001","NJ American Water - Coastal North","nj","Large","Private"
"NJ1347001","Lake Como Borough","nj","Small","Local"
"NJ1349001","Spring Lake Heights Borough","nj","Medium","Local"
"NJ1350001","NJ American Water - Union Beach","nj","Medium","Local"
"NJ1352003","Wall Township","nj","Medium-Large","Local"
"NJ1401001","Boonton Town","nj","Medium","Local"
"NJ1403001","Butler Borough","nj","Medium","Local"
"NJ1408001","Denville Township","nj","Medium-Large","Local"
"NJ1415002","Kinnelon Borough","nj","Small","Local"
"NJ1416001","Lincoln Park Borough","nj","Medium-Large","Local"
"NJ1417001","Madison Borough","nj","Medium-Large","Local"
"NJ1420001","Mine Hill Township","nj","Medium","Local"
"NJ1421003","Montville Township","nj","Medium-Large","Local"
"NJ1424001","SE Morris County MUA","nj","Medium-Large","Local"
"NJ1425001","Mountain Lakes Borough","nj","Medium","Local"
"NJ1426004","Suez Water - Arlington Hills","nj","Small","Private"
"NJ1427005","Mount Olive Township - Main","nj","Medium","Local"
"NJ1427006","Mount Olive Township - Sandshore","nj","Very Small","Local"
"NJ1427007","Mount Olive Township","nj","Small","Local"
"NJ1427008","Mount Olive Township - Pinecrest","nj","Small","Local"
"NJ1427015","Mount Olive Township - Tinc Farm","nj","Very Small","Local"
"NJ1427017","NJ American Water - ITC","nj","Medium","Local"
"NJ1428001","Netcong Borough","nj","Medium","Local"
"NJ1431001","Pequannock Township","nj","Medium-Large","Local"
"NJ1431002","Pequannock Township - Cedar Crest","nj","Small","Local"
"NJ1432003","Randolph Township","nj","Medium-Large","Local"
"NJ1434001","Rockaway Borough","nj","Medium","Local"
"NJ1435002","Rockaway Township","nj","Medium-Large","Local"
