"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"TX1012865",453,1073,3616,4398,27.57,22.41,32.65,4.29,13.08,4.96,5.04,0,6.2,83.81,23.23,15.39,16,20.5,13.83,9.73,11.7,12.85,25,54.03,12.34,4.73,2.31,0.55,0,0,1.04,"keep"
"TX1012987",794,614,664,746,29.84,13.58,35.7,6.31,14.57,7.93,1.02,0.03,9.94,81.08,16.25,7.59,8.65,13.74,7.97,6.44,3.84,51.78,6.58,18.45,9.95,8.86,14.43,11.51,29.22,0.73,0.27,"keep"
"TX1013034",191,645,3307,3895,27.71,22.29,34.46,5.81,9.72,8.94,9.5,0.59,10.4,70.58,27.11,6.94,11.61,18.84,12.43,12.77,10.43,26.97,15.04,64.07,12.22,4.95,0.62,0.91,0.75,0,1.43,"keep"
"TX1013135",482,701,2832,3078,24.93,22.28,34.38,7.24,11.17,6.75,20.17,0.13,10.96,61.99,23.08,9.42,6.19,12.26,20.08,13.79,5.61,32.64,9.29,59.84,14.69,4.52,9.23,0,0,2.43,0,"keep"
"TX1013310",676,1047,2862,4029,29.22,28.73,34.72,2.11,5.23,1.91,45.5,0.33,8.21,44.05,38.4,13.64,21.76,22.02,16.01,11.79,2.77,12.02,30.58,39.99,9.86,13.64,1.91,1,0.31,1.73,0.96,"keep"
"TX1013365",424,1316,3929,7875,34.7,16.69,39,2.91,6.7,20.6,9.4,0.97,6.6,62.43,25.28,12.52,16.92,18.93,14.3,7.86,4.83,24.63,58.61,22.4,15.65,2.88,0.46,0,0,0,0,"keep"
"TX1013385",295,576,1743,3510,32.51,25.27,32.43,3.69,6.1,6.05,17.34,0.18,10.19,66.24,37.42,9.37,13.26,12.81,15.94,15.87,14.78,17.97,48.53,29.29,13.08,7.19,1.58,0,0.33,0,0,"too small"
"TX1013390",2,14,334,1098,35.41,15.51,36.3,3.49,9.3,16.27,16.37,0.2,5.66,61.5,21.14,6.76,8.05,8.98,10.02,11.77,9.26,45.15,67.6,30.28,1.68,0,0,0.43,0,0,0,"too small"
"TX1013403",4,31,781,2565,35.41,15.51,36.3,3.49,9.3,16.27,16.37,0.2,5.66,61.5,21.14,6.76,8.05,8.98,10.02,11.77,9.26,45.15,67.6,30.28,1.68,0,0,0.43,0,0,0,"too small"
"TX1013494",1,1,17,45,35.41,15.51,36.3,3.49,9.3,16.27,16.37,0.2,5.66,61.5,21.14,6.11,8.04,12.1,11.64,11.71,8.53,41.86,63.41,33.49,2.36,0.26,0.13,0.35,0,0,0,"too small"
"TX1013530",2,6,29,33,29.76,20.27,34.78,5.78,9.4,11.46,8.41,0,9.82,70.31,19.13,4.14,9.3,16.49,11.79,14.7,11.84,31.74,9.5,69.18,15.71,4.08,1,0,0,0,0.53,"too small"
"TX1013563",77,92,126,177,31.11,30.19,26.39,5.23,7.07,3.76,15.34,0.3,17.21,63.39,40.55,12.56,15.49,31.62,26.77,6.35,5.21,2,19.56,31.07,4.58,27.46,16.37,0.97,0,0,0,"keep"
"TX1013632",2,3,14,25,28.56,23.01,38.69,4.08,5.65,2.78,28.66,1.82,4.63,62.11,25.93,6.39,10.29,7.29,9.88,15.25,11.23,39.67,41.03,42.43,10.2,1.99,0.79,0.41,0,0,3.16,"too small"
"TX1020002",23640,23388,23297,23091,26.4,22.6,27.6,5.54,17.87,1.79,32.99,0.09,4.04,61.09,17.73,26.54,27.57,19.64,12.38,7.22,2.2,4.45,2.41,6.58,9.96,10.65,12.75,12.86,20.39,8.54,15.86,"keep"
"TX1020026",1655,2188,2615,2874,26.17,19.16,35.08,6.21,13.37,0.23,6.24,1.2,1.09,91.24,5.73,15.31,22.96,16.3,18.6,4.86,9.55,12.43,13.74,23.01,25.59,18.45,12.22,2.2,1.52,2.05,1.21,"keep"
"TX1040015",235,210,185,150,22.73,18.18,30.31,7.61,21.18,0.18,3.35,0.64,7.68,88.15,32.83,31.63,22.67,20.52,12.46,4.03,2.69,6,2.47,10.46,7.76,9.91,12.19,10.46,16.3,15.57,14.89,"keep"
"TX1050001",32585,42099,53062,67468,15.56,45.77,24.24,4.05,10.38,1.99,4.93,0.26,6.32,86.49,42.23,30.54,29.45,16.89,9.62,5.54,2.3,5.66,14.85,20.16,19.17,15.81,13.62,4.86,5.89,2.14,3.48,"keep"
"TX1050002",3690,6494,20667,29118,27.82,25.54,32.22,5.06,9.36,1.29,4.75,0.43,6.14,87.39,45,8.03,18.11,19.89,19.7,13.12,6.69,14.47,24.17,53.12,12.4,4.35,3.02,1.19,0.37,0.01,1.37,"keep"
"TX1050012",3112,4444,7097,11530,27.61,21.63,35.14,5.74,9.88,1.66,3.56,0.03,6.73,88.03,32.21,9.74,14.39,19.18,13.43,15.6,6.87,20.8,47.63,30.88,11.07,5.48,0.84,0.64,0.25,3.21,0,"keep"
