"pwsid","pop1990","pop2000","pop2010","cwsPop","under18","age18to34","age35to59","age60to64","over65","Asian","Black","Native","Other","White","Hispanic","d0to24k","d25to49k","d50to74k","d75to100k","d100to125k","d125to150k","d150kmore","built_2010later","built_2000to2009","built_1990to1999","built_1980to1989","built_1970to1979","built_1960to1969","built_1950to1959","built_1940to1949","built_1939early","keep"
"CA0110001",254813,303779,319545,351000,22.1,22.74,36.67,5.39,13.1,54.02,3.65,0.49,18.12,23.71,18.59,7.08,8.38,10.41,11.2,11.37,9.78,41.78,2.97,5.75,11.91,23.77,25.96,17.33,9.42,1.16,1.73,"keep"
"CA0110003",37646,47931,53479,59000,22.97,19.76,36.3,6.03,14.95,11.08,2.18,0.29,10.35,76.11,19.57,7.51,10.64,11.86,10.21,10.87,8.42,40.49,2.15,11.22,14.93,9.4,22.14,20.66,13.52,2.31,3.67,"keep"
"CA0110005",1143307,1254783,1305257,1405000,20.32,22.99,34.16,6.16,16.37,20.7,11.56,0.57,16.44,50.72,21.6,14.71,14.98,13.07,11.74,9.35,7.5,28.65,1.61,6.33,7.31,10.5,13.61,13.36,14.65,10.01,22.63,"keep"
"CA0110006",109421,134063,138868,151600,21.36,26.65,33.85,5.65,12.49,25.34,10.48,0.79,26.14,37.25,39.71,12.44,14.41,17.33,15.47,11.56,9.27,19.53,3.09,6.27,8.45,13.59,18.8,14.4,25.31,5.57,4.52,"keep"
"CA0110008",47019,57996,67411,79201,24.51,15.46,38.72,6.61,14.7,35.17,2.11,0.3,7.24,55.17,8.55,7.9,6.83,7.17,9.59,8.61,8.27,51.63,5.56,7.6,18.54,21.23,23.57,16.5,3.72,1.57,1.7,"keep"
"CA0110009",22494,34442,67485,86895,26.74,19.6,39.98,4.44,9.24,44.82,3.44,0.5,8.58,42.67,10.81,5.93,7.19,7.07,9.06,10.37,10.49,49.88,20.51,39.24,14.17,8.51,3.37,12.4,0.8,0.45,0.55,"keep"
"CA0110011",16249,20643,24661,30000,23.68,18.92,37.92,6.16,13.32,12.31,1.65,0.34,10.14,75.57,18.57,7.28,10.53,11.37,11.31,10.84,8.69,39.97,2.61,11.8,16.27,11.11,21.22,20.2,11.42,2.13,3.24,"keep"
"CA0210002",6045,7253,6744,7851,15.95,12.71,31.88,11.19,28.27,2.65,0.5,12.18,9.37,75.31,9.9,22.42,24.71,13.09,12.6,12.77,3.93,10.47,1.69,18.5,16.04,19.99,26.19,7.84,1.28,3.59,4.87,"too small"
"CA0300016",129,156,154,160,15.58,10.71,32.95,8.46,32.3,1.01,0.43,0.89,6.53,91.15,9.52,6.57,29.9,24.69,3.62,19.25,2.72,13.25,5.34,24.76,9.97,20.75,23.69,1.25,4.72,0.09,9.44,"too small"
"CA0300019",85,99,97,100,18.11,11.67,35.47,6.93,27.82,0.21,0.57,0.93,6.21,92.08,10.93,12.66,28.12,16.94,24.34,5.92,11.35,0.66,0.27,12.72,19.14,12.18,19.28,8.17,11.78,10.04,6.43,"too small"
"CA0310001",3456,3985,4399,4686,15.78,15.49,25.25,6.83,36.65,1.54,0.31,0.31,6.34,91.5,7.87,30.26,20.46,15.85,15.56,1.44,9.22,7.2,0.89,8.28,4.47,22.15,21.03,14.77,1.79,6.04,20.58,"keep"
"CA0310002",5175,5577,6296,6170,12.68,20.07,35.84,9.91,21.49,0.68,5.01,0.59,8.81,84.9,18.55,16.25,18.49,22.22,14.08,13.14,7.2,8.61,7.73,26.52,16.35,5.11,12.5,9.66,3.16,4.45,14.52,"keep"
"CA0310003",3843,4471,4764,4943,15.97,14.6,27.33,8.34,33.76,1.43,0.27,0.45,6.47,91.38,10.16,23.01,20.27,22.82,11.09,4.4,6.95,11.47,1.76,11.88,10.45,25.06,17.27,5.11,4.03,6.59,17.84,"keep"
"CA0310005",1534,1829,1897,1753,15.46,13.19,28.6,11.17,31.57,1.33,0.38,0.96,8.29,89.03,16,13.1,22.7,12.92,15.8,12.52,6.37,16.59,0.46,11.15,10.34,21.92,29.65,14.51,4.41,0,7.55,"keep"
"CA0310006",404,420,409,510,18.11,11.67,35.47,6.93,27.82,0.21,0.57,0.93,6.21,92.08,10.93,12.43,34.86,12.7,27.03,5.41,7.57,0,0,11.89,15.42,13.44,20.48,0,18.94,15.86,3.96,"too small"
"CA0310012",7745,9074,9127,8809,13.78,11,29.95,10.92,34.35,1.91,0.4,0.98,7.85,88.85,11.21,16.51,23.92,14.92,17.08,11.85,5.01,10.71,1.12,9.58,12.77,18.55,37.27,11.13,4.4,0.69,4.49,"keep"
"CA0310019",111,124,136,188,18.11,11.67,35.47,6.93,27.82,0.21,0.57,0.93,6.21,92.08,10.93,10.94,39.39,27.79,0,8.53,3.5,9.85,0,8.95,8.28,40.2,7.43,2.53,7.26,2.87,22.47,"too small"
"CA0310021",809,1400,2167,2384,21.34,24.78,32.3,4.05,17.53,0.48,0.22,0.61,8.2,90.49,8.98,21.5,14.34,23.27,13.04,5.41,13.75,8.7,3.3,33.01,29.39,15.12,9.8,6.39,0,0,2.98,"too small"
"CA0405001",830,994,1104,792,13.11,13.54,33.19,11.1,29.06,0.42,0.33,1.01,8.82,89.42,9.01,40.97,19.46,6.53,10.76,0.64,5.25,16.39,0,29.65,6.39,35.5,19.37,5.3,1.73,1.41,0.65,"too small"
"CA0410001",1360,1528,1477,1805,25.65,24.7,30.03,3.28,16.33,1.5,0,2.67,19.42,76.42,33.44,14.65,28.59,26.34,9.72,7.89,2.11,10.7,5.81,2.43,5.54,12.57,30.54,12.3,7.03,12.03,11.76,"keep"
"CA0410002",75298,87216,97053,104908,18.93,36.53,25.05,5.32,14.17,4.52,2.04,0.64,10.84,81.96,18.96,27.2,22.16,16.07,10.68,8.77,4.43,10.69,3.02,9.7,15.8,19.2,20.31,9.74,9.1,4.96,8.16,"keep"
"CA0410005",10194,10764,11235,10698,21.53,25.95,28.62,6.89,17.01,6.96,4,2.46,13.41,73.18,12.58,39.65,31.47,17.69,4.86,2.79,1.49,2.04,2.31,2.81,3.95,10.21,15.66,14.68,15.36,12.2,22.82,"keep"
"CA0410007",5142,5369,5375,4600,18.3,16.78,29.04,9.1,26.77,0.81,0.35,1.05,7.65,90.14,7.77,27.52,21.94,18.98,13.5,7.78,4.23,6.05,0.79,8.13,9.32,16.25,26.09,14.79,13.39,7.91,3.32,"keep"
"CA0410009",428,453,458,297,16.77,14.53,32.65,9.78,26.27,0.8,0.87,1.12,6.3,90.9,4.84,20.34,23.31,29.24,15.96,5.79,0,5.37,0,5.2,20.41,9.13,27,13.56,14.96,7.6,2.15,"keep"
"CA0410011",9088,10647,11060,10513,16.25,21.37,28.39,8.93,25.06,1.1,0.05,1.48,7.62,89.76,8.16,21.83,27.48,15.35,19.07,5.72,5.3,5.26,0,9.45,11.33,25.04,45.98,5.11,2.86,0,0.24,"keep"
"CA0510001",8201,9676,9724,8920,13.28,15.47,24.53,8.94,37.78,0.12,0.83,1.84,6.72,90.49,9.38,18.01,26.16,17.25,16.25,6.1,3.62,12.63,1.88,15.34,20.38,24.76,16.34,9.33,5.32,3.72,2.94,"keep"
"CA0510002",9676,11494,12728,12540,20.34,15.62,28.77,7.25,28.03,1.67,0.7,0.77,9.52,87.34,12.16,19.67,39.22,13.22,11.67,3.67,5.33,7.22,3.12,16.44,8.72,13.96,23.32,13.13,13.22,3.49,4.59,"keep"
"CA0510003",2004,2820,3719,3836,15.36,16.18,29.14,9.93,29.4,0.62,0.61,0.92,7.2,90.64,9.35,18.62,17.94,19.06,13.7,6.75,5.46,18.47,1.96,33.78,23.39,13.34,11.51,4.16,2.74,1.31,7.79,"too small"
"CA0510004",129,168,165,134,9.61,14.16,26.88,9.3,40.06,0,1.15,2.56,7.39,88.9,8.68,19.75,31.21,9.55,5.1,13.38,0,21.02,3.55,7.45,14.54,55.32,10.99,0,4.26,0,3.9,"too small"
"CA0510006",4199,6343,8057,9592,19.95,14.55,35.74,9.58,20.18,2.43,1.03,0.29,5.75,90.5,13.9,11.82,20.61,21.28,13.6,12.67,7.94,12.08,0.9,34.42,27.26,27.01,4.48,2.52,2.69,0.41,0.33,"keep"
"CA0510010",422,618,795,900,17.18,15.94,34.94,8.99,22.95,1.47,0.29,0.32,6.5,91.43,17.71,11.26,11.84,20.95,18.8,9.95,9.99,17.22,0.85,35.12,27.45,17.06,9.3,4.88,4.24,0.58,0.52,"too small"
"CA0510016",18255,20336,18282,12484,16.6,15.18,23.03,9.58,35.61,1.05,0.09,0.79,4.03,94.04,8.73,15.25,35.34,23.4,4.73,9.22,4.02,8.04,0.72,7.04,17.98,28.25,21.98,17.98,2.45,2.71,0.88,"keep"
"CA0510017",1547,2820,4172,4416,17.51,19.39,27.61,8.39,27.1,1.21,1.79,0,5.24,91.76,11.65,12.08,17.46,16.47,19.66,10.1,3.84,20.37,2.03,43.66,23.98,17.82,10.62,1.21,0.39,0,0.29,"too small"
"CA0610003",1213,1197,1211,1175,20.74,14.79,37.03,6.66,20.78,0.62,3.6,1.02,3.86,90.9,36.15,14.53,26.02,20.78,13.52,7.99,1.31,15.84,1.62,9.6,7.05,9.71,16.99,14.91,14.45,5.43,20.23,"too small"
"CA0610004",2480,3775,5206,5255,30.54,24.58,27.74,5.95,11.19,2.85,0.15,2.18,7.75,87.07,74.48,18.33,25.22,17.07,17.19,10.43,6.32,5.44,4.33,27.86,22.64,4.62,14.88,9.01,6.52,4.15,5.99,"keep"
"CA0710001",55829,83482,102306,113061,25.7,24.02,33.12,5.69,11.47,12.28,21.82,0.65,26.16,39.09,32.04,15.3,17.75,17.24,13.5,12.26,7.93,16.03,2.07,11.56,23.57,20.03,20.04,10.44,6.47,3.5,2.32,"keep"
"CA0710002",13529,17786,19014,22295,27.93,26.64,33.89,3.5,8.05,8.44,8.89,1.08,47.99,33.61,67.75,14.08,25.89,19.28,16.93,7.34,7.66,8.81,1.86,7.21,7.51,26.21,20.45,7.28,12.02,9.86,7.6,"keep"
"CA0710003",135435,163039,179917,198000,23.01,22.99,34.21,6.21,13.58,12.96,9.74,0.53,21.22,55.56,28.32,12.18,14.43,14.89,13.71,11.68,8.86,24.25,2.6,9.84,13.07,17.63,21.74,14.95,11.9,4.77,3.5,"keep"
"CA0710004",10051,24363,50577,61383,27.14,19.08,34.79,5.59,13.4,10.14,9.31,1.11,17.73,61.71,26.27,9.87,14.19,10.27,12.72,12.93,8.73,31.3,10.75,45.83,24.27,5.77,5.29,2.06,3.82,1.05,1.17,"keep"
"CA0710006",32741,34802,34363,35375,19.97,19.68,35.08,7.2,18.07,9.15,2.75,0.38,11.3,76.42,16.74,10.73,10.36,12.08,16.7,11.23,11.08,27.82,1.08,3.12,5.45,16.84,20.04,17.43,11.46,7.69,16.89,"keep"
"CA0710007",16671,24073,34372,40144,28.85,22.32,34.44,5.13,9.26,7.14,8.54,1.09,25.82,57.41,34.7,12.22,9.84,14.35,11.73,11.08,13.81,26.96,7.08,27.34,23.55,22.24,9.97,4.73,2.33,1.73,1.02,"keep"
"CA0710009",5913,9509,14007,16790,18.08,15.69,35.82,9.32,21.09,5.88,2.46,0.44,6.94,84.27,15.15,5.63,9.53,7.92,12.44,11.54,14.3,38.63,0.94,18.53,26.85,33.83,16.1,2.03,0.17,0.86,0.69,"keep"
"CA0810001",11532,13925,14575,14000,23.09,21.45,34.58,6.3,14.57,3.44,2.87,5.05,10.13,78.51,17.51,32.68,26.97,17.88,9.14,6.97,3.16,3.21,1.81,10.98,16.59,16.2,17.87,8.09,18.59,4.38,5.5,"keep"
"CA0910002",118346,135599,122845,121124,17.25,25.34,31.99,9.17,16.24,5.96,0.87,0.29,8.53,84.35,23.08,21.1,24.14,16.5,11.08,9.57,5.69,11.92,1.82,6.77,7.89,10.23,31.66,23.42,13.18,3.85,1.18,"keep"
"CA0910003",9237,9917,10603,10762,17.68,19.3,31.99,7.03,23.99,2.54,0.69,0.68,4.39,91.69,14.4,20.16,19.58,21.03,10.78,10.31,8.81,9.33,2.47,14.88,8.65,10.1,17.35,8.54,14.77,8.54,14.72,"keep"
"CA0910006",626,873,1336,1300,12.85,13.13,29.27,12.77,31.97,1.09,0.27,0.82,6.88,90.95,11.16,16.99,28.37,20.37,19.52,5.2,0,9.55,1.79,23.31,19.22,19.32,19.22,9.26,1.79,0.2,5.88,"too small"
"CA0910013",6091,7285,8127,9112,22.06,15.94,31.67,10.97,19.36,0.82,0.46,1.64,3.39,93.69,8.5,14.74,14.66,19.45,16.11,12.85,8.11,14.08,0.31,12.06,22.7,29.89,17.52,5.55,4.52,3.22,4.23,"keep"
"CA1010001",11798,13843,14927,16756,32.83,27.46,24.96,4.65,10.1,24.97,6.85,1.24,16.87,50.07,50,33.52,26.46,19.61,8.62,4.98,2.26,4.54,3.38,5.81,11.21,17.72,24.13,10.5,15.19,6.26,5.79,"keep"
"CA1010003",63349,80538,105997,120891,27.68,23.64,31.15,4.8,12.72,11.82,3.06,1.15,16.47,67.49,31.77,14.04,19.72,15.63,13.99,10.51,8.49,17.61,10,23.53,17.11,15.35,19.68,7.61,4.21,1.28,1.23,"keep"
"CA1010004",11099,15349,15886,17199,29.47,26.91,27.74,5.73,10.15,2.35,2.76,2.62,29.19,63.09,54.02,25.06,20.05,16.91,11.96,8.54,4.8,12.68,1.01,10.04,14.06,34.15,5.52,11.87,10.47,4.32,8.56,"keep"
"CA1010005",4766,6144,6875,7619,30.99,25.51,30.03,4.74,8.73,0.03,0,0,34.58,65.38,90.75,30.65,37.15,17.85,4.35,4.19,1.83,3.98,6.09,20.51,32.63,26.76,4.98,6.35,2.62,0,0.05,"keep"
"CA1010007",383396,452246,513330,541990,27.98,26.84,28.72,4.67,11.79,13.97,6.78,1.09,17.09,61.06,48.36,26.45,22.61,17.84,11.58,7.72,4.49,9.31,4.17,10.45,14.36,13.88,18.74,11.55,14.11,6.41,6.33,"keep"
"CA1010018",6164,8737,13168,14349,33.31,26.17,27.51,3.41,9.59,4.16,0.41,0.71,24.26,70.46,78.96,19.88,36.2,14.84,7.72,9.12,6.31,5.93,5.01,26.38,17.73,5.52,23.98,6.18,4.14,6.4,4.65,"keep"
"CA1010019",7913,9643,11426,12002,28.57,20.7,30.85,5.38,14.5,3.27,0.51,1.63,11,83.59,43.73,23.48,16.06,15.78,23.52,8.68,1.47,11.01,2.14,12.92,16.33,13.99,13.12,5.23,14.78,6.06,15.42,"keep"
"CA1010029",18161,20020,24970,25664,30.2,22.72,32.75,4.31,10.03,3.56,0.08,1.28,25.19,69.89,80.76,27.08,28.8,14.49,15.47,4.99,5.3,3.87,4.11,9.84,9.05,14.39,14.15,7.51,19.1,15.5,6.34,"keep"
"CA1010035",1263,1060,1497,1500,29.94,20.77,34.13,4.01,11.14,3.28,0,0,24.11,72.61,82.24,33.89,29.88,9.35,8.35,11.52,3.67,3.34,0,24.92,5.56,11.43,15.71,6.35,9.52,6.67,19.84,"keep"
"CA1010042",5867,5693,5364,5979,34.29,24.26,25.93,4.8,10.72,8.25,3.21,0.09,26.92,61.54,77.51,27.78,34.64,16.65,9.14,3.54,2.87,5.38,0.46,9.97,7.55,17.65,20.08,20.73,11.55,5.77,6.23,"keep"
"CA1010044",6673,14108,8750,9306,37.81,27.58,22.34,6.13,6.14,0.28,0.38,6.51,44.67,48.17,90.99,47.66,24.37,16.58,4.53,3.71,0,3.16,5.76,34.69,17.78,13.96,11.67,7.95,3.16,3.82,1.22,"keep"
"CA1010049",1391,1282,1577,1623,30.2,27.47,28.88,3.5,9.96,10.16,2.14,6.58,16.66,64.45,64.95,28.77,16.81,23.17,15.84,4.74,4.2,6.47,12.3,19.92,2.54,22.15,10.37,5.89,3.66,12.2,10.98,"too small"
"CA1100404",204,220,262,284,24.55,18.81,33.36,6.1,17.18,0.58,0.18,2.17,12.55,84.52,39.54,42.66,32.8,12.07,5.43,0,4.02,3.02,0,4.93,37.76,16.13,16.13,10.25,0,11.01,3.8,"too small"
"CA1110001",5979,7006,7897,8323,29.53,24.89,25.87,5.93,13.77,1.4,0.02,1.77,12.01,84.81,48.41,28.32,21.46,21.38,12.09,6.25,5.67,4.82,8.76,8,14.61,13.53,21.85,9.23,11.75,5.48,6.79,"keep"
"CA1110003",7356,7697,7674,7153,25.75,16.86,31.88,8.78,16.74,8.41,1.57,2.46,16.84,70.72,33.49,25.53,24.09,22.07,10.61,9.6,4.63,3.45,1.54,2.75,7.28,8.98,13.75,10.36,29.69,15.37,10.28,"keep"
"CA1210001",16976,17691,18386,19096,11.11,49.4,22.4,4.68,12.4,3.66,2.65,2.25,15.48,75.96,15.92,34.73,27.07,12.65,8,5.68,4.65,7.23,3.16,9.71,11.11,9.49,20.88,10.69,15.29,7.83,11.85,"keep"
"CA1210002",1435,1367,1404,1253,18.89,20.08,28.09,11.89,21.04,0.93,0.09,6.19,11.06,81.74,4.45,19.46,26.44,19.83,12.12,10.28,2.33,9.55,3.42,5.32,7.13,10.27,20.63,13.21,9.6,7.41,23,"keep"
"CA1210004",25741,26274,27470,27078,19.16,22.68,34.07,6.29,17.8,4.7,1.97,2.76,12.69,77.88,12.73,27.86,28.42,17.9,10.2,6.21,3.32,6.1,1.05,4.08,5.63,10.91,8.77,11.06,19.76,11.23,27.51,"keep"
"CA1210006",8620,10159,11320,11649,24.31,20.23,30.46,5.88,19.12,0.54,0.7,2.84,14.15,81.77,21.41,30.26,27.43,15.86,13.02,4.51,3.89,5.03,4.41,6.51,20.96,12.04,14.25,13.63,14.68,6.99,6.53,"keep"
"CA1210007",1980,1936,1945,1998,22.21,13.81,30.64,7.98,25.36,1.69,0,1.42,9.19,87.7,11.42,22.21,25.95,16.56,11.91,7.18,5.04,11.15,0.67,6.72,7.57,6.48,8.9,10.65,10.53,8.54,39.95,"keep"
"CA1210009",22727,23241,24143,25575,20.85,20.56,32.7,7.49,18.4,5.38,0.68,1.95,12.49,79.51,11.7,21.3,19.04,22.78,14.27,8.14,5.42,9.05,1.9,8.97,17.67,13.67,13.55,11.35,16.43,8,8.47,"keep"
"CA1210010",1348,1284,1252,850,26.02,22.84,32.55,5.04,13.55,1.93,0.51,2.69,9.62,85.25,9.64,36.34,25.83,11.41,9.91,1.8,7.51,7.21,0,5.7,3.51,0.44,5.92,12.72,9.87,8.33,53.51,"too small"
"CA1210011",1345,1474,1404,1500,8.73,23.57,35.95,4.66,27.09,0.09,0.99,0.09,1.27,97.56,10.03,8.35,11.69,8.35,47.12,17.81,6.68,0,11.11,14.77,7.45,4.84,16.99,6.41,29.02,9.41,0,"keep"
"CA1210015",1371,1546,1720,1710,25.38,21.15,26.94,9.74,16.8,0.28,0.37,48.97,6.87,43.51,3.16,37.49,21.54,13.47,13.34,8.16,2.89,3.12,4.38,8.77,15.62,9.84,18.9,17.31,10.46,5.16,9.55,"too small"
"CA1210016",11654,13996,15347,16900,22.67,27.97,26.81,7.47,15.08,3.05,0.42,6.16,7.21,83.16,9.48,20.75,24.69,18.53,12.86,9.9,3.88,9.39,7.26,13.58,24.04,13.13,13.23,9.29,11.39,4.29,3.79,"keep"
"CA1210017",904,785,841,750,12.05,26.14,34.7,11.97,15.15,2.35,0.68,1.67,14.47,80.83,5.15,12.44,44.04,11.57,15.89,10.36,1.04,4.66,1.12,5.47,3.93,10.38,3.37,7.01,19.35,22.44,26.93,"too small"
"CA1210018",1301,1157,1334,1072,17.98,15.24,34.85,8.83,23.1,0.76,0,4.76,4.14,90.34,6.31,18.88,23.43,9.44,16.08,8.39,3.85,19.93,1.6,6.41,19.22,10.07,17.16,14.87,16.02,6.64,8.01,"too small"
"CA1310001",20337,23306,26247,27337,33.74,22.75,26.19,4.55,12.79,0.46,1.2,0.61,14.42,83.31,84.6,34.32,21.31,13.56,10.86,12.26,3.63,4.06,5.38,12.75,17.4,16.11,16.44,13.9,9.37,5.1,3.55,"keep"
"CA1310002",20271,28174,39447,40357,27.56,24.98,26.57,5.87,15.02,0.89,0.11,0.24,18.64,80.11,97.99,34.78,24.53,15.54,7.75,5.72,5.16,6.53,2.37,14.89,22.19,17.72,17.12,11.25,9.53,2.47,2.47,"keep"
"CA1310004",28112,33955,41513,44079,29.01,24.83,26.99,5.74,13.43,1.65,2.04,0.87,53.05,42.38,88.72,32.58,24.66,17.99,9.02,7.07,2.49,6.2,1.92,9.85,12.38,18.16,20.19,12.88,16.43,4.65,3.53,"keep"
"CA1310005",5123,5801,5986,6355,29.67,23.68,27.12,6.33,13.2,1.61,0.64,0,27.1,70.64,82.46,30.77,15.22,26.34,8.47,7.15,10.39,1.65,4.2,12.09,11.36,7.63,34.82,12.56,8.51,6.28,2.54,"keep"
"CA1310006",7478,10514,16170,19929,33.63,24.18,28.46,3.73,10,2.33,1.52,0.36,18.03,77.76,75.63,15.17,12.44,14.07,28.25,9.22,6.22,14.64,16.91,23.8,20.71,4.35,5.96,9.02,16.88,2.35,0.03,"keep"
"CA1310007",3383,4065,6462,6979,29.41,27.35,28.12,4.06,11.04,0.87,0.52,1.05,28.14,69.42,93.54,25.95,26.04,16.11,11.74,12.53,3.75,3.88,3.78,44.67,25.42,7.51,9.35,4.22,1.27,1.27,2.5,"keep"
"CA1310011",4329,9114,12640,12351,20.26,20.47,33.23,8,18.04,0.41,4.61,0.46,35.78,58.74,64.56,34.82,32.06,17.94,9.36,3.07,1.07,1.69,0.53,40.74,16.93,19.15,6.98,9.1,5.5,0.95,0.11,"keep"
"CA1410001",3619,3651,3844,3879,22.16,17.78,32.54,7.46,20.07,3.22,0.65,19.15,9.02,67.97,21.2,13.35,27.36,22.66,13.39,9.11,3.9,10.23,1.03,4.08,4.9,12.7,19.01,16.21,15.96,15.64,10.46,"keep"
"CA1410006",837,935,910,792,18.3,18.13,31.57,8.93,23.07,0.96,0.83,20.01,7.44,70.75,14.62,15.74,28.18,22.75,14.02,7.44,6.87,5.01,2.51,5.97,6.56,16.83,27.68,15.16,14.2,3.58,7.52,"keep"
"CA1500314",67,81,265,297,35.13,25.18,28.36,3.79,7.54,0.93,1.9,0.39,15.49,81.29,82.03,26.89,27.98,17.61,17.38,4.17,2.32,3.65,4.5,48.28,9.09,10.93,7.68,7.33,7.2,0.81,4.16,"too small"
"CA1510001",11011,14550,20791,22500,38.15,26.12,26.21,4.49,5.03,0.11,0.19,0.35,14.96,84.39,94.78,30.63,45.6,12.76,7.27,2.74,0.79,0.21,4.55,10.89,16.28,11.13,19.25,18.46,9.75,5.54,4.16,"keep"
"CA1510003",177078,197459,241953,259157,31.05,27.21,27.34,4.47,9.91,4.89,8.02,1.21,18.53,67.35,62.09,28.43,28.23,18.72,9.55,6.4,3.18,5.5,2.68,10.7,7.4,13.34,18.76,16.1,16.49,7.65,6.89,"keep"
"CA1510005",27954,45457,54572,53936,30.38,29.09,26.15,4.73,9.66,9.73,1.05,0.6,11.03,77.59,85.37,28.22,33.06,16.79,8.08,6.36,2.6,4.89,1.28,11.52,23.42,14.78,9.67,9.02,19.24,6.32,4.76,"keep"
"CA1510006",18724,21786,29257,32517,33.4,24.57,28.98,4.41,8.64,1.54,1.45,2.01,13.38,81.61,76.65,26.81,27.89,18.14,12.18,5.24,4.5,5.24,1.93,11.67,7.97,13.69,17.86,13.91,24.69,6.6,1.68,"keep"
"CA1510012",11397,13598,18139,19057,33.31,25.75,31.75,4.49,4.69,0.65,0,0,11.97,87.37,95.02,24.83,37,21.85,8.1,4.22,1.51,2.49,2.02,6.69,6.66,8.92,30.81,25.06,11.22,7.49,1.12,"keep"
"CA1510013",7132,10021,12773,15105,34.07,29.85,27.85,3.3,4.94,0.14,0.98,0.33,8.47,90.09,94.9,30.49,42.78,10.49,7.71,4.93,0,3.59,8.92,18.84,7.74,23.05,18,6.45,4.77,7.52,4.71,"keep"
"CA1510014",4054,3429,4610,4200,27.85,19.15,31.38,7.7,13.92,1.61,9.21,0.85,7.1,81.23,40.45,22.82,25.74,18.47,12.62,7.49,7.71,5.15,0.76,19.03,7.64,27.4,10.12,10.39,18.12,3.86,2.67,"keep"
"CA1510017",38326,34460,37721,39478,25.85,19.87,30.11,7.17,17,4.68,6.76,1.27,9.96,77.33,18.79,19.79,17.77,16.66,13.58,12.61,6.13,13.46,2.19,6.25,8.62,32.5,28.07,11.64,7.86,1.48,1.39,"keep"
"CA1510018",7425,11721,14856,16905,28.44,23.89,31.62,5.64,10.41,1.51,7.93,1.08,18.85,70.63,38.27,20.42,21.52,17.61,10.12,11.81,6.69,11.84,3.15,18.87,39.35,18.28,9.09,2.91,3.99,3.14,1.23,"keep"
"CA1510019",11444,15986,19047,20500,31.91,28.54,29.04,3.14,7.37,0.81,2.66,0.15,15.9,80.47,83.21,30.11,23.55,22.66,9.4,5.39,3.05,5.83,6.86,16.55,18.74,9.69,8.35,15.01,14.56,4.11,6.14,"keep"
"CA1510020",7698,7259,9525,8839,24.24,22.66,33.8,4.17,15.14,2.37,8.35,0.8,7.66,80.82,31.18,24.71,25.97,17.12,8.12,12.05,2.02,9.99,3.86,14.25,11.26,14.48,16.1,13.64,18.65,2.69,5.07,"keep"
"CA1510021",11656,18760,22304,22690,28.06,32.99,28.32,3.93,6.7,0.62,5.14,0.83,11.17,82.24,84.06,28.58,34.28,22.52,8.05,2.04,2.38,2.15,3.01,19.06,14.74,17.26,9.73,7.88,16.93,5.79,5.6,"keep"
"CA1510024",2669,4326,9112,10986,33.64,29.07,26.7,4.27,6.32,6.88,4.94,0.68,18.48,69.02,72.78,16.85,30.35,20.11,10.67,13.28,6.46,2.29,10.71,34.82,19.94,8.45,9.76,7.34,5.04,2,1.94,"keep"
"CA1510025",1435,2462,3591,4441,23.89,13.88,27.78,10.16,24.29,1.92,0.69,1.03,4.37,92,14.49,23.1,17.14,11.07,14.11,12.84,8.09,13.65,1.95,29.12,25.75,18.13,22.63,0,1.73,0.69,0,"keep"
"CA1510031",55550,88038,132023,149796,27.78,25.02,30.94,5.33,10.92,9.14,6.54,0.53,13.03,70.76,38.76,11.75,17.11,18.19,14.51,12.82,7.53,18.09,5.56,23.58,24.25,21.28,16.61,5.19,2.05,0.42,1.07,"keep"
"CA1510032",7060,9022,14554,14198,24.29,25.77,30.37,6.02,13.56,2.59,26.52,0.99,13.44,56.46,27.6,27.64,23.86,17.03,10.76,8.91,5.28,6.52,3.88,23.67,24.13,28.65,7.44,8.16,2.72,0.81,0.55,"keep"
"CA1510038",4794,6412,8096,8170,19.05,10.76,29.81,10.25,30.13,3.43,1.1,0,4.31,91.17,11.18,7.05,21.86,19.52,12.28,15.24,8.69,15.35,1.81,20.77,30.67,21.27,17.67,3.75,2.12,0.49,1.44,"keep"
"CA1510045",7184,8415,9759,9640,27.07,23.48,30.16,5.22,14.08,0.56,0.24,0.21,8.87,90.12,19.04,13.19,16.13,30.85,10.97,14.57,5.16,9.12,0.51,15.66,19.8,40.35,13.17,7.48,2.26,0.54,0.24,"keep"
"CA1510055",5031,9911,20723,24313,28.83,22.93,32.34,4.93,10.97,4.06,1.9,1.21,12.27,80.56,28.33,13.73,11.93,15.42,11.75,13.85,8.61,24.72,6.07,39.99,18.15,13.24,10.46,7.8,2.56,0.74,0.97,"keep"
"CA1610002",7251,19388,12005,13218,40.11,26.06,24.02,3.15,6.66,0,1.36,0,46.24,52.4,93.69,27.8,30.21,23.42,9.12,6.59,1.33,1.53,1.84,23.79,17.12,17.24,10.31,11.55,2.37,7.68,8.09,"keep"
"CA1610004",14823,21790,24225,21835,31.33,26.69,25.46,3.86,12.66,0.11,3.55,0.41,12.1,83.83,82.21,32.52,30.43,16.91,12.11,3.71,1.88,2.45,8.12,14.33,14.97,12.79,14.23,6.28,13.52,8.88,6.87,"keep"
