"pwsid","year","unemploy_rate"
"CA0310002",2014,8.3
"CA0310002",2016,5.95
"CA0310002",2018,4.1
"CA0310002",2020,8.44
"CA0310002",2021,6.92
"CA0310003",1990,5.19
"CA0310003",1992,9.15
"CA0310003",1994,8.13
"CA0310003",1996,6.75
"CA0310003",1998,5.49
"CA0310003",2000,5.2
"CA0310003",2002,5.72
"CA0310003",2004,5.76
"CA0310003",2006,5.34
"CA0310003",2008,7.69
"CA0310003",2010,14.06
"CA0310003",2012,12.26
"CA0310003",2014,8.3
"CA0310003",2016,5.95
"CA0310003",2018,4.1
"CA0310003",2020,8.44
"CA0310003",2021,6.92
"CA0310005",1990,5.19
"CA0310005",1992,9.15
"CA0310005",1994,8.13
"CA0310005",1996,6.75
"CA0310005",1998,5.49
"CA0310005",2000,5.2
"CA0310005",2002,5.72
"CA0310005",2004,5.76
"CA0310005",2006,5.34
"CA0310005",2008,7.69
"CA0310005",2010,14.06
"CA0310005",2012,12.26
"CA0310005",2014,8.3
"CA0310005",2016,5.95
"CA0310005",2018,4.1
"CA0310005",2020,8.44
"CA0310005",2021,6.92
"CA0310006",1990,5.19
"CA0310006",1992,9.15
"CA0310006",1994,8.13
"CA0310006",1996,6.75
"CA0310006",1998,5.49
"CA0310006",2000,5.2
"CA0310006",2002,5.72
"CA0310006",2004,5.76
"CA0310006",2006,5.34
"CA0310006",2008,7.69
"CA0310006",2010,14.06
"CA0310006",2012,12.26
"CA0310006",2014,8.3
"CA0310006",2016,5.95
"CA0310006",2018,4.1
"CA0310006",2020,8.44
"CA0310006",2021,6.92
"CA0310012",1990,5.19
"CA0310012",1992,9.15
"CA0310012",1994,8.13
"CA0310012",1996,6.75
"CA0310012",1998,5.49
"CA0310012",2000,5.2
"CA0310012",2002,5.72
"CA0310012",2004,5.76
"CA0310012",2006,5.34
"CA0310012",2008,7.69
"CA0310012",2010,14.06
"CA0310012",2012,12.26
"CA0310012",2014,8.3
"CA0310012",2016,5.95
"CA0310012",2018,4.1
"CA0310012",2020,8.44
"CA0310012",2021,6.92
"CA0310019",1990,5.19
"CA0310019",1992,9.15
"CA0310019",1994,8.13
"CA0310019",1996,6.75
"CA0310019",1998,5.49
"CA0310019",2000,5.2
"CA0310019",2002,5.72
"CA0310019",2004,5.76
"CA0310019",2006,5.34
"CA0310019",2008,7.69
"CA0310019",2010,14.06
"CA0310019",2012,12.26
"CA0310019",2014,8.3
"CA0310019",2016,5.95
"CA0310019",2018,4.1
"CA0310019",2020,8.44
"CA0310019",2021,6.92
"CA0310021",1990,5.19
"CA0310021",1992,9.15
"CA0310021",1994,8.13
"CA0310021",1996,6.75
"CA0310021",1998,5.49
"CA0310021",2000,5.2
"CA0310021",2002,5.72
"CA0310021",2004,5.76
"CA0310021",2006,5.34
"CA0310021",2008,7.69
"CA0310021",2010,14.06
"CA0310021",2012,12.26
"CA0310021",2014,8.3
"CA0310021",2016,5.95
"CA0310021",2018,4.1
"CA0310021",2020,8.44
"CA0310021",2021,6.92
"CA0405001",1990,8.42
"CA0405001",1992,11.77
"CA0405001",1994,10.27
"CA0405001",1996,9.07
