"pwsid","hh_use","HBI","PPI","TRAD","burden","LaborHrs"
"CA0110001",0,1.31,11.56,0.62,"Low",4.23
"CA0110001",1000,1.44,11.56,0.68,"Low",4.67
"CA0110001",10000,2.59,11.56,1.22,"Low",8.63
"CA0110001",11000,2.72,11.56,1.28,"Low",9.07
"CA0110001",12000,2.84,11.56,1.34,"Low",9.51
"CA0110001",13000,2.97,11.56,1.4,"Low",9.95
"CA0110001",14000,3.1,11.56,1.46,"Low",10.39
"CA0110001",15000,3.23,11.56,1.52,"Low",10.83
"CA0110001",16000,3.35,11.56,1.58,"Low",11.27
"CA0110001",2000,1.57,11.56,0.74,"Low",5.11
"CA0110001",3000,1.7,11.56,0.8,"Low",5.55
"CA0110001",4000,1.82,11.56,0.86,"Low",5.99
"CA0110001",5000,1.95,11.56,0.92,"Low",6.43
"CA0110001",6000,2.08,11.56,0.98,"Low",6.86
"CA0110001",7000,2.21,11.56,1.04,"Low",7.3
"CA0110001",8000,2.33,11.56,1.1,"Low",7.75
"CA0110001",9000,2.46,11.56,1.16,"Low",8.19
"CA0110003",0,2.28,12.2,1,"Low",7.27
"CA0110003",1000,2.4,12.2,1.05,"Low",7.64
"CA0110003",10000,3.53,12.2,1.55,"Low",11.26
"CA0110003",11000,3.68,12.2,1.61,"Low",11.72
"CA0110003",12000,3.82,12.2,1.67,"Low",12.18
"CA0110003",13000,3.98,12.2,1.75,"Low",12.7
"CA0110003",14000,4.2,12.2,1.84,"Low",13.39
"CA0110003",15000,4.42,12.2,1.94,"Low",14.08
"CA0110003",16000,4.63,12.2,2.03,"Low-Moderate",14.77
"CA0110003",2000,2.51,12.2,1.1,"Low",8.01
"CA0110003",3000,2.63,12.2,1.15,"Low",8.38
"CA0110003",4000,2.74,12.2,1.2,"Low",8.75
"CA0110003",5000,2.86,12.2,1.25,"Low",9.12
"CA0110003",6000,2.98,12.2,1.31,"Low",9.48
"CA0110003",7000,3.1,12.2,1.36,"Low",9.87
"CA0110003",8000,3.24,12.2,1.42,"Low",10.34
"CA0110003",9000,3.39,12.2,1.49,"Low",10.8
"CA0110005",0,1.7,23.87,0.68,"Low-Moderate",3.04
"CA0110005",1000,2.04,23.87,0.82,"Low-Moderate",3.66
"CA0110005",10000,5.35,23.87,2.15,"Moderate-High",9.58
"CA0110005",11000,5.71,23.87,2.3,"Moderate-High",10.23
"CA0110005",12000,6.08,23.87,2.44,"Moderate-High",10.88
"CA0110005",13000,6.54,23.87,2.63,"Moderate-High",11.71
"CA0110005",14000,7,23.87,2.81,"Moderate-High",12.53
"CA0110005",15000,7.46,23.87,3,"Moderate-High",13.36
"CA0110005",16000,7.92,23.87,3.19,"Moderate-High",14.19
"CA0110005",2000,2.39,23.87,0.96,"Low-Moderate",4.28
"CA0110005",3000,2.74,23.87,1.1,"Low-Moderate",4.91
"CA0110005",4000,3.09,23.87,1.24,"Low-Moderate",5.53
"CA0110005",5000,3.44,23.87,1.38,"Low-Moderate",6.15
"CA0110005",6000,3.85,23.87,1.55,"Low-Moderate",6.89
"CA0110005",7000,4.26,23.87,1.71,"Low-Moderate",7.63
"CA0110005",8000,4.62,23.87,1.86,"Moderate-High",8.28
"CA0110005",9000,4.99,23.87,2.01,"Moderate-High",8.93
"CA0110006",0,1.72,23.1,0.78,"Low-Moderate",4.08
"CA0110006",1000,1.98,23.1,0.9,"Low-Moderate",4.72
"CA0110006",10000,4.76,23.1,2.15,"Moderate-High",11.3
"CA0110006",11000,5.11,23.1,2.31,"Moderate-High",11.72
"CA0110006",12000,5.47,23.1,2.47,"Moderate-High",12.16
"CA0110006",13000,5.82,23.1,2.64,"Moderate-High",12.59
"CA0110006",14000,6.18,23.1,2.8,"Moderate-High",13.03
"CA0110006",15000,6.53,23.1,2.96,"Moderate-High",13.46
"CA0110006",16000,6.89,23.1,3.12,"Moderate-High",13.89
"CA0110006",2000,2.24,23.1,1.01,"Low-Moderate",5.36
"CA0110006",3000,2.5,23.1,1.13,"Low-Moderate",6
"CA0110006",4000,2.82,23.1,1.27,"Low-Moderate",6.79
"CA0110006",5000,3.14,23.1,1.42,"Low-Moderate",7.58
"CA0110006",6000,3.46,23.1,1.56,"Low-Moderate",8.37
"CA0110006",7000,3.78,23.1,1.71,"Low-Moderate",9.16
"CA0110006",8000,4.1,23.1,1.85,"Low-Moderate",9.95
"CA0110006",9000,4.42,23.1,1.99,"Low-Moderate",10.73
"CA0110008",0,2.11,8.3,0.87,"Low",8.26
"CA0110008",1000,2.21,8.3,0.91,"Low",8.63
"CA0110008",10000,3.07,8.3,1.26,"Low",12.01
"CA0110008",11000,3.18,8.3,1.31,"Low",12.42
"CA0110008",12000,3.28,8.3,1.35,"Low",12.82
"CA0110008",13000,3.38,8.3,1.39,"Low",13.23
"CA0110008",14000,3.49,8.3,1.43,"Low",13.63
"CA0110008",15000,3.59,8.3,1.48,"Low",14.04
"CA0110008",16000,3.7,8.3,1.52,"Low",14.47
"CA0110008",2000,2.3,8.3,0.95,"Low",8.99
"CA0110008",3000,2.39,8.3,0.98,"Low",9.36
"CA0110008",4000,2.49,8.3,1.02,"Low",9.72
"CA0110008",5000,2.58,8.3,1.06,"Low",10.09
"CA0110008",6000,2.67,8.3,1.1,"Low",10.45
"CA0110008",7000,2.77,8.3,1.14,"Low",10.82
"CA0110008",8000,2.87,8.3,1.18,"Low",11.2
"CA0110008",9000,2.97,8.3,1.22,"Low",11.61
"CA0110009",0,1.02,8.3,0.48,"Low",4.74
"CA0110009",1000,1.11,8.3,0.52,"Low",5.15
"CA0110009",10000,1.91,8.3,0.9,"Low",8.84
"CA0110009",11000,2,8.3,0.94,"Low",9.24
"CA0110009",12000,2.09,8.3,0.98,"Low",9.65
"CA0110009",13000,2.18,8.3,1.02,"Low",10.06
"CA0110009",14000,2.26,8.3,1.06,"Low",10.47
"CA0110009",15000,2.35,8.3,1.1,"Low",10.88
"CA0110009",16000,2.44,8.3,1.15,"Low",11.29
"CA0110009",2000,1.2,8.3,0.56,"Low",5.56
"CA0110009",3000,1.29,8.3,0.61,"Low",5.97
"CA0110009",4000,1.38,8.3,0.65,"Low",6.38
"CA0110009",5000,1.47,8.3,0.69,"Low",6.79
"CA0110009",6000,1.56,8.3,0.73,"Low",7.2
"CA0110009",7000,1.64,8.3,0.77,"Low",7.61
"CA0110009",8000,1.73,8.3,0.81,"Low",8.02
"CA0110009",9000,1.82,8.3,0.85,"Low",8.43
"CA0110011",0,2.37,12.16,1.06,"Low",7.76
"CA0110011",1000,2.48,12.16,1.11,"Low",8.09
"CA0110011",10000,3.48,12.16,1.55,"Low",11.37
"CA0110011",11000,3.59,12.16,1.61,"Low",11.75
"CA0110011",12000,3.71,12.16,1.66,"Low",12.14
"CA0110011",13000,3.83,12.16,1.71,"Low",12.53
"CA0110011",14000,3.95,12.16,1.77,"Low",12.91
"CA0110011",15000,4.07,12.16,1.82,"Low",13.3
"CA0110011",16000,4.19,12.16,1.87,"Low",13.69
"CA0110011",2000,2.58,12.16,1.15,"Low",8.43
"CA0110011",3000,2.68,12.16,1.2,"Low",8.77
"CA0110011",4000,2.79,12.16,1.25,"Low",9.11
"CA0110011",5000,2.89,12.16,1.29,"Low",9.45
"CA0110011",6000,3,12.16,1.34,"Low",9.82
"CA0110011",7000,3.12,12.16,1.39,"Low",10.21
"CA0110011",8000,3.24,12.16,1.45,"Low",10.59
"CA0110011",9000,3.36,12.16,1.5,"Low",10.98
"CA0210002",0,4.04,43.92,1.88,"Moderate-High",6.59
"CA0210002",1000,6.6,43.92,3.07,"High",10.75
"CA0210002",10000,29.58,43.92,13.77,"Very High",48.21
"CA0210002",11000,32.14,43.92,14.96,"Very High",52.37
"CA0210002",12000,34.69,43.92,16.15,"Very High",56.53
"CA0210002",13000,37.24,43.92,17.34,"Very High",60.69
"CA0210002",14000,39.8,43.92,18.53,"Very High",64.85
"CA0210002",15000,42.35,43.92,19.72,"Very High",69.02
"CA0210002",16000,44.9,43.92,20.91,"Very High",73.18
"CA0210002",2000,9.15,43.92,4.26,"High",14.92
"CA0210002",3000,11.7,43.92,5.45,"Very High",19.08
"CA0210002",4000,14.26,43.92,6.64,"Very High",23.24
"CA0210002",5000,16.81,43.92,7.83,"Very High",27.4
"CA0210002",6000,19.36,43.92,9.02,"Very High",31.56
"CA0210002",7000,21.92,43.92,10.2,"Very High",35.72
"CA0210002",8000,24.48,43.92,11.39,"Very High",39.88
"CA0210002",9000,27.03,43.92,12.58,"Very High",44.05
"CA0300016",0,2.52,21.62,1.33,"Low-Moderate",5.78
"CA0300016",1000,2.59,21.62,1.37,"Low-Moderate",5.96
"CA0300016",10000,3.3,21.62,1.74,"Low-Moderate",7.59
"CA0300016",11000,3.4,21.62,1.79,"Low-Moderate",7.8
"CA0300016",12000,3.48,21.62,1.84,"Low-Moderate",8.01
"CA0300016",13000,3.58,21.62,1.89,"Low-Moderate",8.22
"CA0300016",14000,3.67,21.62,1.94,"Low-Moderate",8.43
"CA0300016",15000,3.76,21.62,1.98,"Low-Moderate",8.65
"CA0300016",16000,3.9,21.62,2.06,"Low-Moderate",8.96
"CA0300016",2000,2.67,21.62,1.41,"Low-Moderate",6.14
"CA0300016",3000,2.75,21.62,1.45,"Low-Moderate",6.32
"CA0300016",4000,2.83,21.62,1.49,"Low-Moderate",6.5
"CA0300016",5000,2.91,21.62,1.54,"Low-Moderate",6.68
"CA0300016",6000,2.99,21.62,1.58,"Low-Moderate",6.86
"CA0300016",7000,3.07,21.62,1.62,"Low-Moderate",7.05
"CA0300016",8000,3.15,21.62,1.66,"Low-Moderate",7.23
"CA0300016",9000,3.22,21.62,1.7,"Low-Moderate",7.41
"CA0300019",0,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",1000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",10000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",11000,3.25,23.48,1.42,"Low-Moderate",5.92
"CA0300019",12000,3.34,23.48,1.46,"Low-Moderate",6.08
"CA0300019",13000,3.42,23.48,1.49,"Low-Moderate",6.23
"CA0300019",14000,3.51,23.48,1.53,"Low-Moderate",6.38
"CA0300019",15000,3.6,23.48,1.57,"Low-Moderate",6.54
"CA0300019",16000,3.8,23.48,1.66,"Low-Moderate",6.92
"CA0300019",2000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",3000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",4000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",5000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",6000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",7000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",8000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0300019",9000,3.17,23.48,1.38,"Low-Moderate",5.77
"CA0310001",0,4.66,27.13,2.08,"Moderate-High",5.86
"CA0310001",1000,4.92,27.13,2.2,"Moderate-High",6.19
"CA0310001",10000,7.31,27.13,3.26,"Moderate-High",9.19
"CA0310001",11000,7.57,27.13,3.38,"Moderate-High",9.52
"CA0310001",12000,7.84,27.13,3.5,"Moderate-High",9.85
"CA0310001",13000,8.1,27.13,3.62,"Moderate-High",10.19
"CA0310001",14000,8.37,27.13,3.73,"Moderate-High",10.52
"CA0310001",15000,8.63,27.13,3.85,"Moderate-High",10.85
"CA0310001",16000,8.9,27.13,3.97,"Moderate-High",11.19
"CA0310001",2000,5.19,27.13,2.31,"Moderate-High",6.52
"CA0310001",3000,5.45,27.13,2.44,"Moderate-High",6.86
"CA0310001",4000,5.72,27.13,2.55,"Moderate-High",7.19
"CA0310001",5000,5.98,27.13,2.67,"Moderate-High",7.52
"CA0310001",6000,6.25,27.13,2.79,"Moderate-High",7.86
"CA0310001",7000,6.52,27.13,2.91,"Moderate-High",8.19
"CA0310001",8000,6.78,27.13,3.02,"Moderate-High",8.52
"CA0310001",9000,7.04,27.13,3.14,"Moderate-High",8.86
"CA0310002",0,3.5,13.16,1.33,"Low",12.06
"CA0310002",1000,3.57,13.16,1.36,"Low",12.31
"CA0310002",10000,4.23,13.16,1.6,"Low",14.57
"CA0310002",11000,4.3,13.16,1.63,"Low",14.82
"CA0310002",12000,4.37,13.16,1.66,"Low",15.07
"CA0310002",13000,4.45,13.16,1.69,"Low",15.32
"CA0310002",14000,4.52,13.16,1.71,"Low",15.57
"CA0310002",15000,4.59,13.16,1.74,"Low",15.82
"CA0310002",16000,4.67,13.16,1.77,"Low-Moderate",16.07
"CA0310002",2000,3.64,13.16,1.38,"Low",12.56
"CA0310002",3000,3.72,13.16,1.41,"Low",12.81
"CA0310002",4000,3.79,13.16,1.44,"Low",13.06
"CA0310002",5000,3.86,13.16,1.46,"Low",13.31
"CA0310002",6000,3.94,13.16,1.49,"Low",13.57
"CA0310002",7000,4.01,13.16,1.52,"Low",13.82
"CA0310002",8000,4.08,13.16,1.55,"Low",14.07
"CA0310002",9000,4.16,13.16,1.58,"Low",14.32
"CA0310003",0,8.18,25.11,3.21,"Moderate-High",12.06
"CA0310003",1000,8.35,25.11,3.28,"Moderate-High",12.31
"CA0310003",10000,9.88,25.11,3.88,"High",14.57
"CA0310003",11000,10.05,25.11,3.95,"High",14.82
"CA0310003",12000,10.22,25.11,4.01,"High",15.07
"CA0310003",13000,10.38,25.11,4.08,"High",15.32
"CA0310003",14000,10.56,25.11,4.15,"High",15.57
"CA0310003",15000,10.73,25.11,4.21,"High",15.82
"CA0310003",16000,10.9,25.11,4.28,"High",16.07
"CA0310003",2000,8.51,25.11,3.35,"Moderate-High",12.56
"CA0310003",3000,8.69,25.11,3.41,"Moderate-High",12.81
"CA0310003",4000,8.86,25.11,3.48,"Moderate-High",13.06
"CA0310003",5000,9.03,25.11,3.54,"Moderate-High",13.31
"CA0310003",6000,9.2,25.11,3.61,"High",13.57
"CA0310003",7000,9.37,25.11,3.67,"High",13.82
"CA0310003",8000,9.53,25.11,3.74,"High",14.07
"CA0310003",9000,9.71,25.11,3.81,"High",14.32
"CA0310005",0,3.5,19.79,1.16,"Low",5.81
"CA0310005",1000,3.5,19.79,1.16,"Low",5.81
"CA0310005",10000,5.81,19.79,1.92,"Low-Moderate",9.62
"CA0310005",11000,6.12,19.79,2.02,"Low-Moderate",10.15
"CA0310005",12000,6.44,19.79,2.13,"Low-Moderate",10.67
"CA0310005",13000,6.75,19.79,2.23,"Low-Moderate",11.2
"CA0310005",14000,7.07,19.79,2.34,"Low-Moderate",11.72
"CA0310005",15000,7.39,19.79,2.44,"Low-Moderate",12.25
"CA0310005",16000,7.7,19.79,2.54,"Low-Moderate",12.77
"CA0310005",2000,3.53,19.79,1.17,"Low",5.86
"CA0310005",3000,3.78,19.79,1.25,"Low",6.27
"CA0310005",4000,4.04,19.79,1.33,"Low",6.69
"CA0310005",5000,4.32,19.79,1.43,"Low",7.16
"CA0310005",6000,4.6,19.79,1.52,"Low-Moderate",7.62
"CA0310005",7000,4.87,19.79,1.61,"Low-Moderate",8.08
"CA0310005",8000,5.17,19.79,1.71,"Low-Moderate",8.58
"CA0310005",9000,5.49,19.79,1.81,"Low-Moderate",9.1
"CA0310006",0,4.72,23.46,2.13,"Moderate-High",8.28
"CA0310006",1000,4.85,23.46,2.19,"Moderate-High",8.51
"CA0310006",10000,6.83,23.46,3.09,"Moderate-High",11.99
"CA0310006",11000,7.17,23.46,3.24,"Moderate-High",12.59
"CA0310006",12000,7.51,23.46,3.4,"Moderate-High",13.18
"CA0310006",13000,7.9,23.46,3.58,"Moderate-High",13.87
"CA0310006",14000,8.3,23.46,3.75,"Moderate-High",14.57
"CA0310006",15000,8.69,23.46,3.93,"Moderate-High",15.26
"CA0310006",16000,9.13,23.46,4.14,"Moderate-High",16.05
"CA0310006",2000,4.98,23.46,2.25,"Moderate-High",8.74
"CA0310006",3000,5.11,23.46,2.31,"Moderate-High",8.97
"CA0310006",4000,5.29,23.46,2.39,"Moderate-High",9.28
"CA0310006",5000,5.46,23.46,2.47,"Moderate-High",9.59
"CA0310006",6000,5.69,23.46,2.57,"Moderate-High",9.99
"CA0310006",7000,5.92,23.46,2.68,"Moderate-High",10.4
"CA0310006",8000,6.2,23.46,2.81,"Moderate-High",10.89
"CA0310006",9000,6.49,23.46,2.94,"Moderate-High",11.39
"CA0310012",0,6.89,21.62,2.75,"Moderate-High",12.06
"CA0310012",1000,7.03,21.62,2.81,"Moderate-High",12.31
"CA0310012",10000,8.32,21.62,3.32,"Moderate-High",14.57
"CA0310012",11000,8.46,21.62,3.38,"Moderate-High",14.82
"CA0310012",12000,8.6,21.62,3.44,"Moderate-High",15.07
"CA0310012",13000,8.75,21.62,3.49,"Moderate-High",15.32
"CA0310012",14000,8.89,21.62,3.55,"Moderate-High",15.57
"CA0310012",15000,9.04,21.62,3.61,"Moderate-High",15.82
"CA0310012",16000,9.18,21.62,3.66,"Moderate-High",16.07
"CA0310012",2000,7.17,21.62,2.86,"Moderate-High",12.56
"CA0310012",3000,7.32,21.62,2.92,"Moderate-High",12.81
"CA0310012",4000,7.46,21.62,2.98,"Moderate-High",13.06
"CA0310012",5000,7.6,21.62,3.03,"Moderate-High",13.31
"CA0310012",6000,7.74,21.62,3.09,"Moderate-High",13.57
"CA0310012",7000,7.89,21.62,3.15,"Moderate-High",13.82
"CA0310012",8000,8.03,21.62,3.2,"Moderate-High",14.07
"CA0310012",9000,8.18,21.62,3.26,"Moderate-High",14.32
"CA0310019",0,6.1,23.45,3.78,"Moderate-High",12.06
"CA0310019",1000,6.23,23.45,3.86,"Moderate-High",12.31
"CA0310019",10000,7.37,23.45,4.57,"Moderate-High",14.57
"CA0310019",11000,7.5,23.45,4.65,"Moderate-High",14.82
"CA0310019",12000,7.63,23.45,4.72,"Moderate-High",15.07
"CA0310019",13000,7.75,23.45,4.8,"Moderate-High",15.32
"CA0310019",14000,7.88,23.45,4.88,"Moderate-High",15.57
"CA0310019",15000,8.01,23.45,4.96,"Moderate-High",15.82
"CA0310019",16000,8.13,23.45,5.04,"Moderate-High",16.07
"CA0310019",2000,6.36,23.45,3.94,"Moderate-High",12.56
"CA0310019",3000,6.48,23.45,4.02,"Moderate-High",12.81
"CA0310019",4000,6.61,23.45,4.1,"Moderate-High",13.06
"CA0310019",5000,6.74,23.45,4.17,"Moderate-High",13.31
"CA0310019",6000,6.86,23.45,4.25,"Moderate-High",13.57
"CA0310019",7000,6.99,23.45,4.33,"Moderate-High",13.82
"CA0310019",8000,7.12,23.45,4.41,"Moderate-High",14.07
"CA0310019",9000,7.24,23.45,4.49,"Moderate-High",14.32
"CA0310021",0,8.73,29.11,2.97,"Moderate-High",12.28
"CA0310021",1000,8.91,29.11,3.03,"Moderate-High",12.53
"CA0310021",10000,10.52,29.11,3.58,"High",14.79
"CA0310021",11000,10.7,29.11,3.64,"High",15.04
"CA0310021",12000,10.87,29.11,3.7,"High",15.29
"CA0310021",13000,11.05,29.11,3.76,"High",15.55
"CA0310021",14000,11.23,29.11,3.82,"High",15.8
"CA0310021",15000,11.41,29.11,3.88,"High",16.05
"CA0310021",16000,11.59,29.11,3.94,"High",16.3
"CA0310021",2000,9.09,29.11,3.09,"Moderate-High",12.79
"CA0310021",3000,9.27,29.11,3.15,"High",13.04
"CA0310021",4000,9.45,29.11,3.21,"High",13.29
"CA0310021",5000,9.63,29.11,3.27,"High",13.54
"CA0310021",6000,9.8,29.11,3.33,"High",13.79
"CA0310021",7000,9.98,29.11,3.39,"High",14.04
"CA0310021",8000,10.16,29.11,3.45,"High",14.29
"CA0310021",9000,10.34,29.11,3.52,"High",14.54
"CA0405001",0,6.69,31.38,3.17,"Moderate-High",6.17
"CA0405001",1000,6.96,31.38,3.3,"Moderate-High",6.41
"CA0405001",10000,9.32,31.38,4.42,"High",8.59
"CA0405001",11000,9.58,31.38,4.54,"High",8.83
"CA0405001",12000,9.84,31.38,4.67,"High",9.07
"CA0405001",13000,10.11,31.38,4.79,"High",9.32
"CA0405001",14000,10.37,31.38,4.92,"High",9.56
"CA0405001",15000,10.63,31.38,5.04,"High",9.8
"CA0405001",16000,10.89,31.38,5.17,"High",10.04
"CA0405001",2000,7.22,31.38,3.42,"Moderate-High",6.65
"CA0405001",3000,7.48,31.38,3.55,"Moderate-High",6.9
"CA0405001",4000,7.74,31.38,3.67,"Moderate-High",7.14
"CA0405001",5000,8.01,31.38,3.8,"Moderate-High",7.38
"CA0405001",6000,8.27,31.38,3.92,"Moderate-High",7.62
"CA0405001",7000,8.53,31.38,4.05,"Moderate-High",7.86
"CA0405001",8000,8.79,31.38,4.17,"Moderate-High",8.11
"CA0405001",9000,9.05,31.38,4.3,"Moderate-High",8.35
"CA0410001",0,4.93,35.08,2.84,"High",9.95
"CA0410001",1000,4.93,35.08,2.84,"High",9.95
"CA0410001",10000,4.93,35.08,2.84,"High",9.95
"CA0410001",11000,4.93,35.08,2.84,"High",9.95
"CA0410001",12000,4.93,35.08,2.84,"High",9.95
"CA0410001",13000,4.93,35.08,2.84,"High",9.95
"CA0410001",14000,4.93,35.08,2.84,"High",9.95
"CA0410001",15000,4.93,35.08,2.84,"High",9.95
"CA0410001",16000,4.93,35.08,2.84,"High",9.95
"CA0410001",2000,4.93,35.08,2.84,"High",9.95
"CA0410001",3000,4.93,35.08,2.84,"High",9.95
"CA0410001",4000,4.93,35.08,2.84,"High",9.95
"CA0410001",5000,4.93,35.08,2.84,"High",9.95
"CA0410001",6000,4.93,35.08,2.84,"High",9.95
"CA0410001",7000,4.93,35.08,2.84,"High",9.95
"CA0410001",8000,4.93,35.08,2.84,"High",9.95
"CA0410001",9000,4.93,35.08,2.84,"High",9.95
"CA0410002",0,2.39,36.56,0.94,"Moderate-High",2.9
"CA0410002",1000,2.54,36.56,1,"Moderate-High",3.08
"CA0410002",10000,3.78,36.56,1.49,"Moderate-High",4.59
"CA0410002",11000,3.94,36.56,1.55,"Moderate-High",4.78
"CA0410002",12000,4.09,36.56,1.61,"Moderate-High",4.97
"CA0410002",13000,4.25,36.56,1.68,"Moderate-High",5.16
"CA0410002",14000,4.41,36.56,1.74,"Moderate-High",5.35
"CA0410002",15000,4.57,36.56,1.8,"Moderate-High",5.54
"CA0410002",16000,4.72,36.56,1.86,"High",5.74
"CA0410002",2000,2.69,36.56,1.06,"Moderate-High",3.26
"CA0410002",3000,2.83,36.56,1.12,"Moderate-High",3.44
"CA0410002",4000,2.98,36.56,1.18,"Moderate-High",3.62
"CA0410002",5000,3.13,36.56,1.23,"Moderate-High",3.8
"CA0410002",6000,3.28,36.56,1.29,"Moderate-High",3.98
"CA0410002",7000,3.43,36.56,1.35,"Moderate-High",4.16
"CA0410002",8000,3.5,36.56,1.38,"Moderate-High",4.25
"CA0410002",9000,3.62,36.56,1.43,"Moderate-High",4.4
"CA0410005",0,5.13,57.75,2.88,"High",5.64
"CA0410005",1000,5.37,57.75,3.01,"High",5.9
"CA0410005",10000,7.77,57.75,4.36,"High",8.55
"CA0410005",11000,8.15,57.75,4.57,"High",8.97
"CA0410005",12000,8.61,57.75,4.83,"High",9.47
"CA0410005",13000,9.07,57.75,5.09,"High",9.98
"CA0410005",14000,9.53,57.75,5.35,"Very High",10.49
"CA0410005",15000,10,57.75,5.6,"Very High",10.99
"CA0410005",16000,10.46,57.75,5.86,"Very High",11.5
"CA0410005",2000,5.6,57.75,3.14,"High",6.16
"CA0410005",3000,5.83,57.75,3.27,"High",6.41
"CA0410005",4000,6.07,57.75,3.4,"High",6.67
"CA0410005",5000,6.3,57.75,3.53,"High",6.93
"CA0410005",6000,6.58,57.75,3.69,"High",7.24
"CA0410005",7000,6.88,57.75,3.86,"High",7.56
"CA0410005",8000,7.18,57.75,4.02,"High",7.89
"CA0410005",9000,7.47,57.75,4.19,"High",8.22
"CA0410007",0,4.95,34.24,2,"Moderate-High",5.84
"CA0410007",1000,5.09,34.24,2.06,"Moderate-High",6
"CA0410007",10000,6.36,34.24,2.57,"Moderate-High",7.49
"CA0410007",11000,6.5,34.24,2.63,"Moderate-High",7.66
"CA0410007",12000,6.64,34.24,2.68,"Moderate-High",7.82
"CA0410007",13000,6.78,34.24,2.74,"Moderate-High",7.99
"CA0410007",14000,6.92,34.24,2.8,"Moderate-High",8.15
"CA0410007",15000,7.06,34.24,2.85,"Moderate-High",8.32
"CA0410007",16000,7.2,34.24,2.91,"Moderate-High",8.48
"CA0410007",2000,5.23,34.24,2.12,"Moderate-High",6.17
"CA0410007",3000,5.37,34.24,2.17,"Moderate-High",6.33
"CA0410007",4000,5.51,34.24,2.23,"Moderate-High",6.5
"CA0410007",5000,5.65,34.24,2.29,"Moderate-High",6.66
"CA0410007",6000,5.79,34.24,2.34,"Moderate-High",6.83
"CA0410007",7000,5.94,34.24,2.4,"Moderate-High",6.99
"CA0410007",8000,6.08,34.24,2.46,"Moderate-High",7.16
"CA0410007",9000,6.22,34.24,2.51,"Moderate-High",7.33
"CA0410009",0,5.31,33.31,1.72,"Moderate-High",5.94
"CA0410009",1000,5.67,33.31,1.85,"Moderate-High",6.35
"CA0410009",10000,8.97,33.31,2.92,"Moderate-High",10.03
"CA0410009",11000,9.34,33.31,3.04,"High",10.44
"CA0410009",12000,9.7,33.31,3.16,"High",10.85
"CA0410009",13000,10.07,33.31,3.28,"High",11.26
"CA0410009",14000,10.43,33.31,3.4,"High",11.67
"CA0410009",15000,10.81,33.31,3.51,"High",12.08
"CA0410009",16000,11.17,33.31,3.64,"High",12.49
"CA0410009",2000,6.04,33.31,1.97,"Moderate-High",6.76
"CA0410009",3000,6.41,33.31,2.09,"Moderate-High",7.17
"CA0410009",4000,6.77,33.31,2.2,"Moderate-High",7.58
"CA0410009",5000,7.14,33.31,2.32,"Moderate-High",7.99
"CA0410009",6000,7.5,33.31,2.44,"Moderate-High",8.39
"CA0410009",7000,7.87,33.31,2.56,"Moderate-High",8.8
"CA0410009",8000,8.23,33.31,2.68,"Moderate-High",9.21
"CA0410009",9000,8.61,33.31,2.8,"Moderate-High",9.62
"CA0410011",0,3.4,33.17,1.5,"Low-Moderate",5.46
"CA0410011",1000,3.63,33.17,1.6,"Low-Moderate",5.82
"CA0410011",10000,5.68,33.17,2.51,"Moderate-High",9.11
"CA0410011",11000,5.91,33.17,2.61,"Moderate-High",9.48
"CA0410011",12000,6.14,33.17,2.71,"Moderate-High",9.84
"CA0410011",13000,6.36,33.17,2.81,"Moderate-High",10.21
"CA0410011",14000,6.59,33.17,2.91,"Moderate-High",10.57
"CA0410011",15000,6.82,33.17,3.01,"Moderate-High",10.94
"CA0410011",16000,7.05,33.17,3.11,"Moderate-High",11.3
"CA0410011",2000,3.86,33.17,1.71,"Low-Moderate",6.19
"CA0410011",3000,4.08,33.17,1.8,"Low-Moderate",6.55
"CA0410011",4000,4.31,33.17,1.91,"Low-Moderate",6.92
"CA0410011",5000,4.54,33.17,2.01,"Low-Moderate",7.28
"CA0410011",6000,4.77,33.17,2.11,"Moderate-High",7.65
"CA0410011",7000,5,33.17,2.21,"Moderate-High",8.02
"CA0410011",8000,5.22,33.17,2.31,"Moderate-High",8.38
"CA0410011",9000,5.45,33.17,2.41,"Moderate-High",8.75
"CA0510001",0,7.41,26.01,3.52,"Moderate-High",11.26
"CA0510001",1000,7.41,26.01,3.52,"Moderate-High",11.26
"CA0510001",10000,7.7,26.01,3.66,"Moderate-High",11.7
"CA0510001",11000,7.82,26.01,3.72,"Moderate-High",11.87
"CA0510001",12000,7.93,26.01,3.76,"Moderate-High",12.05
"CA0510001",13000,8.05,26.01,3.82,"Moderate-High",12.22
"CA0510001",14000,8.16,26.01,3.88,"Moderate-High",12.4
"CA0510001",15000,8.27,26.01,3.93,"Moderate-High",12.57
"CA0510001",16000,8.39,26.01,3.99,"Moderate-High",12.75
