"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,130.99,0,0,0,0
"CA0110001","inside","water",28.3,0,95.88,67.58,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,141.13,0,0,0,0
"CA0110001","outside","water",28.3,0,106.02,77.72,0,0,0
"CA0110005","inside","sewer",7.3,7.8,26.98,11.88,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,144.65,86.68,15,0,0
"CA0110005","inside","water",27.87,0,117.67,74.8,15,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,154.2,0,0,0,0
"CA0110006","inside","water",16,0,118.39,102.39,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,150.63,0,0,0,0
"CA0110006","outside","water",18.4,0,114.82,96.42,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,161.44,0,0,0,0
"CA0110008","inside","water",12.46,0,66.48,54.02,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,118.25,0,1.91,0,0
"CA0110009","inside","water",17.58,3.1,79.2,56.61,1.91,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,152.78,0,0,0,0
"CA0110011","inside","water",41.89,0,93.85,51.96,0,0,0
"CA0210002","inside","sewer",53.05,0,495.23,442.18,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,680.8,595.11,0,0,0
"CA0210002","inside","water",29.29,3.35,185.57,152.93,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,101.39,0,0,0,0
"CA0300016","inside","water",42.25,0,68.5,26.25,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,77,0,0,0,0
"CA0300019","inside","water",50,0,52,2,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,123.78,0,0,0,0
"CA0310001","inside","water",27.49,0,75.13,47.64,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,192.66,0,0,0,0
"CA0310002","inside","water",31.34,16.62,83.84,35.88,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,192.66,0,0,0,0
"CA0310003","inside","water",31.34,16.62,83.84,35.88,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,131.94,0,0,0,0
"CA0310005","inside","water",42.62,0,99.05,56.43,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,163.62,0,0,0,0
"CA0310006","inside","water",49.9,0,105.87,55.97,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,192.66,0,0,0,0
"CA0310012","inside","water",31.34,16.62,83.84,35.88,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,192.66,0,0,0,0
"CA0310019","inside","water",31.34,16.62,83.84,35.88,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,195.57,0,0,0,0
"CA0310021","inside","water",31.34,8.73,75.95,35.88,0,0,0
"CA0405001","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0405001","inside","storm",0,0,0,0,0,0,0
"CA0405001","inside","total",64.19,16.03,114.81,0,0,0,0
"CA0405001","inside","water",31.3,16.03,81.92,34.59,0,0,0
