"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,75.7,0,0,0,0
"CA0110001","inside","water",28.3,0,40.59,12.29,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,77.54,0,0,0,0
"CA0110001","outside","water",28.3,0,42.43,14.13,0,0,0
"CA0110003","inside","sewer",61.88,0,61.88,0,0,0,0
"CA0110003","inside","storm",0,0,0,0,0,0,0
"CA0110003","inside","total",94.5,0,104.1,0,0,0,0
"CA0110003","inside","water",32.62,0,42.22,9.6,0,0,0
"CA0110005","inside","sewer",7.3,7.8,18.63,3.53,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,60.58,14.89,2.72,0,0
"CA0110005","inside","water",27.87,0,41.95,11.36,2.72,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,67.32,0,0,0,0
"CA0110006","inside","water",16,0,31.51,15.51,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,72.04,0,0,0,0
"CA0110006","outside","water",18.4,0,36.23,17.83,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,116.91,0,0,0,0
"CA0110008","inside","water",12.46,0,21.95,9.49,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,70.37,0,0.35,0,0
"CA0110009","inside","water",17.58,3.1,31.32,10.29,0.35,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,109.62,0,0,0,0
"CA0110011","inside","water",41.89,0,50.69,8.8,0,0,0
"CA0210002","inside","sewer",53.05,0,133.45,80.4,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,193.9,108.21,0,0,0
"CA0210002","inside","water",29.29,3.35,60.45,27.81,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,79.84,0,0,0,0
"CA0300016","inside","water",42.25,0,46.95,4.7,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,75,0,0,0,0
"CA0300019","inside","water",50,0,50,0,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,84.8,0,0,0,0
"CA0310001","inside","water",27.49,0,36.15,8.66,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,163.3,0,0,0,0
"CA0310002","inside","water",31.34,16.62,54.48,6.52,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,163.3,0,0,0,0
"CA0310003","inside","water",31.34,16.62,54.48,6.52,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,76.18,0,0,0,0
"CA0310005","inside","water",42.62,0,43.29,0.67,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,113.65,0,0,0,0
"CA0310006","inside","water",49.9,0,55.9,6,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,163.3,0,0,0,0
"CA0310012","inside","water",31.34,16.62,54.48,6.52,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,163.3,0,0,0,0
"CA0310019","inside","water",31.34,16.62,54.48,6.52,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,166.21,0,0,0,0
"CA0310021","inside","water",31.34,8.73,46.59,6.52,0,0,0
