"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,87.99,0,0,0,0
"CA0110001","inside","water",28.3,0,52.88,24.58,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,91.67,0,0,0,0
"CA0110001","outside","water",28.3,0,56.56,28.26,0,0,0
"CA0110005","inside","sewer",7.3,7.8,22.16,7.06,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,78.21,29.79,5.45,0,0
"CA0110005","inside","water",27.87,0,56.05,22.73,5.45,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,84.59,0,0,0,0
"CA0110006","inside","water",16,0,48.78,32.78,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,91.91,0,0,0,0
"CA0110006","outside","water",18.4,0,56.1,37.7,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,126.4,0,0,0,0
"CA0110008","inside","water",12.46,0,31.44,18.98,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,81.02,0,0.7,0,0
"CA0110009","inside","water",17.58,3.1,41.97,20.59,0.7,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,118.41,0,0,0,0
"CA0110011","inside","water",41.89,0,59.48,17.59,0,0,0
"CA0210002","inside","sewer",53.05,0,213.84,160.79,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,302.09,216.4,0,0,0
"CA0210002","inside","water",29.29,3.35,88.25,55.61,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,84.54,0,0,0,0
"CA0300016","inside","water",42.25,0,51.65,9.4,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,75,0,0,0,0
"CA0300019","inside","water",50,0,50,0,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,93.46,0,0,0,0
"CA0310001","inside","water",27.49,0,44.81,17.32,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,169.83,0,0,0,0
"CA0310002","inside","water",31.34,16.62,61.01,13.05,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,169.83,0,0,0,0
"CA0310003","inside","water",31.34,16.62,61.01,13.05,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,87.03,0,0,0,0
"CA0310005","inside","water",42.62,0,54.14,11.52,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,120.65,0,0,0,0
"CA0310006","inside","water",49.9,0,62.9,13,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,169.83,0,0,0,0
"CA0310012","inside","water",31.34,16.62,61.01,13.05,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,169.83,0,0,0,0
"CA0310019","inside","water",31.34,16.62,61.01,13.05,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,172.74,0,0,0,0
"CA0310021","inside","water",31.34,8.73,53.12,13.05,0,0,0
"CA0405001","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0405001","inside","storm",0,0,0,0,0,0,0
"CA0405001","inside","total",64.19,16.03,92.8,0,0,0,0
"CA0405001","inside","water",31.3,16.03,59.91,12.58,0,0,0
