"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,118.71,0,0,0,0
"CA0110001","inside","water",28.3,0,83.6,55.3,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,127,0,0,0,0
"CA0110001","outside","water",28.3,0,91.89,63.59,0,0,0
"CA0110003","inside","sewer",61.88,0,61.88,0,0,0,0
"CA0110003","inside","storm",0,0,0,0,0,0,0
"CA0110003","inside","total",94.5,0,140.36,0,0,0,0
"CA0110003","inside","water",32.62,0,78.48,45.86,0,0,0
"CA0110005","inside","sewer",7.3,7.8,26.98,11.88,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,126.28,71.04,12.27,0,0
"CA0110005","inside","water",27.87,0,99.3,59.16,12.27,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,132.32,0,0,0,0
"CA0110006","inside","water",16,0,96.51,80.51,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,146.79,0,0,0,0
"CA0110006","outside","water",18.4,0,110.98,92.58,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,150.9,0,0,0,0
"CA0110008","inside","water",12.46,0,55.94,43.48,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,107.61,0,1.56,0,0
"CA0110009","inside","water",17.58,3.1,68.56,46.32,1.56,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,142.73,0,0,0,0
"CA0110011","inside","water",41.89,0,83.8,41.91,0,0,0
"CA0210002","inside","sewer",53.05,0,414.83,361.78,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,572.59,486.9,0,0,0
"CA0210002","inside","water",29.29,3.35,157.76,125.12,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,96.29,0,0,0,0
"CA0300016","inside","water",42.25,0,63.4,21.15,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,75,0,0,0,0
"CA0300019","inside","water",50,0,50,0,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,115.12,0,0,0,0
"CA0310001","inside","water",27.49,0,66.47,38.98,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,186.14,0,0,0,0
"CA0310002","inside","water",31.34,16.62,77.32,29.36,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,186.14,0,0,0,0
"CA0310003","inside","water",31.34,16.62,77.32,29.36,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,118.3,0,0,0,0
"CA0310005","inside","water",42.62,0,85.41,42.79,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,148.13,0,0,0,0
"CA0310006","inside","water",49.9,0,90.38,40.48,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,186.14,0,0,0,0
"CA0310012","inside","water",31.34,16.62,77.32,29.36,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,186.14,0,0,0,0
"CA0310019","inside","water",31.34,16.62,77.32,29.36,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,189.05,0,0,0,0
"CA0310021","inside","water",31.34,8.73,69.43,29.36,0,0,0
