"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,143.28,0,0,0,0
"CA0110001","inside","water",28.3,0,108.17,79.87,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,155.26,0,0,0,0
"CA0110001","outside","water",28.3,0,120.15,91.85,0,0,0
"CA0110005","inside","sewer",7.3,7.8,26.98,11.88,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,165.53,104.84,17.72,0,0
"CA0110005","inside","water",27.87,0,138.55,92.96,17.72,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,176.69,0,0,0,0
"CA0110006","inside","water",16,0,140.88,124.88,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,150.63,0,0,0,0
"CA0110006","outside","water",18.4,0,114.82,96.42,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,171.97,0,0,0,0
"CA0110008","inside","water",12.46,0,77.01,64.55,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,128.9,0,2.26,0,0
"CA0110009","inside","water",17.58,3.1,89.85,66.91,2.26,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,162.84,0,0,0,0
"CA0110011","inside","water",41.89,0,103.91,62.02,0,0,0
"CA0210002","inside","sewer",53.05,0,575.62,522.57,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,789,703.31,0,0,0
"CA0210002","inside","water",29.29,3.35,213.38,180.74,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,106.89,0,0,0,0
"CA0300016","inside","water",42.25,0,74,31.75,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,81,0,0,0,0
"CA0300019","inside","water",50,0,56,6,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,132.45,0,0,0,0
"CA0310001","inside","water",27.49,0,83.8,56.31,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,199.18,0,0,0,0
"CA0310002","inside","water",31.34,16.62,90.36,42.4,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,199.18,0,0,0,0
"CA0310003","inside","water",31.34,16.62,90.36,42.4,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,145.57,0,0,0,0
"CA0310005","inside","water",42.62,0,112.68,70.06,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,180.36,0,0,0,0
"CA0310006","inside","water",49.9,0,122.61,72.71,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,199.18,0,0,0,0
"CA0310012","inside","water",31.34,16.62,90.36,42.4,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,199.18,0,0,0,0
"CA0310019","inside","water",31.34,16.62,90.36,42.4,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,202.09,0,0,0,0
"CA0310021","inside","water",31.34,8.73,82.47,42.4,0,0,0
"CA0405001","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0405001","inside","storm",0,0,0,0,0,0,0
"CA0405001","inside","total",64.19,16.03,121.1,0,0,0,0
"CA0405001","inside","water",31.3,16.03,88.21,40.88,0,0,0
