"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,100.27,0,0,0,0
"CA0110001","inside","water",28.3,0,65.16,36.86,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,105.8,0,0,0,0
"CA0110001","outside","water",28.3,0,70.69,42.39,0,0,0
"CA0110005","inside","sewer",7.3,7.8,25.69,10.59,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,97.44,46.29,8.18,0,0
"CA0110005","inside","water",27.87,0,71.75,35.7,8.18,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,103.68,0,0,0,0
"CA0110006","inside","water",16,0,67.87,51.87,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,113.86,0,0,0,0
"CA0110006","outside","water",18.4,0,78.05,59.65,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,135.89,0,0,0,0
"CA0110008","inside","water",12.46,0,40.93,28.47,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,91.65,0,1.04,0,0
"CA0110009","inside","water",17.58,3.1,52.6,30.88,1.04,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,127.65,0,0,0,0
"CA0110011","inside","water",41.89,0,68.72,26.83,0,0,0
"CA0210002","inside","sewer",53.05,0,294.24,241.19,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,410.3,324.61,0,0,0
"CA0210002","inside","water",29.29,3.35,116.06,83.42,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,89.24,0,0,0,0
"CA0300016","inside","water",42.25,0,56.35,14.1,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,75,0,0,0,0
"CA0300019","inside","water",50,0,50,0,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,102.13,0,0,0,0
"CA0310001","inside","water",27.49,0,53.48,25.99,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,176.35,0,0,0,0
"CA0310002","inside","water",31.34,16.62,67.53,19.57,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,176.35,0,0,0,0
"CA0310003","inside","water",31.34,16.62,67.53,19.57,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,99.06,0,0,0,0
"CA0310005","inside","water",42.62,0,66.17,23.55,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,129.89,0,0,0,0
"CA0310006","inside","water",49.9,0,72.14,22.24,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,176.35,0,0,0,0
"CA0310012","inside","water",31.34,16.62,67.53,19.57,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,176.35,0,0,0,0
"CA0310019","inside","water",31.34,16.62,67.53,19.57,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,179.26,0,0,0,0
"CA0310021","inside","water",31.34,8.73,59.64,19.57,0,0,0
"CA0405001","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0405001","inside","storm",0,0,0,0,0,0,0
"CA0405001","inside","total",64.19,16.03,99.09,0,0,0,0
"CA0405001","inside","water",31.3,16.03,66.2,18.87,0,0,0
