"GEOID","pwsid","burden"
"060014001001","CA0110005","Low"
"060014002001","CA0110005","Low"
"060014002002","CA0110005","Low"
"060014003001","CA0110005","Low"
"060014003002","CA0110005","Low"
"060014003003","CA0110005","Low"
"060014003004","CA0110005","Low"
"060014004001","CA0110005","Low-Moderate"
"060014004002","CA0110005","Low-Moderate"
"060014004003","CA0110005","Low-Moderate"
"060014005001","CA0110005","Low-Moderate"
"060014005002","CA0110005","Low-Moderate"
"060014005003","CA0110005","Low-Moderate"
"060014006001","CA0110005","Low"
"060014006002","CA0110005","Low"
"060014007001","CA0110005","Low-Moderate"
"060014007002","CA0110005","Low-Moderate"
"060014007003","CA0110005","Low-Moderate"
"060014007004","CA0110005","Low-Moderate"
"060014008001","CA0110005","Moderate-High"
"060014008002","CA0110005","Moderate-High"
"060014008003","CA0110005","Moderate-High"
"060014009001","CA0110005","Low-Moderate"
"060014009002","CA0110005","Low-Moderate"
"060014010001","CA0110005","Moderate-High"
"060014010002","CA0110005","Low-Moderate"
"060014010003","CA0110005","Low-Moderate"
"060014010004","CA0110005","Low-Moderate"
"060014010005","CA0110005","Moderate-High"
"060014010006","CA0110005","Low-Moderate"
"060014011001","CA0110005","Low-Moderate"
"060014011002","CA0110005","Low-Moderate"
"060014011003","CA0110005","Low-Moderate"
"060014011004","CA0110005","Low-Moderate"
"060014012001","CA0110005","Low-Moderate"
"060014012002","CA0110005","Low-Moderate"
"060014012003","CA0110005","Low-Moderate"
"060014013001","CA0110005","Moderate-High"
"060014013002","CA0110005","High"
"060014013003","CA0110005","Moderate-High"
"060014014001","CA0110005","High"
"060014014002","CA0110005","Moderate-High"
"060014014003","CA0110005","Moderate-High"
"060014015001","CA0110005","High"
"060014015002","CA0110005","Moderate-High"
"060014015003","CA0110005","Moderate-High"
"060014016001","CA0110005","Moderate-High"
"060014016002","CA0110005","Moderate-High"
"060014017001","CA0110005","Low"
"060014017002","CA0110005","Low"
"060014017003","CA0110005","unknown"
"060014018001","CA0110005","Low-Moderate"
"060014018002","CA0110005","Moderate-High"
"060014022001","CA0110005","Moderate-High"
"060014022002","CA0110005","High"
"060014022003","CA0110005","Moderate-High"
"060014024001","CA0110005","Moderate-High"
"060014024002","CA0110005","High"
"060014025001","CA0110005","Moderate-High"
"060014025002","CA0110005","High"
"060014026001","CA0110005","High"
"060014027001","CA0110005","High"
"060014027002","CA0110005","Moderate-High"
"060014028001","CA0110005","High"
"060014028002","CA0110005","Moderate-High"
"060014029001","CA0110005","High"
"060014030001","CA0110005","Moderate-High"
"060014030002","CA0110005","High"
"060014031001","CA0110005","Moderate-High"
"060014033001","CA0110005","Moderate-High"
"060014033002","CA0110005","High"
"060014034001","CA0110005","Low-Moderate"
"060014034002","CA0110005","Low-Moderate"
"060014034003","CA0110005","Low-Moderate"
"060014034004","CA0110005","Low-Moderate"
"060014035011","CA0110005","Moderate-High"
"060014035012","CA0110005","Moderate-High"
"060014035013","CA0110005","Moderate-High"
"060014035021","CA0110005","Low-Moderate"
"060014035022","CA0110005","Low-Moderate"
"060014036001","CA0110005","Low-Moderate"
"060014036002","CA0110005","Low-Moderate"
"060014036003","CA0110005","Low-Moderate"
"060014037011","CA0110005","Low-Moderate"
"060014037012","CA0110005","Low-Moderate"
"060014037021","CA0110005","Low-Moderate"
"060014037022","CA0110005","Low-Moderate"
"060014038001","CA0110005","Low"
"060014038002","CA0110005","Low"
"060014038003","CA0110005","Low"
"060014038004","CA0110005","Low"
"060014039001","CA0110005","Low-Moderate"
"060014039002","CA0110005","Low-Moderate"
"060014039003","CA0110005","Low-Moderate"
"060014040001","CA0110005","Low"
"060014040002","CA0110005","Low"
"060014041011","CA0110005","Low"
"060014041012","CA0110005","Low"
"060014041021","CA0110005","Low-Moderate"
"060014041022","CA0110005","Low-Moderate"
"060014042001","CA0110005","Low"
"060014042002","CA0110005","Low"
"060014042003","CA0110005","Low"
"060014043001","CA0110005","Low"
"060014043002","CA0110005","Low"
"060014043003","CA0110005","Low"
"060014044001","CA0110005","Low"
"060014044002","CA0110005","Low"
"060014044003","CA0110005","Low"
"060014045011","CA0110005","Low"
"060014045021","CA0110005","Low"
"060014045022","CA0110005","Low"
"060014045023","CA0110005","Low"
"060014045024","CA0110005","Low"
"060014046001","CA0110005","Low"
"060014046002","CA0110005","Low"
"060014046003","CA0110005","Low"
"060014046004","CA0110005","Low"
"060014047001","CA0110005","Low"
"060014047002","CA0110005","Low"
"060014048001","CA0110005","Low-Moderate"
"060014048002","CA0110005","Low-Moderate"
"060014049001","CA0110005","Low"
"060014049002","CA0110005","Low"
"060014049003","CA0110005","Low"
"060014049004","CA0110005","Low"
"060014050001","CA0110005","Low"
"060014050002","CA0110005","Low"
"060014050003","CA0110005","Low"
"060014051001","CA0110005","Low"
"060014051002","CA0110005","Low"
"060014051003","CA0110005","Low"
"060014051004","CA0110005","Low"
"060014051005","CA0110005","Low"
"060014052001","CA0110005","Low-Moderate"
"060014052002","CA0110005","Low-Moderate"
"060014052003","CA0110005","Low-Moderate"
"060014052004","CA0110005","Low-Moderate"
"060014053011","CA0110005","Low"
"060014053012","CA0110005","Low"
"060014053021","CA0110005","Moderate-High"
"060014053022","CA0110005","Moderate-High"
"060014054011","CA0110005","Moderate-High"
"060014054012","CA0110005","Moderate-High"
"060014054013","CA0110005","Moderate-High"
"060014054021","CA0110005","Moderate-High"
"060014054022","CA0110005","Moderate-High"
"060014055001","CA0110005","Low-Moderate"
"060014055002","CA0110005","Low-Moderate"
"060014055003","CA0110005","Low-Moderate"
"060014055004","CA0110005","Low-Moderate"
"060014056001","CA0110005","Low-Moderate"
"060014056002","CA0110005","Low-Moderate"
"060014056003","CA0110005","Low-Moderate"
"060014057001","CA0110005","Moderate-High"
"060014057002","CA0110005","Moderate-High"
"060014057003","CA0110005","Moderate-High"
"060014058001","CA0110005","Moderate-High"
"060014058002","CA0110005","Moderate-High"
"060014058003","CA0110005","Moderate-High"
"060014058004","CA0110005","Moderate-High"
"060014059011","CA0110005","High"
"060014059012","CA0110005","Moderate-High"
"060014059013","CA0110005","Moderate-High"
"060014059021","CA0110005","Moderate-High"
"060014059022","CA0110005","Moderate-High"
"060014060001","CA0110005","Moderate-High"
"060014060002","CA0110005","Moderate-High"
"060014060003","CA0110005","Moderate-High"
"060014061001","CA0110005","High"
"060014061002","CA0110005","Moderate-High"
"060014061003","CA0110005","Moderate-High"
"060014061004","CA0110005","Moderate-High"
"060014062011","CA0110005","Moderate-High"
"060014062012","CA0110005","Moderate-High"
"060014062013","CA0110005","High"
"060014062014","CA0110005","High"
"060014062021","CA0110005","Moderate-High"
"060014062022","CA0110005","Moderate-High"
"060014062023","CA0110005","Moderate-High"
"060014063001","CA0110005","Moderate-High"
"060014063002","CA0110005","High"
"060014063003","CA0110005","Moderate-High"
"060014063004","CA0110005","Moderate-High"
"060014064001","CA0110005","Moderate-High"
"060014064002","CA0110005","Moderate-High"
"060014065001","CA0110005","Moderate-High"
"060014065002","CA0110005","Moderate-High"
"060014065003","CA0110005","High"
"060014065004","CA0110005","Moderate-High"
"060014066011","CA0110005","Moderate-High"
"060014066012","CA0110005","Moderate-High"
"060014066013","CA0110005","Moderate-High"
"060014066014","CA0110005","Moderate-High"
"060014066021","CA0110005","Moderate-High"
"060014066022","CA0110005","Moderate-High"
"060014067001","CA0110005","Low"
"060014067002","CA0110005","Low"
"060014067003","CA0110005","Low"
"060014067004","CA0110005","Low"
"060014067005","CA0110005","Low"
"060014068001","CA0110005","Low"
"060014068002","CA0110005","Low"
"060014068003","CA0110005","Low"
"060014068004","CA0110005","Low"
"060014069001","CA0110005","Low"
"060014069002","CA0110005","Low"
"060014069003","CA0110005","Low"
"060014070001","CA0110005","Moderate-High"
"060014070002","CA0110005","Moderate-High"
"060014070003","CA0110005","Moderate-High"
"060014070004","CA0110005","Moderate-High"
"060014070005","CA0110005","High"
"060014071011","CA0110005","Moderate-High"
"060014071012","CA0110005","Moderate-High"
"060014071021","CA0110005","Moderate-High"
"060014071022","CA0110005","Moderate-High"
"060014071023","CA0110005","Moderate-High"
"060014071024","CA0110005","Moderate-High"
"060014072001","CA0110005","Moderate-High"
"060014072002","CA0110005","Moderate-High"
"060014072003","CA0110005","Moderate-High"
"060014072004","CA0110005","Moderate-High"
"060014073001","CA0110005","Moderate-High"
"060014073002","CA0110005","Moderate-High"
"060014074001","CA0110005","Moderate-High"
"060014074002","CA0110005","High"
"060014074003","CA0110005","High"
"060014075001","CA0110005","Moderate-High"
"060014075002","CA0110005","Very High"
"060014075003","CA0110005","Moderate-High"
"060014076001","CA0110005","Low-Moderate"
"060014076002","CA0110005","Low-Moderate"
"060014076003","CA0110005","Low-Moderate"
"060014076004","CA0110005","Low-Moderate"
"060014076005","CA0110005","Moderate-High"
"060014077001","CA0110005","Low"
"060014077002","CA0110005","Low"
"060014077003","CA0110005","Low"
"060014077004","CA0110005","Low"
"060014078001","CA0110005","unknown"
"060014078002","CA0110005","Low"
"060014078003","CA0110005","Low"
"060014079001","CA0110005","Low"
"060014079002","CA0110005","Low"
"060014079003","CA0110005","Low"
"060014080001","CA0110005","Low"
"060014080002","CA0110005","Low"
"060014081001","CA0110005","Low"
"060014081002","CA0110005","Low"
"060014081003","CA0110005","Low"
"060014081004","CA0110005","Low"
"060014082001","CA0110005","Low-Moderate"
"060014082002","CA0110005","Low-Moderate"
"060014082003","CA0110005","Low-Moderate"
"060014083001","CA0110005","Moderate-High"
"060014083002","CA0110005","Low-Moderate"
"060014083003","CA0110005","Low-Moderate"
"060014083004","CA0110005","Low-Moderate"
"060014083005","CA0110005","Low-Moderate"
"060014084001","CA0110005","High"
"060014084002","CA0110005","Moderate-High"
"060014084003","CA0110005","Moderate-High"
"060014085001","CA0110005","Moderate-High"
"060014085002","CA0110005","Moderate-High"
"060014085003","CA0110005","Moderate-High"
"060014085004","CA0110005","Moderate-High"
"060014085005","CA0110005","Moderate-High"
"060014086001","CA0110005","High"
"060014086002","CA0110005","Moderate-High"
"060014086003","CA0110005","Moderate-High"
"060014086004","CA0110005","Moderate-High"
"060014087001","CA0110005","Moderate-High"
"060014087002","CA0110005","Moderate-High"
"060014087003","CA0110005","Moderate-High"
"060014087004","CA0110005","Moderate-High"
"060014087005","CA0110005","Moderate-High"
"060014087006","CA0110005","Moderate-High"
"060014088001","CA0110005","Moderate-High"
"060014088002","CA0110005","High"
"060014088003","CA0110005","Very High"
"060014088004","CA0110005","Moderate-High"
"060014089001","CA0110005","Moderate-High"
"060014089002","CA0110005","Moderate-High"
"060014090001","CA0110005","Moderate-High"
"060014090002","CA0110005","unknown"
"060014090003","CA0110005","Moderate-High"
"060014090004","CA0110005","unknown"
"060014091001","CA0110005","Moderate-High"
"060014091002","CA0110005","Moderate-High"
"060014092001","CA0110005","Moderate-High"
"060014092002","CA0110005","Moderate-High"
"060014093001","CA0110005","High"
"060014093002","CA0110005","Moderate-High"
"060014093003","CA0110005","Moderate-High"
"060014093004","CA0110005","High"
"060014094001","CA0110005","Moderate-High"
"060014094002","CA0110005","Moderate-High"
"060014094003","CA0110005","Moderate-High"
"060014095001","CA0110005","Moderate-High"
"060014095002","CA0110005","Moderate-High"
"060014095003","CA0110005","Moderate-High"
"060014096001","CA0110005","High"
"060014096002","CA0110005","Moderate-High"
"060014096003","CA0110005","Moderate-High"
"060014096004","CA0110005","Moderate-High"
"060014096005","CA0110005","Moderate-High"
"060014097001","CA0110005","Moderate-High"
"060014097002","CA0110005","Moderate-High"
"060014097003","CA0110005","Moderate-High"
"060014097004","CA0110005","Moderate-High"
"060014098001","CA0110005","Low-Moderate"
"060014098002","CA0110005","Moderate-High"
"060014098003","CA0110005","Low-Moderate"
"060014099001","CA0110005","Low"
"060014099002","CA0110005","Low"
"060014099003","CA0110005","Low"
"060014099004","CA0110005","Low"
"060014100001","CA0110005","Low"
"060014100002","CA0110005","Low"
"060014100003","CA0110005","unknown"
"060014101001","CA0110005","Low-Moderate"
"060014101002","CA0110005","Low-Moderate"
"060014102001","CA0110005","Moderate-High"
"060014102002","CA0110005","Moderate-High"
"060014102003","CA0110005","Moderate-High"
"060014103001","CA0110005","Moderate-High"
"060014103002","CA0110005","Moderate-High"
"060014103003","CA0110005","Moderate-High"
"060014104001","CA0110005","Low-Moderate"
"060014104002","CA0110005","Low-Moderate"
"060014104003","CA0110005","Low-Moderate"
"060014105001","CA0110005","High"
"060014201001","CA0110005","Low"
"060014201002","CA0110005","Low"
"060014201003","CA0110005","Low"
"060014202001","CA0110005","Low"
"060014202002","CA0110005","Low"
"060014202003","CA0110005","Low"
"060014203001","CA0110005","Low-Moderate"
"060014203002","CA0110005","Low-Moderate"
"060014203003","CA0110005","Low-Moderate"
"060014204001","CA0110005","Moderate-High"
"060014205001","CA0110005","Low"
"060014205002","CA0110005","Low"
"060014206001","CA0110005","Low"
"060014206002","CA0110005","Low"
"060014206003","CA0110005","Low"
"060014211001","CA0110005","Low"
"060014211002","CA0110005","Low"
"060014212001","CA0110005","Low"
"060014212002","CA0110005","Low"
"060014212003","CA0110005","Low"
"060014212004","CA0110005","Low"
"060014213001","CA0110005","Low"
"060014213002","CA0110005","Low"
"060014213003","CA0110005","Low"
"060014213004","CA0110005","Low"
"060014214001","CA0110005","Low"
"060014214002","CA0110005","Low"
"060014215001","CA0110005","Low"
"060014215002","CA0110005","Low"
"060014215003","CA0110005","Low"
"060014216001","CA0110005","Low"
"060014216002","CA0110005","Low"
"060014216003","CA0110005","Low"
"060014216004","CA0110005","Low"
"060014217001","CA0110005","Low-Moderate"
"060014217002","CA0110005","Low-Moderate"
"060014217003","CA0110005","Low-Moderate"
"060014218001","CA0110005","Low"
"060014218002","CA0110005","Low"
"060014219001","CA0110005","Low"
"060014219002","CA0110005","Low"
"060014219003","CA0110005","Low"
"060014219004","CA0110005","Low"
"060014220001","CA0110005","Low-Moderate"
"060014220002","CA0110005","Low-Moderate"
"060014221001","CA0110005","Low-Moderate"
"060014221002","CA0110005","Low-Moderate"
"060014222001","CA0110005","Low-Moderate"
"060014222002","CA0110005","Low-Moderate"
"060014222003","CA0110005","Low-Moderate"
"060014223001","CA0110005","Low-Moderate"
"060014223002","CA0110005","Low-Moderate"
"060014223003","CA0110005","Low-Moderate"
"060014224001","CA0110005","Moderate-High"
"060014224002","CA0110005","Moderate-High"
"060014224003","CA0110005","Moderate-High"
"060014225001","CA0110005","Low-Moderate"
"060014225002","CA0110005","Low-Moderate"
"060014225003","CA0110005","Moderate-High"
"060014226001","CA0110005","unknown"
"060014227001","CA0110005","Moderate-High"
"060014227002","CA0110005","High"
"060014227003","CA0110005","Very High"
"060014228001","CA0110005","unknown"
"060014228002","CA0110005","unknown"
"060014228003","CA0110005","High"
"060014229001","CA0110005","High"
"060014229002","CA0110005","Moderate-High"
"060014230001","CA0110005","Low-Moderate"
"060014230002","CA0110005","Low-Moderate"
"060014230003","CA0110005","Low-Moderate"
"060014231001","CA0110005","Low-Moderate"
"060014231002","CA0110005","Low-Moderate"
"060014231003","CA0110005","Low-Moderate"
"060014231004","CA0110005","Low-Moderate"
"060014232001","CA0110005","Moderate-High"
"060014232002","CA0110005","Low-Moderate"
"060014233001","CA0110005","Low-Moderate"
"060014233002","CA0110005","Moderate-High"
"060014233003","CA0110005","Low-Moderate"
"060014234001","CA0110005","Moderate-High"
"060014234002","CA0110005","Low-Moderate"
"060014234003","CA0110005","Low-Moderate"
"060014234004","CA0110005","Low-Moderate"
"060014235001","CA0110005","Moderate-High"
"060014235002","CA0110005","Moderate-High"
"060014235003","CA0110005","High"
"060014236011","CA0110005","Low"
"060014236012","CA0110005","Low"
"060014236021","CA0110005","High"
"060014236022","CA0110005","High"
"060014236023","CA0110005","Moderate-High"
"060014237001","CA0110005","Low-Moderate"
"060014237002","CA0110005","Low-Moderate"
"060014237003","CA0110005","Moderate-High"
"060014238001","CA0110005","Low"
"060014238002","CA0110005","Low"
"060014238003","CA0110005","Low"
"060014239011","CA0110005","Low-Moderate"
"060014239012","CA0110005","Low-Moderate"
"060014239021","CA0110005","Low"
"060014239022","CA0110005","Low"
"060014240011","CA0110005","Moderate-High"
"060014240012","CA0110005","Moderate-High"
"060014240013","CA0110005","Moderate-High"
"060014240014","CA0110005","Moderate-High"
"060014240021","CA0110005","Low-Moderate"
"060014240022","CA0110005","Low-Moderate"
"060014251011","CA0110005","Low"
"060014251012","CA0110005","Low"
"060014251021","CA0110005","Low"
"060014251022","CA0110005","Low"
"060014251023","CA0110005","Low-Moderate"
"060014251031","CA0110005","Low"
"060014251032","CA0110005","Low"
"060014251033","CA0110005","Low"
"060014251041","CA0110005","Low-Moderate"
"060014251042","CA0110005","Low-Moderate"
"060014261001","CA0110005","Low"
"060014261002","CA0110005","Low"
"060014261003","CA0110005","Low"
"060014261004","CA0110005","Low"
"060014261005","CA0110005","Low"
"060014261006","CA0110005","Low"
"060014262001","CA0110005","Low"
"060014262002","CA0110005","Low"
"060014262003","CA0110005","Low"
"060014271001","CA0110005","Low"
"060014271002","CA0110005","Low"
"060014271003","CA0110005","Low"
"060014272001","CA0110005","Low-Moderate"
"060014272002","CA0110005","Low-Moderate"
"060014272003","CA0110005","Low-Moderate"
"060014272004","CA0110005","Low-Moderate"
"060014272005","CA0110005","unknown"
"060014273001","CA0110005","Low-Moderate"
"060014273002","CA0110005","Low-Moderate"
"060014273003","CA0110005","Low-Moderate"
"060014273004","CA0110005","Low-Moderate"
"060014273005","CA0110005","Low-Moderate"
"060014276001","CA0110005","Low-Moderate"
"060014276002","CA0110005","Low-Moderate"
"060014276003","CA0110005","Low-Moderate"
"060014277001","CA0110005","Low"
"060014277002","CA0110005","Low"
"060014277003","CA0110005","Low"
"060014277004","CA0110005","Low"
"060014278001","CA0110005","Low"
"060014278002","CA0110005","Low"
"060014278003","CA0110005","Low"
"060014278004","CA0110005","Low"
"060014278005","CA0110005","Low"
"060014279001","CA0110005","Low"
"060014279002","CA0110005","Low"
"060014279003","CA0110005","Low"
"060014279004","CA0110005","Low"
"060014279005","CA0110005","Low"
"060014280001","CA0110005","Low-Moderate"
"060014280002","CA0110005","Low-Moderate"
"060014281001","CA0110005","Low"
"060014281002","CA0110005","Low"
"060014281003","CA0110005","Low"
"060014281004","CA0110005","Low"
"060014282001","CA0110005","Low"
"060014282002","CA0110005","Low"
"060014282003","CA0110005","Low"
"060014282004","CA0110005","Low"
"060014282005","CA0110005","Low"
"060014283011","CA0110005","Low"
"060014283012","CA0110005","Low"
"060014283013","CA0110005","Low"
"060014283014","CA0110005","Low"
"060014283021","CA0110005","Low"
"060014283022","CA0110005","Low"
"060014283023","CA0110005","Low"
"060014284001","CA0110005","Low"
"060014284002","CA0110005","Low-Moderate"
"060014284003","CA0110005","Low"
"060014285001","CA0110005","Low-Moderate"
"060014285002","CA0110005","Low-Moderate"
"060014286001","CA0110005","Low"
"060014286002","CA0110005","Low"
"060014286003","CA0110005","Low"
"060014287001","CA0110005","Low-Moderate"
"060014287002","CA0110005","High"
"060014301011","CA0110005","Low"
"060014301012","CA0110005","Low"
"060014301013","CA0110005","Low"
"060014301021","CA0110005","Low"
"060014302001","CA0110005","Low"
"060014302002","CA0110005","Low"
"060014302003","CA0110005","Low"
"060014302004","CA0110005","Low"
"060014302005","CA0110005","Low"
"060014303001","CA0110005","Low"
"060014303002","CA0110005","Low"
"060014303003","CA0110005","Low"
"060014304001","CA0110005","Low"
"060014304002","CA0110005","Low"
"060014305001","CA0110005","Low-Moderate"
"060014305002","CA0110005","Low-Moderate"
"060014305003","CA0110005","Low-Moderate"
"060014305003","CA0110006","Low-Moderate"
"060014306001","CA0110005","Low"
"060014306002","CA0110005","Low"
"060014306003","CA0110005","Low"
"060014306004","CA0110005","Low"
"060014307001","CA0110005","Low"
"060014307002","CA0110005","Low"
"060014307003","CA0110005","Low"
"060014308001","CA0110005","Low"
"060014308002","CA0110005","Low"
"060014308003","CA0110005","Low"
"060014308004","CA0110005","Low"
"060014309001","CA0110005","Low-Moderate"
"060014309002","CA0110005","Low-Moderate"
"060014310001","CA0110005","Low"
"060014310002","CA0110005","Low"
"060014311001","CA0110005","Low-Moderate"
"060014311002","CA0110005","Low-Moderate"
"060014311002","CA0110006","Low-Moderate"
"060014312001","CA0110005","Low"
"060014312002","CA0110005","Low"
"060014312002","CA0110006","Low"
"060014312003","CA0110005","Low"
"060014312003","CA0110006","Low"
"060014321001","CA0110005","Low"
"060014321002","CA0110005","Low"
"060014321003","CA0110005","Low"
"060014322001","CA0110005","Moderate-High"
"060014322002","CA0110005","Low-Moderate"
"060014322003","CA0110005","Low-Moderate"
"060014323001","CA0110005","Low"
"060014323002","CA0110005","Low"
"060014323003","CA0110005","Low"
"060014324001","CA0110005","Low-Moderate"
"060014324002","CA0110005","Low-Moderate"
"060014324003","CA0110005","Low-Moderate"
"060014325011","CA0110005","Low-Moderate"
"060014325012","CA0110005","Low-Moderate"
"060014325013","CA0110005","Low-Moderate"
"060014325021","CA0110005","Low-Moderate"
"060014325022","CA0110005","Low-Moderate"
"060014325023","CA0110005","Low-Moderate"
"060014326001","CA0110005","Low-Moderate"
"060014326002","CA0110005","Low-Moderate"
"060014326003","CA0110005","Low-Moderate"
"060014326004","CA0110005","Low-Moderate"
"060014326005","CA0110005","Low-Moderate"
"060014327001","CA0110005","Low-Moderate"
"060014327002","CA0110005","Low-Moderate"
"060014327003","CA0110005","Low-Moderate"
"060014328001","CA0110005","Low"
"060014328002","CA0110005","Low"
"060014328003","CA0110005","Low"
"060014330001","CA0110005","Low-Moderate"
"060014330002","CA0110005","Low-Moderate"
"060014330003","CA0110005","Low-Moderate"
"060014330004","CA0110005","Low-Moderate"
"060014331021","CA0110005","Low"
"060014331022","CA0110005","Low"
"060014331031","CA0110005","Low-Moderate"
"060014331032","CA0110005","Low-Moderate"
"060014331041","CA0110005","Low-Moderate"
"060014331042","CA0110005","Low-Moderate"
"060014331043","CA0110005","Low-Moderate"
"060014332001","CA0110005","Moderate-High"
"060014332002","CA0110005","Moderate-High"
"060014332003","CA0110005","Moderate-High"
"060014332004","CA0110005","Moderate-High"
"060014333001","CA0110005","Low"
"060014333002","CA0110005","Low"
"060014333003","CA0110005","Low"
"060014333004","CA0110005","Low"
"060014333005","CA0110005","Low"
"060014334001","CA0110005","Low"
"060014334002","CA0110005","Low"
"060014334003","CA0110005","Low-Moderate"
"060014334004","CA0110005","Low"
"060014334005","CA0110005","Low"
"060014334006","CA0110005","Low"
"060014335001","CA0110005","Low-Moderate"
"060014335002","CA0110005","Low-Moderate"
"060014335003","CA0110005","Low-Moderate"
"060014335004","CA0110005","Low-Moderate"
"060014336001","CA0110005","Moderate-High"
"060014336002","CA0110005","Moderate-High"
"060014336003","CA0110005","Moderate-High"
"060014336004","CA0110005","Moderate-High"
"060014337001","CA0110005","Low"
"060014337001","CA0110006","Low"
"060014337002","CA0110005","Low"
"060014337002","CA0110006","Low"
"060014337003","CA0110005","Low"
"060014338001","CA0110005","Low-Moderate"
"060014338002","CA0110005","Low-Moderate"
"060014338003","CA0110005","Low-Moderate"
"060014338004","CA0110005","Low-Moderate"
"060014339001","CA0110005","Moderate-High"
"060014339002","CA0110005","Moderate-High"
"060014339003","CA0110005","Moderate-High"
"060014339004","CA0110005","Moderate-High"
"060014340001","CA0110005","Moderate-High"
"060014340001","CA0110006","Moderate-High"
"060014340002","CA0110005","Moderate-High"
"060014340002","CA0110006","High"
"060014340003","CA0110005","High"
"060014351021","CA0110005","Low"
"060014351021","CA0110006","Low"
"060014351022","CA0110006","Low"
"060014351031","CA0110005","Low"
"060014351031","CA0110006","Low"
"060014351032","CA0110005","Low"
"060014351032","CA0110006","Low"
"060014351033","CA0110005","Low"
"060014351033","CA0110006","Low"
"060014351041","CA0110006","Low-Moderate"
"060014351042","CA0110006","Low-Moderate"
"060014351043","CA0110006","Low-Moderate"
"060014352001","CA0110005","Low"
"060014352001","CA0110006","Low"
"060014352002","CA0110005","Low"
"060014352002","CA0110006","Low"
"060014353001","CA0110005","Low-Moderate"
"060014353001","CA0110006","Low-Moderate"
"060014353002","CA0110005","Low-Moderate"
"060014353002","CA0110006","Low-Moderate"
"060014353003","CA0110005","Low-Moderate"
"060014353003","CA0110006","Low-Moderate"
"060014354001","CA0110005","Low-Moderate"
"060014354001","CA0110006","Low-Moderate"
"060014354002","CA0110005","Low-Moderate"
"060014354002","CA0110006","Low-Moderate"
"060014354003","CA0110006","Low-Moderate"
"060014355001","CA0110005","Low-Moderate"
"060014355001","CA0110006","Moderate-High"
"060014355002","CA0110005","Low-Moderate"
"060014355002","CA0110006","Low-Moderate"
"060014355003","CA0110005","Moderate-High"
"060014355003","CA0110006","Moderate-High"
"060014356011","CA0110005","Low-Moderate"
"060014356011","CA0110006","Low-Moderate"
"060014356012","CA0110005","Low-Moderate"
"060014356012","CA0110006","Low-Moderate"
"060014356021","CA0110005","Low-Moderate"
"060014356021","CA0110006","Low-Moderate"
"060014356022","CA0110005","Low-Moderate"
"060014356022","CA0110006","Low-Moderate"
"060014356023","CA0110005","Low-Moderate"
"060014356023","CA0110006","Low-Moderate"
"060014356024","CA0110005","Low-Moderate"
"060014356024","CA0110006","Low-Moderate"
"060014357001","CA0110005","Low-Moderate"
"060014357001","CA0110006","Low-Moderate"
"060014357002","CA0110005","Low-Moderate"
"060014357003","CA0110005","Low-Moderate"
"060014357003","CA0110006","Low-Moderate"
"060014357004","CA0110005","Low-Moderate"
"060014357004","CA0110006","Low-Moderate"
"060014358001","CA0110005","Low"
"060014358002","CA0110005","Low"
"060014358003","CA0110005","Low"
"060014358004","CA0110005","Low"
"060014359001","CA0110005","Low"
"060014359002","CA0110005","Low"
"060014359003","CA0110005","Low"
"060014359004","CA0110005","Low"
"060014360001","CA0110005","Low"
"060014360002","CA0110005","Low"
"060014360003","CA0110005","Low"
"060014360003","CA0110006","Low"
"060014361001","CA0110005","Low"
"060014361001","CA0110006","Low"
"060014361002","CA0110005","Low"
"060014361002","CA0110006","Low"
"060014361003","CA0110005","Low"
"060014362001","CA0110005","Low-Moderate"
"060014362001","CA0110006","Moderate-High"
"060014362002","CA0110005","Low-Moderate"
"060014362002","CA0110006","Low-Moderate"
"060014363001","CA0110005","Low-Moderate"
"060014363001","CA0110006","Low-Moderate"
"060014363002","CA0110006","Low-Moderate"
"060014363003","CA0110006","Low-Moderate"
"060014363004","CA0110005","Low-Moderate"
"060014363004","CA0110006","Low-Moderate"
"060014364011","CA0110005","Low"
"060014364011","CA0110006","Low"
"060014364012","CA0110005","Low"
"060014364012","CA0110006","Low"
"060014364013","CA0110005","Low"
"060014364013","CA0110006","Low"
"060014364014","CA0110005","Low"
"060014364014","CA0110006","Low"
"060014364015","CA0110005","Low"
"060014364015","CA0110006","Low"
"060014364021","CA0110005","Low"
"060014364021","CA0110006","Low"
"060014364022","CA0110005","Low"
"060014364022","CA0110006","Low"
"060014365001","CA0110006","Low-Moderate"
"060014365002","CA0110006","Low-Moderate"
"060014366011","CA0110006","Low-Moderate"
"060014366012","CA0110006","Low-Moderate"
"060014366013","CA0110006","Low-Moderate"
"060014366021","CA0110006","Low-Moderate"
"060014366022","CA0110006","Low-Moderate"
"060014367001","CA0110005","Low-Moderate"
"060014367001","CA0110006","Low-Moderate"
"060014367002","CA0110005","Low-Moderate"
"060014367002","CA0110006","Moderate-High"
"060014368001","CA0110006","Low"
"060014368002","CA0110006","Low"
"060014369001","CA0110005","Low-Moderate"
"060014369001","CA0110006","Low-Moderate"
"060014369002","CA0110005","Low-Moderate"
"060014369002","CA0110006","Low-Moderate"
"060014369003","CA0110006","Low-Moderate"
"060014369004","CA0110005","Low-Moderate"
"060014369004","CA0110006","Low-Moderate"
"060014370001","CA0110006","Low-Moderate"
"060014370002","CA0110006","Low-Moderate"
